area,bathrooms,bedrooms,description,fetched_at,furnished,images,listing_id,location,price,property_type,seller_name,title,url
555 Sqft,1,0,"This property is a 555 Sqft studio condo with 1 bathroom that is available for rent. It is part of the M Condominium project in Bandar Johor Bahru, Johor and was completed in Oct 2023. You can rent this condo long term for RM508 per month.
Studio room for Condominium with private bathroom
The whole Unit For Rent
Private Bedroom and Toilet
0 17‑220 5315
for more information and viewing arrangement. Many thanks.",2025-12-13T23:45:05.328677+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/vdhWpToTjuHVxYzj5pAnPSadKwA/2850x1515/unit/5922409/img-0528.jpeg,https://cdn.fazwaz.com/wbr/hfHonejF5nYzM5Pa7aInYVpU_vc/250x250/unit/5922409/img-0529.jpeg,https://cdn.fazwaz.com/wbr/i_a5LqbfhCTK7tgWYO-76LoAPYY/250x250/unit/5922409/img-0530.jpeg,https://cdn.fazwaz.com/wbr/-k1neNGU-3ekjDvBHzl1smmeVHE/250x250/unit/5922409/img-0531.jpeg,https://cdn.fazwaz.com/wbr/IZDIReCuQhcmf-f-zcLvUzKVBew/250x250/unit/5922409/img-0533.jpeg",U5922409,"Bandar Johor Bahru, Johor Bahru, Johor",RM508,Condo,Private Owner,Studio Condo for rent at M Condominium,https://www.fazwaz.my/property-rent/studio-condo-for-rent-at-m-condominium-in-bandar-johor-bahru-johor-u5922409
160 Sqft,1,0,"This property is a 160 Sqft studio condo with 1 bathroom that is available for rent. It is part of the Summer Rose @ Nusa Sentral project in Bandar Johor Bahru, Johor and was completed in Aug 2020. You can rent this condo long term for RM500 per month.
Studio room for Rose with private bathroom
The whole Unit For Rent
Private Bedroom and Toilet
0 17‑220 5315
for more information and viewing arrangement. Many thanks.",2025-12-13T23:45:05.328677+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/cq-3OA6dm-IlvMccYTWLddJO_Us/2850x1515/unit/5919834/img-0538.jpeg,https://cdn.fazwaz.com/wbr/8-eYxNYBEUB8Oat-lkiy6t7zIjM/250x250/unit/5919834/img-0542.jpeg,https://cdn.fazwaz.com/wbr/XRGrpdrMQEi16MxQwvnz4-bE3VI/250x250/unit/5919834/img-0540.jpeg,https://cdn.fazwaz.com/wbr/sOPPkFXd-IJivSixGLCwZ_8Lyt8/250x250/unit/5919834/img-0546.jpeg,https://cdn.fazwaz.com/wbr/J0PPESqR_7y7rphJixn6gQOamNU/250x250/unit/5919834/img-0543.jpeg",U5919834,"Bandar Johor Bahru, Johor Bahru, Johor",RM500,Condo,Private Owner,Studio Condo for rent at Summer Rose @ Nusa Sentral,https://www.fazwaz.my/property-rent/studio-condo-for-rent-at-summer-rose-at-nusa-sentral-in-bandar-johor-bahru-johor-u5919834
160 Sqft,1,0,"This property is a 160 Sqft studio condo with 1 bathroom that is available for rent. It is part of the Setia Sky 88 project in Bandar Johor Bahru, Johor and was completed in Jul 2022. You can rent this condo long term for RM550 per month.
Setia Sky 88
Serious renter should pm me on wassap +601127199070 for more info about the property
General Room details:
-Non sharing
- Big Wardrobe
-Study table with chair
- Curtain
- Fan & lighting
- Air Conditioner
-Pillow, Bed Sheet and Bed Cover
Free:-
* Free Cleaning (monthly)
* Free Utilities (Water, Electricity, Internet)
*Free wifi
*Free water dispenser
House details:
-Wifi
-Water purifier
-Fridge
-Washing machine with clothes hanger
-Gas with stove
-Kitchen cabinet
-Water heater in the bathroom
-Smart Tv with Tv cabinet
-Bar table with stool chair for dinner
-Shoe cabinet
-Free cleaning monthly for this space
Serious renter should pm me on wassap +601127199070 for more info about the property",2025-12-13T23:45:05.328677+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/ghtLtQ2xcLwSL5mOIH-84lHZzPs/2850x1515/unit/5927407/img-4682.jpeg,https://cdn.fazwaz.com/wbr/GSTwC9D38J9PqQLHRZF-2g3pfwM/250x250/unit/5927407/img-4684.jpeg,https://cdn.fazwaz.com/wbr/y5QuqMb_uesjiyOLLqxSItbbT1U/250x250/unit/5927407/img-4683.jpeg,https://cdn.fazwaz.com/wbr/NHoy2KEWpBfzcat2_JHUYvjodoc/250x250/unit/5927407/img-4680.jpeg,https://cdn.fazwaz.com/wbr/av3wOVmiIJAVVFJQow-CIhBQ36c/250x250/unit/5927407/img-4681.jpeg",U5927407,"Bandar Johor Bahru, Johor Bahru, Johor",RM550,Condo,Agent / Partner,Studio Condo for rent at Setia Sky 88,https://www.fazwaz.my/property-rent/studio-condo-for-rent-at-setia-sky-88-in-bandar-johor-bahru-johor-u5927407
170 Sqft,1,0,"This property is a 170 Sqft studio condo with 1 bathroom that is available for rent. It is part of the Eco Botanic project in Bandar Johor Bahru, Johor and was completed in Nov 2021. You can rent this condo long term for RM750 per month.
Eco Botanic - Bandar Johor Bahru, Johor
Text the landlord on WhatsApp for more information about the house for rent +60 1163623005
My Unit Includes all Utilities Intact such as Refrigerator, Dry, Washing Machine, Electric Stove and gas, Air cond, Sewage, Trash, Tv set, Furnitures and cabinet. Plus Electricity and Water bills are also Included in the Rent with 1 car park and Free wifi",2025-12-13T23:45:05.328677+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/DZD9sNXJcRCpJm2zsEf2_19icso/2850x1515/unit/5923887/img-2288.jpeg,https://cdn.fazwaz.com/wbr/3bbuSBSAiuQR_V741SRdKxaw0CY/250x250/unit/5923887/img-2289.jpeg,https://cdn.fazwaz.com/wbr/fRYjMTvSvEqQ2xqM5GZirjaxB7s/250x250/unit/5923887/img-2290.jpeg,https://cdn.fazwaz.com/wbr/aBU5FVlNXDW8xNN6G4rcVOBQG4M/250x250/unit/5923887/img-2291.jpeg,https://cdn.fazwaz.com/wbr/MoUe7phPNLj3JJiL7KdBEONAykk/250x250/unit/5923887/img-2292.jpeg",U5923887,"Bandar Johor Bahru, Johor Bahru, Johor",RM750,Condo,Private Owner,Studio Condo for rent at Eco Botanic,https://www.fazwaz.my/property-rent/studio-condo-for-rent-at-eco-botanic-in-bandar-johor-bahru-johor-u5923887
400 Sqft,1,0,"This property is a 400 Sqft studio condo with 1 bathroom that is available for rent. It is part of the Centara Residences @ Nasa City project in Bandar Johor Bahru, Johor and was completed in Feb 2017. You can rent this condo long term for RM900 per month.
Centara Residences @ Nasa City - Bandar Johor Bahru, Johor
Text the landlord on WhatsApp for more information about the house for rent +60 1163623005
My Unit Includes all Utilities Intact such as Refrigerator, Dry, Washing Machine, Electric Stove and gas, Air cond, Sewage, Trash, Tv set, Furnitures and cabinet. Plus Electricity and Water bills are also Included in the Rent with 1 car park and Free wifi",2025-12-13T23:45:05.328677+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/904ICqJzzC6JwD3TWICk8iPl82A/2850x1515/unit/5923885/img-2318.jpeg,https://cdn.fazwaz.com/wbr/6uUryu0ko2ZpbvNDwJny8EsySKE/250x250/unit/5923885/img-2319.jpeg,https://cdn.fazwaz.com/wbr/yC7iBrEN5SHIbjnCpaslZrYhtnQ/250x250/unit/5923885/img-2320.jpeg,https://cdn.fazwaz.com/wbr/SdhJj-mdaZgrUPqggD5cuaTKZ3Q/250x250/unit/5923885/img-2321.jpeg,https://cdn.fazwaz.com/wbr/9krAhT-ZKnQm7TVfDhamgfPfLb0/250x250/unit/5923885/img-2322.jpeg",U5923885,"Bandar Johor Bahru, Johor Bahru, Johor",RM900,Condo,Private Owner,Studio Condo for rent at Centara Residences @ Nasa City,https://www.fazwaz.my/property-rent/studio-condo-for-rent-at-centara-residences-at-nasa-city-in-bandar-johor-bahru-johor-u5923885
500 Sqft,1,0,"This property is a 500 Sqft studio condo with 1 bathroom that is available for rent. It is part of the Johor Bahru project in Bandar Johor Bahru, Johor and was completed in Mar 2023. You can rent this condo long term for RM3,710 per month.
Johor Bahru - Bandar Johor Bahru, Johor
Text the landlord on WhatsApp for more information about the house for rent +60 1163623005
My Unit Includes all Utilities Intact such as Refrigerator, Dry, Washing Machine, Electric Stove and gas, Air cond, Sewage, Trash, Tv set, Furnitures and cabinet. Plus Electricity and Water bills are also Included in the Rent with 1 car park and Free wifi",2025-12-13T23:45:05.328677+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/FfdpaV0d5HlF62HHqtpqukqdz-s/2850x1515/unit/5923162/img-2332.jpeg,https://cdn.fazwaz.com/wbr/FgIZd5O4Upm1s9XI5cGbasW91qI/250x250/unit/5923162/img-2333.jpeg,https://cdn.fazwaz.com/wbr/tuXMsa4CsFinS-3ldf2zhBQk8gs/250x250/unit/5923162/img-2334.jpeg,https://cdn.fazwaz.com/wbr/8dzLK0E_TsWzJ73UPkFL54m9Q6M/250x250/unit/5923162/img-2335.jpeg,https://cdn.fazwaz.com/wbr/YVKzhhg9er_RP0iDjvVR408NuRY/250x250/unit/5923162/img-2337.jpeg",U5923162,"Bandar Johor Bahru, Johor Bahru, Johor","RM3,710",Condo,Private Owner,Studio Condo for rent at Johor Bahru,https://www.fazwaz.my/property-rent/studio-condo-for-rent-at-johor-bahru-in-bandar-johor-bahru-johor-u5923162
400 Sqft,1,0,"This property is a 400 Sqft studio condo with 1 bathroom that is available for rent. It is part of the Brio Residences project in Bandar Johor Bahru, Johor and was completed in Jul 2023. You can rent this condo long term for RM450 per month.
Studio room for rent with private bathroom
The whole Unit For Rent
Private Bedroom and Toilet
0 17‑220 5315
for more information and viewing arrangement. Many thanks.",2025-12-13T23:45:05.328677+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/ADS37JmiILdVIBrPMH5J6qeUJ7c/2850x1515/unit/5918183/img-0520.jpeg,https://cdn.fazwaz.com/wbr/3JYue6lHoFYaJsaBST2FWUxcCOs/250x250/unit/5918183/img-0521.jpeg,https://cdn.fazwaz.com/wbr/ENdL-MsMd45nSiqk8ZFoxw1ab80/250x250/unit/5918183/img-0522.jpeg,https://cdn.fazwaz.com/wbr/WK5-PleDTz0g-WIZpZpQCrNDqOY/250x250/unit/5918183/img-0523.jpeg,https://cdn.fazwaz.com/wbr/7a4PP2vRyijHLjrQUAHkL7b7s0Q/250x250/unit/5918183/img-0524.jpeg",U5918183,"Bandar Johor Bahru, Johor Bahru, Johor",RM450,Condo,Private Owner,Studio Condo for rent at Brio Residences,https://www.fazwaz.my/property-rent/studio-condo-for-rent-at-brio-residences-in-bandar-johor-bahru-johor-u5918183
509 Sqft,1,1,"This property is a 509 Sqft apartment with 1 bedroom and 1 bathroom that is available for rent. It is part of the Opal Imperial project in Bandar Johor Bahru, Johor and was completed in Apr 2010. You can rent this apartment long term for RM750 per month.
Fully furnished studio unit for rent
Fully furnished studio unit for rent KitchenCabinet, Mattress, TV, AC, Sofa, Refrigerator, Bed-frame, Water Heater, Dining Table, Hood&Hub, Wardrobe, Curtain, Microwave, Washing Machine Facilities, Security24Hr, Swimming, Squashy, Elevator, Mart, Restaurant, Sauna, Playground, Badminton, Gym, Covered Parking lot Serious renter only kindly text the landlord on WhatsApp ‪at +60163051925 ‬ ‬ ‬ ‪for more info",2025-12-13T23:45:05.328677+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/QqsFr25KYK-Lq1n-8cpvmm5rRmc/2850x1515/unit/5912337/60658f11-8dc9-436a-b445-48df47c4d045.jpeg,https://cdn.fazwaz.com/wbr/A8-RtztJ3FcclW4DgV6dtiDApfA/250x250/unit/5912337/d9c79044-3691-4adb-bb27-5f5812dea65a.jpeg,https://cdn.fazwaz.com/wbr/2Qd6MCT2vIWY20oB9fGwGTwG5N8/250x250/unit/5912337/3c3eb0a5-075a-407b-bb5a-53070c159af7.jpeg,https://cdn.fazwaz.com/wbr/UabIE8QW4z5Ec2sML_vM8PGc670/250x250/unit/5912337/03d23875-2ac3-43f5-9e72-0723e5746ac5.jpeg,https://cdn.fazwaz.com/wbr/GyH_VUIPcBqHuHCgwQ5A9c152DA/250x250/unit/5912337/64e0d9de-d344-4a2a-9250-b5ed2018bd83.jpeg",U5912337,"Bandar Johor Bahru, Johor Bahru, Johor",RM750,Apartment,Private Owner,1 Bedroom Apartment for rent at Opal Imperial,https://www.fazwaz.my/property-rent/1-bedroom-apartment-for-rent-at-opal-imperial-in-bandar-johor-bahru-johor-u5912337
400 Sqft,1,0,"This property is a 400 Sqft studio condo with 1 bathroom that is available for rent. It is part of the Cycas @ Setia Tropika project in Bandar Johor Bahru, Johor and was completed in Jan 2024. You can rent this condo long term for RM500 per month.
Studio room 4 Setia Tropika with private bathroom
The whole Unit For Rent
Private Bedroom and Toilet
0 17‑220 5315
for more information and viewing arrangement. Many thanks.",2025-12-13T23:45:05.328677+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/TFYtLZjGEKgS5ra6EPAA8-MszGQ/2850x1515/unit/5912953/img-0497.jpeg,https://cdn.fazwaz.com/wbr/wP2G8VqZqszik9YLQDmTlzF0K4c/250x250/unit/5912953/img-0498.jpeg,https://cdn.fazwaz.com/wbr/cngTH_Rcuz1RgAmuJshhL8v9r0w/250x250/unit/5912953/img-0499.jpeg,https://cdn.fazwaz.com/wbr/f9eaLvdTfwC4Xj91HfwhWI1-_6k/250x250/unit/5912953/img-0500.jpeg,https://cdn.fazwaz.com/wbr/XF2iDrlzu66Kx52D5Mci3E2RDJE/250x250/unit/5912953/img-0501.jpeg",U5912953,"Bandar Johor Bahru, Johor Bahru, Johor",RM500,Condo,Private Owner,Studio Condo for rent at Cycas @ Setia Tropika,https://www.fazwaz.my/property-rent/studio-condo-for-rent-at-cycas-at-setia-tropika-in-bandar-johor-bahru-johor-u5912953
619 Sqft,1,0,"This property is a 619 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Setia Sky 88 project in Bandar Johor Bahru, Johor and was completed in Jul 2022. You can rent this penthouse long term for RM650 per month.
FULLY FURNISHED Studio FOR RENT
💥Fully Furnished
✅Free Wifi
✅Washing Machine
✅Water Filter
✅Kettle
✅Kitchen for cook
✅Refrigerator
✅Cleaning service
.
⚡No Agent Fees
⚡FREE utilities (water & electricity)
Studio unit come with air-conditioner, fan, study table, chair & wardrobe
.
Message the owner on Whatsapp For more details 601161903950",2025-12-13T23:45:05.328677+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/MJ7WII5buCHQVMhvMyp2aPHQv6s/2850x1515/unit/5915551/img-0492.jpeg,https://cdn.fazwaz.com/wbr/zg5nIh4MJavxB_-bvfCJWob8e-M/250x250/unit/5915551/img-0493.jpeg,https://cdn.fazwaz.com/wbr/hijGK54S_d8eoGY3QBJyZpCGLyo/250x250/unit/5915551/img-0494.jpeg,https://cdn.fazwaz.com/wbr/3IgT2yLeYXGSQcqwu0PUzzw-QXE/250x250/unit/5915551/img-0495.jpeg,https://cdn.fazwaz.com/wbr/tG2UYHAh5as4LOyLmwcjzXYSdCw/250x250/unit/5915551/img-0496.jpeg",U5915551,"Bandar Johor Bahru, Johor Bahru, Johor",RM650,Penthouse,Private Owner,Studio Penthouse for rent at Setia Sky 88,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-setia-sky-88-in-bandar-johor-bahru-johor-u5915551
