area,bathrooms,bedrooms,description,fetched_at,furnished,images,listing_id,location,price,property_type,seller_name,title,url
601 Sqft,1,1,"This property is a 601 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the M Condominium project in Bandar Johor Bahru, Johor and was completed in Oct 2023. You can rent this penthouse long term for RM500 per month.
1 Bedroom Condo for rent at M Condominium
This property is a 500 Sqft condo with 1 bedrooms and 1 bathroom that is available for rent. It is part of the M Condominium project in Bandar Johor Bahru, Johor and was completed in Oct 2023. You can rent this condo long term for RM500 per month.𝐒𝐭𝐮𝐝𝐢𝐨 𝐟𝐨𝐫 𝐒𝐢𝐧𝐠𝐥𝐞 𝐨𝐫 𝐂𝐨𝐮𝐩𝐥𝐞➤𝐒𝐭𝐮𝐝𝐢𝐨 + 𝟏 𝐂𝐚𝐫 𝐏𝐚𝐫𝐤That’s the actual picture of the unit Fully FurnishedRm 650 per month1 month deposit and 1 month deposit advance✅ Master bedroom with private toilet and aircond✅ Fully furnished✅ Bed frame with mattress 🛏️✅ WIFI 📡✅ Study table and chair 🪑✅ Washing Machine✅ Refrigerator✅ Sofa and table 🛋️✅ Induction Cooker✅ Autogate✅ Aircond✅ Kitchen Hood and Hob, induction stove✅ Kitchen Cabinet✅ Water Heaters✅ Lighting & Fans✅ Cupboard & Side tables👮🏻‍♂️24hours SecurityInterested Renter WhatsApp the landlord for more details + 60 1135204485",2025-12-13T23:48:46.611545+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/8HS-tWudG11Qr9UF6S8sexc1Rhc/2850x1515/unit/5926886/1000046962.jpg,https://cdn.fazwaz.com/wbr/oGItSEwGyLSjZidPNLU5__mpX-w/250x250/unit/5926886/1000046963.jpg,https://cdn.fazwaz.com/wbr/dXxZ3yLH-3qQifeThjW4x9_nzOA/250x250/unit/5926886/1000046966.jpg,https://cdn.fazwaz.com/wbr/7R8GFishEo-a4Ha2L7GEK5Mbcug/250x250/unit/5926886/1000046968.jpg,https://cdn.fazwaz.com/wbr/UZRV1PApp5AzoIyj_Ntws_cJsVk/250x250/unit/5926886/1000046970.jpg",U5926886,"Bandar Johor Bahru, Johor Bahru, Johor",RM500,Penthouse,Private Owner,1 Bedroom Penthouse for rent at M Condominium,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-m-condominium-in-bandar-johor-bahru-johor-u5926886
980 Sqft,1,1,"This property is a 980 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Plumeria Avenue project in Bandar Johor Bahru, Johor and was completed in Nov 2023. You can rent this penthouse long term for RM500 per month.
Single bedroom also got private bathroom
Serious tenant, please feel free to contact Muhamad at ‪ ‪60-16‑219-8047‬ ‬for more information and viewing arrangement. Many thanks",2025-12-13T23:48:46.611545+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/UjjJ7IyKtMdp3T9qbHFosqiiy5M/2850x1515/unit/5888550/a7c173ee-8dcc-437d-bed3-44596ebe89c6.jpeg,https://cdn.fazwaz.com/wbr/PRzue_C7hZJX_uEi0rTNq7Z0aKs/250x250/unit/5888550/632bdef0-11b6-44b0-b7f5-619387e9f9a6.jpeg,https://cdn.fazwaz.com/wbr/fvs1eyJlXnWAQ88lqr5AqgwkgNg/250x250/unit/5888550/d1448d76-b094-456b-b243-ee6c6f562beb.jpeg,https://cdn.fazwaz.com/wbr/5K4zwumfbqTl-Zdo2-J2i5mnC1E/250x250/unit/5888550/f4e90496-7b8e-4db5-a551-562c19a90c24.jpeg,https://cdn.fazwaz.com/wbr/Kd0bbQTXdd6gdcVH9KDRJ_r66xg/250x250/unit/5888550/f5ccf8de-5ba9-41e0-ae55-b9025c383b25.jpeg",U5888550,"Bandar Johor Bahru, Johor Bahru, Johor",RM500,Penthouse,Private Owner,1 Bedroom Penthouse for rent at Plumeria Avenue,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-plumeria-avenue-in-bandar-johor-bahru-johor-u5888550
636 Sqft,1,0,"This property is a 636 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Bukit Indah - Visca project in Pulai, Johor and was completed in Jan 2014. You can rent this penthouse long term for RM500 per month.
Fully furnished studio
Kitchen Cabinet,Mattress,TV,A/C,Sofa,Refrigerator,Bedframe,Water Heater,Dining Table,Hood & Hub,Wardrobe,Curtain,Microwave,Washing Machine
Facilities
Security 24 Hr,Swimming,Squasy,Elevator,Mart,Restaurant,Sauna,Playground,Badminton,Gym,Covered Parking
Kindly text the owner on WhatsApp on 601162343286 for more details",2025-12-13T23:48:46.611545+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/27J5ByvsXwo_YM5eTOoGt-Pa2lc/2850x1515/unit/5913665/img-3014.jpeg,https://cdn.fazwaz.com/wbr/fzLTvPeOzFSuqaBicz-dR8g5xRo/250x250/unit/5913665/img-3015.jpeg,https://cdn.fazwaz.com/wbr/BDdr_-2HLSkilnWiECXud2yJmqY/250x250/unit/5913665/img-3016.jpeg,https://cdn.fazwaz.com/wbr/pTvL8745M-RKWLCXEwW8J6a1cWM/250x250/unit/5913665/img-3017.jpeg,https://cdn.fazwaz.com/wbr/JXuMk3elTHBlPNDUOXZwtNHMrX8/250x250/unit/5913665/img-3018.jpeg",U5913665,"Pulai, Johor Bahru, Johor",RM500,Penthouse,Private Owner,Studio Penthouse for rent at Bukit Indah - Visca,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-bukit-indah-visca-in-pulai-johor-u5913665
600 Sqft,1,1,"This property is a 600 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Rivercity Business Park project in Kluang, Johor and was completed in Nov 2019. You can rent this penthouse long term for RM450 per month.
Looking for a happy tenant to make this a cute place home!
Text the landlord on WhatsApp for more information about the house for rent +60 11-5930 2298 My Unit Includes all Utilities Intact such as Refrigerator, Dry, Washing Machine, Electric Stove and gas, Air cond, Sewage, Trash, Tv set, Furnitures and cabinet. Plus Electricity and Water bills are also Included in the Rent with 1 car park and Free wifi",2025-12-13T23:48:46.611545+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/mgqRR9lePYGgtlC4HB1q67deb74/2850x1515/unit/5902618/img-4095.jpeg,https://cdn.fazwaz.com/wbr/HE4ske3tKY_el7RyRBhp0QXmVNg/250x250/unit/5902618/img-4096.jpeg,https://cdn.fazwaz.com/wbr/9ByqsO9NHB9zI1eP3TyS3JINWEc/250x250/unit/5902618/img-4097.jpeg,https://cdn.fazwaz.com/wbr/WxUfqDBSd40HtFhZe-yCd07IbhA/250x250/unit/5902618/img-4098.jpeg,https://cdn.fazwaz.com/wbr/BkB-2ZhRSY7s24WpO4eFDEXkyNQ/250x250/unit/5902618/img-4099.jpeg",U5902618,"Kluang, Kluang, Johor",RM450,Penthouse,Private Owner,1 Bedroom Penthouse for rent at Rivercity Business Park,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-rivercity-business-park-in-kluang-johor-u5902618
586 Sqft,1,0,"This property is a 586 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Tropicana Danga Bay- Bora Residences project in Bandar Johor Bahru, Johor and was completed in Oct 2022. You can rent this penthouse long term for RM600 per month.
Fully furnished studio for rent
Kitchen Cabinet, Mattress, TV,A/C,Sofa, Refrigerator, Bedframe, Wate Heater, Dining Table, Hood &
Hub, Wardrobe, Curtain, Microwave, Washing Machine Facilities
Security 24
Hr, Swimming, Squasy, Elevator, Mart, Restaurant, Sauna, Pla)
Parking
Kindly text the landlord on WhatsApp ‪ ‪ ‪ ‪+601167748230‬ ‬ for more information",2025-12-13T23:48:46.611545+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/CDeLwQ4zaes0jzUGFwCiNn5jVmc/2850x1515/unit/5899716/img-9003.jpeg,https://cdn.fazwaz.com/wbr/6MV3Utza5ySslUkPbD-oxpEpJvA/250x250/unit/5899716/img-9004.jpeg,https://cdn.fazwaz.com/wbr/nH46E4uaqTU6DPvfoBbvV0gMmCE/250x250/unit/5899716/img-9005.jpeg,https://cdn.fazwaz.com/wbr/Q6itYlf19zshiiqcT5Oacr9eA3o/250x250/unit/5899716/img-9006.jpeg,https://cdn.fazwaz.com/wbr/EvSwvWwLTnrL67zmDcF_rocCLC8/250x250/unit/5899716/img-9007.jpeg",U5899716,"Bandar Johor Bahru, Johor Bahru, Johor",RM600,Penthouse,Private Owner,Studio Penthouse for rent at Tropicana Danga Bay- Bora Residences,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-tropicana-danga-bay-bora-residences-in-bandar-johor-bahru-johor-u5899716
680 Sqft,1,1,"This property is a 680 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Tropicana Danga Bay- Bora Residences project in Bandar Johor Bahru, Johor and was completed in Oct 2022. You can rent this penthouse long term for RM500 per month.
Single bedroom also got private bathroom
Serious tenant, please feel free to contact Muhamad at ‪ ‪60-16‑219-8047‬ ‬for more information and viewing arrangement. Many thanks.",2025-12-13T23:48:46.611545+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/mYC3y6P5oaRjp45dIWfTV2l8cHM/2850x1515/unit/5887404/img-8213.jpeg,https://cdn.fazwaz.com/wbr/eaEIu67T6isldiOefdYdS2Bzxn4/250x250/unit/5887404/img-8214.jpeg,https://cdn.fazwaz.com/wbr/mZIY_iAtdVNp2sALmwFMDG1GgoA/250x250/unit/5887404/img-8215.jpeg,https://cdn.fazwaz.com/wbr/8klvo6GeIIRr4RAsHWX7QoE-2S4/250x250/unit/5887404/img-8216.jpeg,https://cdn.fazwaz.com/wbr/xVUVp-6tLPE0I11ujktb92Gr_vo/250x250/unit/5887404/img-8217.jpeg",U5887404,"Bandar Johor Bahru, Johor Bahru, Johor",RM500,Penthouse,Private Owner,1 Bedroom Penthouse for rent at Tropicana Danga Bay- Bora Residences,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-tropicana-danga-bay-bora-residences-in-bandar-johor-bahru-johor-u5887404
500 Sqft,1,0,"This property is a 500 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Permas Jaya project in Plentong, Johor and was completed in Jun 2017. You can rent this penthouse long term for RM550 per month.
Looking for a happy, great tenant to make this cute and plac
Facilities:
•-hour security
• Fully-equipped gymnasium
• Mini market
• Children’s playground
• Cafeteria
• Swimming pool
• Barbecue area
• Sky lounge
• Function room
WTSPp : +60 10-438 1043 Peng",2025-12-13T23:48:46.611545+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/qZiN2CfkMiN_Dey44FpoEAc6IgQ/2850x1515/unit/5886767/img-5721.jpeg,https://cdn.fazwaz.com/wbr/jF9mU-9EgS8B9bF_l6CGSmEHOFI/250x250/unit/5886767/img-5722.jpeg,https://cdn.fazwaz.com/wbr/IJuyemJYsLAb72GxnOpwLi5iX_o/250x250/unit/5886767/img-5723.jpeg,https://cdn.fazwaz.com/wbr/JSLDMCDD5BYJVnBcfSeyHY4-2QE/250x250/unit/5886767/img-5724.jpeg,https://cdn.fazwaz.com/wbr/ngAZ6qDHOJYsUZp4Mx_ipDTyoOE/250x250/unit/5886767/img-5725.jpeg",U5886767,"Plentong, Johor Bahru, Johor",RM550,Penthouse,Private Owner,Studio Penthouse for rent at Permas Jaya,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-permas-jaya-in-plentong-johor-u5886767
998 Sqft,1,2,"This property is a 998 Sqft penthouse with 2 bedrooms and 1 bathroom that is available for rent. It is part of the Permas Jaya project in Plentong, Johor and was completed in Jun 2017. You can rent this penthouse long term for RM800 per month.
Master bedroom also got private bathroom
The whole Unit For Rent Private Bedroom 🛏 and Toilet 🚽
Serious tenant, please feel free to contact
Mr bin Muhamad
for more information and viewing arrangement. Many thanks.
016 219 8047",2025-12-13T23:48:46.611545+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/sdtOS39MBzGfJl9UdzhZLjCOAa4/2850x1515/unit/5765351/2bedroom4211.jpg,https://cdn.fazwaz.com/wbr/qZw_QL2bw-Juvc4aOgvWD9WDoOQ/250x250/unit/5765351/2bdrooms23322.jpg,https://cdn.fazwaz.com/wbr/oHATSYXUcPAK3pTq38LMAGnJys4/250x250/unit/5765351/2bedrooks332.jpg,https://cdn.fazwaz.com/wbr/Kt0pPotU9JkNkuyoaF-kbSMnQiE/250x250/unit/5765351/2bedrooms22110.jpg,https://cdn.fazwaz.com/wbr/vjpSb3GO9Mnfn9tQD-tD12b9b9c/250x250/unit/5765351/2bedrooms4432.jpg",U5765351,"Plentong, Johor Bahru, Johor",RM800,Penthouse,Private Owner,2 Bedroom Penthouse for rent at Permas Jaya,https://www.fazwaz.my/property-rent/2-bedroom-penthouse-for-rent-at-permas-jaya-in-plentong-johor-u5765351
675 Sqft,1,0,"This property is a 675 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Austin Duta project in Pulai, Johor and was completed in Nov 2023. You can rent this penthouse long term for RM600 per month.
Fully furnished studio
Kitchen Cabinet,Mattress,TV,A/C,Sofa,Refrigerator,Bedframe,Water Heater,Dining Table,Hood & Hub,Wardrobe,Curtain,Microwave,Washing Machine
Facilities
Security 24 Hr,Swimming,Squasy,Elevator,Mart,Restaurant,Sauna,Playground,Badminton,Gym,Covered Parking
Kindly text the owner on WhatsApp on 601162343286 for more details",2025-12-13T23:48:46.611545+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/HlcSBxxTNL9bie55cOX-OpFNzwI/2850x1515/unit/5927334/img-1027.jpeg,https://cdn.fazwaz.com/wbr/6gCksEzaAQ1XbX3yEW7Oz9-O_Us/250x250/unit/5927334/img-1028.jpeg,https://cdn.fazwaz.com/wbr/NSPVpVy2fUW5hF2zVrJCdTkqIig/250x250/unit/5927334/img-1029.jpeg,https://cdn.fazwaz.com/wbr/kbL-U-TtIwkpPxO9zJZv9eIgREc/250x250/unit/5927334/img-1030.jpeg,https://cdn.fazwaz.com/wbr/yGsPxZGyHrhEsFRWv4KQIcuFZeo/250x250/unit/5927334/img-1031.jpeg",U5927334,"Pulai, Johor Bahru, Johor",RM600,Penthouse,Private Owner,Studio Penthouse for rent at Austin Duta,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-austin-duta-in-pulai-johor-u5927334
400 Sqft,1,1,"This property is a 400 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Permas Jaya project in Plentong, Johor and was completed in Jun 2017. You can rent this penthouse long term for RM450 per month.
Single bedroom also got private bathroom
Kindly Follow the instructions of the Unit Here🔥🔥 BY 🏡,Sending A message Via(WhatsApp)
Fully furnished non sharing Available to move in ASAP.
Got Car 🚗 park included.
Notes:You can send a message via WhatsApp for fast response.
016 219 8047",2025-12-13T23:48:46.611545+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/j-jDbJ7IbHHtozIwYb19PKOXvHY/2850x1515/unit/5736173/single-bedroom9999.jpg,https://cdn.fazwaz.com/wbr/wLHkvx2c3Ydxr9h4Dm2o4YyOuss/250x250/unit/5736173/singke-bedoom99887.jpg,https://cdn.fazwaz.com/wbr/rEykM3JcvRq9FpWxrnmHnSgJVvw/250x250/unit/5736173/single-bedroom80000.jpg,https://cdn.fazwaz.com/wbr/xb5fczZPxqz3P9vhafrpg6vozo8/250x250/unit/5736173/single-bedroom9077.jpg,https://cdn.fazwaz.com/wbr/-WlX10J27YcigY4BnshfJwiYeao/250x250/unit/5736173/single-bedroom99909.jpg",U5736173,"Plentong, Johor Bahru, Johor",RM450,Penthouse,Private Owner,1 Bedroom Penthouse for rent at Permas Jaya,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-permas-jaya-in-plentong-johor-u5736173
