area,bathrooms,bedrooms,description,fetched_at,furnished,images,listing_id,location,price,property_type,seller_name,title,url
N/A,2,3,"This property is a 15,069 Sqft townhouse with 3 bedrooms and 2 bathrooms that is available for rent. It is located in Bandar Johor Bahru, Johor. You can rent this townhouse long term for RM1,200 per month.",2025-12-13T23:48:35.887550+00:00,N/A,"https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvOGNmMTMxNTEtMmJiYy00MmMzLThjYzMtOTk2NzM3MWU2YTdlXC9ob21lLTEuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjk1MCwiaGVpZ2h0Ijo1MDUsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvOGNmMTMxNTEtMmJiYy00MmMzLThjYzMtOTk2NzM3MWU2YTdlXC9ob21lLTIuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvOGNmMTMxNTEtMmJiYy00MmMzLThjYzMtOTk2NzM3MWU2YTdlXC9ob21lLTMuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvOGNmMTMxNTEtMmJiYy00MmMzLThjYzMtOTk2NzM3MWU2YTdlXC9ob21lLTQuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvOGNmMTMxNTEtMmJiYy00MmMzLThjYzMtOTk2NzM3MWU2YTdlXC9ob21lLTUuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==",U2033931,"Bandar Johor Bahru, Johor Bahru, Johor","RM1,200",Townhouse,Proppit,"Jalan Rumbia, Taman Daya Single Storey House",https://www.fazwaz.my/property-rent/3-bedroom-townhouse-for-rent-in-bandar-johor-bahru-johor-u2033931
"1,496 Sqft",2,4,"This property is a 1,080 Sqft townhouse with 4 bedrooms and 2 bathrooms that is available for rent. It is located in Jelutong, Johor. You can rent this townhouse long term for RM1,300 per month.",2025-12-13T23:48:35.887550+00:00,N/A,"https://cdn.fazwaz.com/wbr/Mi-WgDqMhK7faY63Jd5nztDf5Sk/2850x1515/unit/527342/1-6234f91ae07884c1402e676f4870e4a8.jpg,https://cdn.fazwaz.com/wbr/SpyxYYKag4Z8u6JKSbeklAikgWw/250x250/unit/527342/3-76ceb073f6819eb431ba3c088da4470b.jpg,https://cdn.fazwaz.com/wbr/qanLpYl_-4cVRVYMdXOXJRevCAY/250x250/unit/527342/4-360c5cc08790cca643555177bc0df1c2.jpg,https://cdn.fazwaz.com/wbr/h_5CaqGXlf63vhsMF1IvZA57NZA/250x250/unit/527342/5-869bd99a440196d9d4c682945d068af0.jpg,https://cdn.fazwaz.com/wbr/OXPhSD9cawp7HRlbiUC6N4CSF2w/250x250/unit/527342/6-092c1aed6ce8f7cdd7a07de486a33de1.jpg",U527342,"Jelutong, Johor Bahru, Johor","RM1,300",Townhouse,Agent / Partner,"Gelang Patah, Johor",https://www.fazwaz.my/property-rent/4-bedroom-townhouse-for-rent-in-jelutong-johor-u527342
"1,399 Sqft",3,4,"This property is a 1,400 Sqft townhouse with 4 bedrooms and 3 bathrooms that is available for rent. It is located in Pulai, Johor. You can rent this townhouse long term for RM1,300 per month.",2025-12-13T23:48:35.887550+00:00,N/A,"https://cdn.fazwaz.com/wbr/A94SnaP8bWq1-xp8eKpQnEZKAWQ/2850x1515/unit/524376/1-859e46472cf980ab1efef33e5fefce47.jpg,https://cdn.fazwaz.com/wbr/vdqM8UwoLeBZEJ8_s24D8eO8Fbo/250x250/unit/524376/3-9641042b7f52f523a9aa32a1714a40e0.jpg,https://cdn.fazwaz.com/wbr/IHN7eCXapAK5FngBRKZC37725OQ/250x250/unit/524376/4-c6932bd84858e340b9a68c33d0a635d5.jpg,https://cdn.fazwaz.com/wbr/8yV3RE_LhYxnpYgKa-oVyqmdiqg/250x250/unit/524376/5-fd417c7c3520e6c3481609b2b96343ae.jpg,https://cdn.fazwaz.com/wbr/hZuE_Eliw7Bw7W84ZaALZCVBRRw/250x250/unit/524376/6-411437f962c0de6886b809f41f8dbd97.jpg",U524376,"Pulai, Johor Bahru, Johor","RM1,300",Townhouse,Agent / Partner,"Gelang Patah, Johor",https://www.fazwaz.my/property-rent/4-bedroom-townhouse-for-rent-in-pulai-johor-u524376
N/A,5,4,"This property is a 2,439 Sqft townhouse with 4 bedrooms and 5 bathrooms that is available for rent. It is located in Pulai, Johor. You can rent this townhouse long term for RM3,300 per month.",2025-12-13T23:48:35.887550+00:00,N/A,"https://cdn.fazwaz.com/wbr/UldXYvrRoIZN2cDBEqUv7OdKVO4/2850x1515/unit/483736/1-486790a54188e85ba777ffce730f774d.jpg,https://cdn.fazwaz.com/wbr/VRviNHLyeWCjpoxU3abT4P2T30Y/250x250/unit/483736/3-614fe819e14887e9d8e16798ad790484.jpg,https://cdn.fazwaz.com/wbr/ibcVICg-jWz17mFni0lLJOKiARo/250x250/unit/483736/4-18766516c6b97cf69fb4b15c427bb3a5.jpg,https://cdn.fazwaz.com/wbr/GAx4V4i9cLig-r1ubCvNnwMWvzg/250x250/unit/483736/5-fb5231a93d541e1f1a72ad7cd09e8fa5.jpg,https://cdn.fazwaz.com/wbr/O6wnqQN5De5EUQijUi-PkbRLTHA/250x250/unit/483736/6-87f71d6dafc3e6e70887321f2623bacf.jpg",U483736,"Pulai, Johor Bahru, Johor","RM3,300",Townhouse,Agent / Partner,"Medini, Johor",https://www.fazwaz.my/property-rent/4-bedroom-townhouse-for-rent-in-pulai-johor-u483736
N/A,3,4,"This property is a 1,815 Sqft townhouse with 4 bedrooms and 3 bathrooms that is available for rent. It is located in Plentong, Johor. You can rent this townhouse long term for RM2,200 per month.",2025-12-13T23:48:35.887550+00:00,N/A,"https://cdn.fazwaz.com/wbr/arPYP9ZyIJywsbBHp4y4aHdnlgE/2850x1515/unit/480604/1-4e038478a506f87c185e200c854949ab.jpg,https://cdn.fazwaz.com/wbr/NQlIVgns8nEpo-egcg3lWnqjIxM/250x250/unit/480604/3-9f7f8eb8077a84703946c31ccd8c76fd.jpg,https://cdn.fazwaz.com/wbr/OHRwjBmGRM9VGDv024Chqrwtdc0/250x250/unit/480604/4-ecc41d0e245b1d16ee002a7eca5812d6.jpg,https://cdn.fazwaz.com/wbr/lqS9gpFJlca1kvD6DYttXfB6jeY/250x250/unit/480604/5-284de297263d62a27d994378d53be7e7.jpg,https://cdn.fazwaz.com/wbr/a3O4vXzgj5kyKjC2ippPQ4pd-LA/250x250/unit/480604/6-bb14de6094e676ebec574f5d540717e8.jpg",U480604,"Plentong, Johor Bahru, Johor","RM2,200",Townhouse,Agent / Partner,"Pasir Gudang, Johor",https://www.fazwaz.my/property-rent/4-bedroom-townhouse-for-rent-in-plentong-johor-u480604
N/A,5,4,"This property is a 2,600 Sqft townhouse with 4 bedrooms and 5 bathrooms that is available for rent. It is part of the Iskandar Puteri (Nusajaya) project in Pulai, Johor and was completed in Feb 2024. You can rent this townhouse long term for RM2,600 per month.",2025-12-13T23:48:35.887550+00:00,N/A,"https://cdn.fazwaz.com/wbr/kn_AcHg-81SLWz2EPfUTpclP1S4/2850x1515/unit/527410/1-5fba0900e2590c60371726105e53b340.jpg,https://cdn.fazwaz.com/wbr/rrYgEhgvVxyLtDd1fUXJVdQxGTI/250x250/unit/527410/3-dd00315ea8f00c379d5ca93d61b8f44e.jpg,https://cdn.fazwaz.com/wbr/xXfWHm6LsYKU6cZxj1DZOEywVhk/250x250/unit/527410/4-e2b43080e49695e7e0ce8c1681567bcc.jpg,https://cdn.fazwaz.com/wbr/AYvwtHO1F0h88Rxr3G7jyfDhKyM/250x250/unit/527410/5-395db28a45a67b77867e35244e14402d.jpg,https://cdn.fazwaz.com/wbr/p8aUxUxvMYmrMGvnvQNmrmgfd6c/250x250/unit/527410/6-cf60a2dd0d4ab28696cb747d8cd799ed.jpg",U527410,"Pulai, Johor Bahru, Johor","RM2,600",Townhouse,Agent / Partner,4 Bedroom Townhouse for rent at Iskandar Puteri (Nusajaya),https://www.fazwaz.my/property-rent/4-bedroom-townhouse-for-rent-at-iskandar-puteri-nusajaya-in-pulai-johor-u527410
N/A,2,3,"This property is a 1,400 Sqft townhouse with 3 bedrooms and 2 bathrooms that is available for rent. It is part of the Johor Bahru project in Bandar Johor Bahru, Johor and was completed in Mar 2023. You can rent this townhouse long term for RM1,150 per month.",2025-12-13T23:48:35.887550+00:00,N/A,"https://cdn.fazwaz.com/wbr/SFjVRbB9jyEbUmzS1n56d3QDw6g/2850x1515/unit/529522/1-e627b25914b9bab27f0297f88586b901.jpg,https://cdn.fazwaz.com/wbr/a7p8mNiSMnZUcIAG8gu8YIhzHjg/250x250/unit/529522/3-0383c163fb2f2fa4c5a3da0c0e8f4305.jpg,https://cdn.fazwaz.com/wbr/sgOddwSUuo_4gZmxyIenUIeMw6Y/250x250/unit/529522/4-c9f7835e604e9540736aadababe4da33.jpg,https://cdn.fazwaz.com/wbr/Q8xWdTXMMWxklfYgD4HNWqSFNo8/250x250/unit/529522/5-e9ae982cf9a80a67f4f5b4e1857b40f6.jpg,https://cdn.fazwaz.com/wbr/7IviU8hPdMwbjbN8ePR7_NLnjBo/250x250/unit/529522/6-1e104359820adee653a91e420c13ae4f.jpg",U529522,"Bandar Johor Bahru, Johor Bahru, Johor","RM1,150",Townhouse,Agent / Partner,3 Bedroom Townhouse for rent at Johor Bahru,https://www.fazwaz.my/property-rent/3-bedroom-townhouse-for-rent-at-johor-bahru-in-bandar-johor-bahru-johor-u529522
N/A,3,4,"This property is a 3,800 Sqft townhouse with 4 bedrooms and 3 bathrooms that is available for rent. It is part of the Johor Bahru project in Bandar Johor Bahru, Johor and was completed in Mar 2023. You can rent this townhouse long term for RM1,600 per month.",2025-12-13T23:48:35.887550+00:00,N/A,"https://cdn.fazwaz.com/wbr/FofwPRPUA26LWy9oyGuNHKN1iGY/2850x1515/unit/527292/1-2cb8406e081a67a835768d7724723f01.jpg,https://cdn.fazwaz.com/wbr/YxTJp0qQZwGd9WaNrYPXjkTceWo/250x250/unit/527292/3-bf7824909bb56fefe205193f7d5d73b8.jpg,https://cdn.fazwaz.com/wbr/UVgrqb1U8tWZ82sSM1gTSEPBxbg/250x250/unit/527292/4-ec3221d71c4be05b19569abf962f0cca.jpg,https://cdn.fazwaz.com/wbr/TfGduCebjOe3caDAwo1KaWp0JKg/250x250/unit/527292/5-941f4f8aff1e027e1a4b0af407d62745.jpg,https://cdn.fazwaz.com/wbr/t5MUeKwxMj1QlYjr2kW08urKEL0/250x250/unit/527292/6-3c72024673870c30bec7ffcc061b9032.jpg",U527292,"Bandar Johor Bahru, Johor Bahru, Johor","RM1,600",Townhouse,Agent / Partner,4 Bedroom Townhouse for rent at Johor Bahru,https://www.fazwaz.my/property-rent/4-bedroom-townhouse-for-rent-at-johor-bahru-in-bandar-johor-bahru-johor-u527292
N/A,2,3,"This property is a 712 Sqft townhouse with 3 bedrooms and 2 bathrooms that is available for rent. It is located in Pulai, Johor. You can rent this townhouse for RM750 per month and it is also available for sale for RM165,000.",2025-12-13T23:48:35.887550+00:00,Partly Furnished,"https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvMmJkMjcwODktMzQzNS00ODI0LTk1NGQtYWI0NTc1Mjk5MTYyXC9ob21lLTEuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjk1MCwiaGVpZ2h0Ijo1MDUsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvMmJkMjcwODktMzQzNS00ODI0LTk1NGQtYWI0NTc1Mjk5MTYyXC9ob21lLTIuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvMmJkMjcwODktMzQzNS00ODI0LTk1NGQtYWI0NTc1Mjk5MTYyXC9ob21lLTMuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvMmJkMjcwODktMzQzNS00ODI0LTk1NGQtYWI0NTc1Mjk5MTYyXC9ob21lLTQuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvMmJkMjcwODktMzQzNS00ODI0LTk1NGQtYWI0NTc1Mjk5MTYyXC9ob21lLTUuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==",U2034968,"Pulai, Johor Bahru, Johor",RM750,Townhouse,Proppit,Park Avenue Town House @Tampoi Indah 2,https://www.fazwaz.my/property-rent/3-bedroom-townhouse-for-rent-in-pulai-johor-u2034968
N/A,2,3,"This property is a 0 Sqft townhouse with 3 bedrooms and 2 bathrooms that is available for rent. It is located in Plentong, Johor. You can rent this townhouse for RM1,000 per month and it is also available for sale for RM250,000.",2025-12-13T23:48:35.887550+00:00,Unfurnished,"https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvNDk0NTEwMDYtODE1Ny00ZjMyLWEyM2UtNDg4YjRjNTQ2NDRkXC9ob21lLTEuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjk1MCwiaGVpZ2h0Ijo1MDUsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvNDk0NTEwMDYtODE1Ny00ZjMyLWEyM2UtNDg4YjRjNTQ2NDRkXC9ob21lLTIuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvNDk0NTEwMDYtODE1Ny00ZjMyLWEyM2UtNDg4YjRjNTQ2NDRkXC9ob21lLTMuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvNDk0NTEwMDYtODE1Ny00ZjMyLWEyM2UtNDg4YjRjNTQ2NDRkXC9ob21lLTQuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvNDk0NTEwMDYtODE1Ny00ZjMyLWEyM2UtNDg4YjRjNTQ2NDRkXC9ob21lLTUuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==",U2041632,"Plentong, Johor Bahru, Johor","RM1,000",Townhouse,Proppit,Seri alam town house ground floor got kitchen table top,https://www.fazwaz.my/property-rent/3-bedroom-townhouse-for-rent-in-plentong-johor-u2041632
