area,bathrooms,bedrooms,description,fetched_at,furnished,images,listing_id,location,price,property_type,seller_name,title,url
619 Sqft,1,1,"This property is a 619 Sqft condo with 1 bedroom and 1 bathroom that is available for rent. It is part of the Seremban project in Padang Masirat, Kedah and was completed in Mar 2023. You can rent this condo long term for RM700 per month.
STUDIO ROOM FOR AVAILABLE FOR RENT FULLY FURNISHED comfortab
The whole Unit For Rent
Private Bedroom and Toilet
116-062 0745
for more information and viewing arrangement. Many thanks.",2025-12-13T23:49:07.203059+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/aiCON0RhaaY8W8CNWgpmfS3vafo/2850x1515/unit/5928169/img-4599.jpeg,https://cdn.fazwaz.com/wbr/ix0porOOPa_roDRVcVbPbysA6hY/250x250/unit/5928169/img-4600.jpeg,https://cdn.fazwaz.com/wbr/Txw9QK8Nsxt1qHM2WJ88-mx7deU/250x250/unit/5928169/img-4601.jpeg,https://cdn.fazwaz.com/wbr/i7DLwM0Uzc_Y0F0mbyIxJkzTpfU/250x250/unit/5928169/img-4602.jpeg,https://cdn.fazwaz.com/wbr/sDnCVQwyNh1yJ8tqc2mvphZpGMs/250x250/unit/5928169/img-4603.jpeg",U5928169,"Padang Masirat, Langkawi, Kedah",RM700,Condo,Private Owner,1 Bedroom Condo for rent at Seremban,https://www.fazwaz.my/property-rent/1-bedroom-condo-for-rent-at-seremban-in-padang-masirat-kedah-u5928169
719 Sqft,2,2,"This property is a 719 Sqft penthouse with 2 bedrooms and 2 bathrooms that is available for rent. It is part of the Pantai project in Padang Masirat, Kedah and was completed in Sep 2021. You can rent this penthouse long term for RM780 per month.
Pantai - Padang Masirat, Kedah
Kindly Follow the instructions of the Unit Here🔥🔥 BY 🏡,
Serious tenant, please feel free contact
Via(WhatsApp)
Fully furnished non sharing Available to move in ASAP.
Got Car 🚗 park included.
Notes:You can send a message via WhatsApp for fast response.
0143988048",2025-12-13T23:49:07.203059+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/a9Z_OfmGLgeeNJqBu_PJ5PnWqp8/2850x1515/unit/5713657/889p.jpg,https://cdn.fazwaz.com/wbr/cJG1CUFBCTpSocXPSsHTzpEKs0U/250x250/unit/5713657/55ii.jpg,https://cdn.fazwaz.com/wbr/nbwHyEg4isXyyUUK-PAWwutmxcI/250x250/unit/5713657/8899.jpg,https://cdn.fazwaz.com/wbr/RjJfxojjtTjEtksiRw6vkgb98xI/250x250/unit/5713657/9909.jpg,https://cdn.fazwaz.com/wbr/L9GZiyGguLJd3m9o7pEkuB0FW-o/250x250/unit/5713657/nn.jpg",U5713657,"Padang Masirat, Langkawi, Kedah",RM780,Penthouse,Private Owner,2 Bedroom Penthouse for rent at Pantai,https://www.fazwaz.my/property-rent/2-bedroom-penthouse-for-rent-at-pantai-in-padang-masirat-kedah-u5713657
22 Sqft,1,0,"This property is a 22 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Seremban project in Padang Masirat, Kedah and was completed in Mar 2023. You can rent this penthouse long term for RM151,000,000 per month.
- [ ] Looking for a happy, great tenant to make this cute an
- [ ] Looking for a happy, great tenant to make this cute and place home!
- [ ] A condo common room with a private bathroom for the tenant's own use.
- [ ] Fully furnished with a Queen sized bed, ceiling fan, aircon, wardrobe with mirror, study table with chair, television, standing fan, standing lamp.
- [ ] -- WiFi, electricity and water are included. Washing machine and refrigerator available.
- [ ] -- Light cooking is acceptable.
- [ ] -- Room is available immediately.
- [ ] -- Good location.
Pm me via WhatsApp number Cruz :63 962 697 1128",2025-12-13T23:49:07.203059+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/pq4U7PRthYsYjAdXRcVsIn2i_gk/2850x1515/unit/5716298/img-4327.jpeg,https://cdn.fazwaz.com/wbr/WsZc1HIwqUkJrLvGdorirZB0XOo/250x250/unit/5716298/img-4329.jpeg,https://cdn.fazwaz.com/wbr/dWVprNrgooLyDATKGlifiApbNhU/250x250/unit/5716298/img-4330.jpeg,https://cdn.fazwaz.com/wbr/SoofrOGL3uxwfwnjjTASeTR5HKA/250x250/unit/5716298/img-4331.jpeg,https://cdn.fazwaz.com/wbr/so-Sr90e2lD1uRNQYoFePCJl1o4/250x250/unit/5716298/img-4332.jpeg",U5716298,"Padang Masirat, Langkawi, Kedah","RM151,000,000",Penthouse,Private Owner,Studio Penthouse for rent at Seremban,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-seremban-in-padang-masirat-kedah-u5716298
719 Sqft,1,0,"This property is a 719 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Bandar Utama project in Padang Masirat, Kedah and was completed in Mar 2023. You can rent this penthouse long term for RM780 per month.
Bandar Utama - Padang Masirat, Kedah
Kindly Follow the instructions of the Unit Here🔥🔥 BY 🏡,
Serious tenant, please feel free contact
Via(WhatsApp)
Fully furnished non sharing Available to move in ASAP.
Got Car 🚗 park included.
Notes:You can send a message via WhatsApp for fast response.
0143988048",2025-12-13T23:49:07.203059+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/-2ksbTowSSK1T0Icw9Vb57-klnw/2850x1515/unit/5721030/ee2.jpg,https://cdn.fazwaz.com/wbr/yq4dFV06KLrFqK3Qh6fW67IOO-Q/250x250/unit/5721030/ee1.jpg,https://cdn.fazwaz.com/wbr/l6Et3M-95843sevaQBe8JnG4H38/250x250/unit/5721030/ee4.jpg,https://cdn.fazwaz.com/wbr/5HQX7o26eKzbi3hLD1N4-t9mMXg/250x250/unit/5721030/ee5.jpg,https://cdn.fazwaz.com/wbr/cKoLhsJrJMcsO1WTmemFxNLc4p4/250x250/unit/5721030/ee6.jpg",U5721030,"Padang Masirat, Langkawi, Kedah",RM780,Penthouse,Private Owner,Studio Penthouse for rent at Bandar Utama,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-bandar-utama-in-padang-masirat-kedah-u5721030
540 Sqft,1,1,"This property is a 540 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Lakeside Pavilion project in Bukit Raya, Kedah and was completed in Jun 2024. You can rent this penthouse long term for RM450 per month.
Single bedroom also got private bathroom
Serious tenant, please feel free to contact
MUHAMAD at ‪‪‪ ‪‪+60 11 6825 9632
for more information and viewing arrangement. Many thanks.",2025-12-13T23:49:07.203059+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/L8qv8EGPJr58twfL2-DEiD8-AQk/2850x1515/unit/5721411/img-8283.jpeg,https://cdn.fazwaz.com/wbr/ka69Y3m_GHlTTogPQy9Eblwxu8g/250x250/unit/5721411/img-8284.jpeg,https://cdn.fazwaz.com/wbr/cZQ3hJQQobt0z48yTamXKKCen5U/250x250/unit/5721411/img-8285.jpeg,https://cdn.fazwaz.com/wbr/GPDxzahUo9J6Y3wsMAAEZqb622s/250x250/unit/5721411/img-8286.jpeg,https://cdn.fazwaz.com/wbr/U8F4QCO1NPplEmsZx9XDo70XPXY/250x250/unit/5721411/img-8287.jpeg",U5721411,"Bukit Raya, Pendang, Kedah",RM450,Penthouse,Private Owner,1 Bedroom Penthouse for rent at Lakeside Pavilion,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-lakeside-pavilion-in-bukit-raya-kedah-u5721411
850 Sqft,1,2,"This property is a 850 Sqft penthouse with 2 bedrooms and 1 bathroom that is available for rent. It is part of the Impian project in Bukit Raya, Kedah and was completed in Jun 2023. You can rent this penthouse long term for RM650 per month.
Master bedrooms also got private bathroom
Serious tenant, please feel free to contact
MUHAMAD at ‪‪‪ ‪‪+60 11 6825 9632
for more information and viewing arrangement. Many thanks.",2025-12-13T23:49:07.203059+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/KECiuFTUwPlBOITAMmEjK6cdRAE/2850x1515/unit/5722674/img-0951.jpeg,https://cdn.fazwaz.com/wbr/uMwHIjNPAdFFH1733sADzq8hQpA/250x250/unit/5722674/img-0947.jpeg,https://cdn.fazwaz.com/wbr/9Ru1luOgwhl_x5RLE5TM4DeiWto/250x250/unit/5722674/img-0948.jpeg,https://cdn.fazwaz.com/wbr/GW7XYponE5gQub31etCBQl7hjJs/250x250/unit/5722674/img-0949.jpeg,https://cdn.fazwaz.com/wbr/pqCdsNCIGf48wSFqHKEDdidzT5Q/250x250/unit/5722674/img-0950.jpeg",U5722674,"Bukit Raya, Pendang, Kedah",RM650,Penthouse,Private Owner,2 Bedroom Penthouse for rent at Impian,https://www.fazwaz.my/property-rent/2-bedroom-penthouse-for-rent-at-impian-in-bukit-raya-kedah-u5722674
760 Sqft,1,2,"This property is a 760 Sqft penthouse with 2 bedrooms and 1 bathroom that is available for rent. It is part of the Brickfields project in Padang Masirat, Kedah and was completed in Oct 2021. You can rent this penthouse long term for RM700 per month.
Master bedrooms also got private bathroom
Serious tenant, please feel free to contact
MUHAMAD at ‪‪‪ ‪‪+60 11 6825 9632
for more information and viewing arrangement. Many thanks.",2025-12-13T23:49:07.203059+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/Vqn3h5kpLWQiSHuRvgBraE3AVlw/2850x1515/unit/5722683/img-9476.png,https://cdn.fazwaz.com/wbr/S1jF0OCnQfB3G1XY-w2fN_4LTKY/250x250/unit/5722683/img-9477.png,https://cdn.fazwaz.com/wbr/GMlNr657KM8GUl1EHWmZK0rnNWw/250x250/unit/5722683/img-9478.png,https://cdn.fazwaz.com/wbr/OZFygJ7CZVUaQPT9SuljFSG12DU/250x250/unit/5722683/img-9479.png,https://cdn.fazwaz.com/wbr/kHoiQIIWbjdx6btaKIQLRvSf-bU/250x250/unit/5722683/img-9480.png",U5722683,"Padang Masirat, Langkawi, Kedah",RM700,Penthouse,Private Owner,2 Bedroom Penthouse for rent at Brickfields,https://www.fazwaz.my/property-rent/2-bedroom-penthouse-for-rent-at-brickfields-in-padang-masirat-kedah-u5722683
540 Sqft,1,1,"This property is a 540 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Kampung Kerinchi (Bangsar South) project in Padang Masirat, Kedah and was completed in Sep 2022. You can rent this penthouse long term for RM450 per month.
Single bedroom also got private bathroom
The whole Unit For Rent Private Bedroom 🛏 and Toilet 🚽 Serious tenant, please feel free to contact Muhamad at ‪ ‪60-16‑219-8047‬ ‬for more information and viewing arrangement. Many thanks.",2025-12-13T23:49:07.203059+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/GPSCCI8fcZ--D-x9_up6hwX1RjI/2850x1515/unit/5739757/c64ac1b6-3e19-44df-8f8a-6de2675c97cd.jpeg,https://cdn.fazwaz.com/wbr/sxNMIZ8RjLs6hudRQ_Vai97BX_I/250x250/unit/5739757/9838c5fa-8031-4187-9ff2-069db082628e.jpeg,https://cdn.fazwaz.com/wbr/LHxR0zggNze7RxycquFkIl_5gWw/250x250/unit/5739757/666afffc-0d52-4a4a-b451-4710afe2611b.jpeg,https://cdn.fazwaz.com/wbr/E5ic9EsR9dIDMyEEdC_Hqo9TAhs/250x250/unit/5739757/c3f3c59d-9b85-4567-9b13-19ebbda5a59a.jpeg,https://cdn.fazwaz.com/wbr/6aMuqa6hVSS68XZGn8AYGCvjdfs/250x250/unit/5739757/dfb716db-c5c5-4e35-8e9a-4b882782311a.jpeg",U5739757,"Padang Masirat, Langkawi, Kedah",RM450,Penthouse,Private Owner,1 Bedroom Penthouse for rent at Kampung Kerinchi (Bangsar South),https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-kampung-kerinchi-bangsar-south-in-padang-masirat-kedah-u5739757
"1,032 Sqft",2,3,"This property is a 1,032 Sqft apartment with 3 bedrooms and 2 bathrooms that is available for rent. It is part of the Kampung Kerinchi (Bangsar South) project in Padang Masirat, Kedah and was completed in Sep 2022. You can rent this apartment long term for RM3,400 per month.",2025-12-13T23:49:07.203059+00:00,N/A,"https://cdn.fazwaz.com/wbr/MjfdpAJnDNj_SVSX5VPARFs5euk/2850x1515/unit/527432/1-01c71e1c2d7f63ebb3f472dac3830ccc.jpg,https://cdn.fazwaz.com/wbr/VPyRPG3BuZ_lQhtTG2qrYsIq3C8/250x250/unit/527432/3-5eaf87d83561008ded9ea92c46adb184.jpg,https://cdn.fazwaz.com/wbr/-IbxNiOFwx_PJCyMQgVd_k95Xrc/250x250/unit/527432/4-6d2f2e292ac09943ebc93efaf92d27fb.jpg",U527432,"Padang Masirat, Langkawi, Kedah","RM3,400",Apartment,Agent / Partner,3 Bedroom Apartment for rent at Kampung Kerinchi (Bangsar South),https://www.fazwaz.my/property-rent/3-bedroom-apartment-for-rent-at-kampung-kerinchi-bangsar-south-in-padang-masirat-kedah-u527432
"1,076 Sqft",2,3,"This property is a 1,076 Sqft apartment with 3 bedrooms and 2 bathrooms that is available for rent. It is part of the Tampoi project in Padang Masirat, Kedah and was completed in Jan 2017. You can rent this apartment long term for RM1,250 per month.",2025-12-13T23:49:07.203059+00:00,N/A,"https://cdn.fazwaz.com/wbr/sQxtweDFRSaG0UoqzOaGYja_JYU/2850x1515/unit/527450/1-4f9829d7de202e779bab723c3c22151e.jpg,https://cdn.fazwaz.com/wbr/4K5PY5YVlj4k5WaYB74xHFByj_c/250x250/unit/527450/3-40f1e9ca084bc67fe7a27bfbc5c0ce0b.jpg,https://cdn.fazwaz.com/wbr/NuTDAXYfcMHYt-lObSwPebsZlpw/250x250/unit/527450/4-f0b4ea7437f0b65e2a39952626916660.jpg,https://cdn.fazwaz.com/wbr/8c8_tr-K5DhmNHI415GVs3grEmg/250x250/unit/527450/5-c9f6bf6def7b4cdd8f0e90d5bb6a3fe4.jpg",U527450,"Padang Masirat, Langkawi, Kedah","RM1,250",Apartment,Agent / Partner,3 Bedroom Apartment for rent at Tampoi,https://www.fazwaz.my/property-rent/3-bedroom-apartment-for-rent-at-tampoi-in-padang-masirat-kedah-u527450
