area,bathrooms,bedrooms,description,fetched_at,furnished,images,listing_id,location,price,property_type,seller_name,title,url
"1,604 Sqft",4,6,"This property is a 3,600 Sqft townhouse with 6 bedrooms and 4 bathrooms that is available for rent. It is located in Padang Masirat, Kedah. You can rent this townhouse long term for RM3,000 per month.",2025-12-13T23:48:55.334901+00:00,N/A,"https://cdn.fazwaz.com/wbr/DbcrkMKetIc48miPG-KlMvy0WnU/2850x1515/unit/480606/1-009b785cc4f318dfe52a5ea14861ce01.jpg,https://cdn.fazwaz.com/wbr/G6GvqKRuxabHVgNj3VFO-ILeJ7U/250x250/unit/480606/3-a02887671f0d0567f4779fe41074c1e9.jpg,https://cdn.fazwaz.com/wbr/dFFCXJRuc9DPM7U9lU2KZuJoRCE/250x250/unit/480606/4-a58ac87aebf16d099cc11ed60a22bab4.jpg,https://cdn.fazwaz.com/wbr/TKt5G4AA1LInPqqNhmXAK9xeGuQ/250x250/unit/480606/5-d4c4f92627d70d5b623d43dd7f324ffa.jpg,https://cdn.fazwaz.com/wbr/fJz7uZafD1Xg3YmqWf4Eej4w67Q/250x250/unit/480606/6-6a29eea8095d70a3f9f52f18dfb1d648.jpg",U480606,"Padang Masirat, Langkawi, Kedah","RM3,000",Townhouse,Agent / Partner,"Georgetown, Penang",https://www.fazwaz.my/property-rent/6-bedroom-townhouse-for-rent-in-padang-masirat-kedah-u480606
N/A,2,4,"This property is a 1,000 Sqft townhouse with 4 bedrooms and 2 bathrooms that is available for rent. It is located in Padang Masirat, Kedah. You can rent this townhouse long term for RM800 per month.",2025-12-13T23:48:55.334901+00:00,N/A,https://cdn.fazwaz.com/wbr/QogMIGovKUhsao7ktxrkxZ4gLO4/2850x1515/unit/480614/1-24bec7e24b285d6ddf2be72aad48c854.jpg,U480614,"Padang Masirat, Langkawi, Kedah",RM800,Townhouse,Agent / Partner,"Seremban, Negeri Sembilan",https://www.fazwaz.my/property-rent/4-bedroom-townhouse-for-rent-in-padang-masirat-kedah-u480614
N/A,2,3,"This property is a 1,400 Sqft house with 3 bedrooms and 2 bathrooms that is available for rent. It is located in Padang Masirat, Kedah. You can rent this house long term for RM600 per month.",2025-12-13T23:48:55.334901+00:00,N/A,"https://cdn.fazwaz.com/wbr/HtYXyVDDRZpqz_ZaL3GG8zkE718/2850x1515/unit/478568/1-7de0350fb00ba680e8f0fde141de390c.jpg,https://cdn.fazwaz.com/wbr/2gztl-shk7322cRrUHFk9tjHuDQ/250x250/unit/478568/2-7de0350fb00ba680e8f0fde141de390c.jpg",U478568,"Padang Masirat, Langkawi, Kedah",RM600,House,Agent / Partner,"Kuantan, Pahang",https://www.fazwaz.my/property-rent/3-bedroom-house-for-rent-in-padang-masirat-kedah-u478568
N/A,2,3,"This property is a 1,200 Sqft townhouse with 3 bedrooms and 2 bathrooms that is available for rent. It is located in Padang Masirat, Kedah. You can rent this townhouse long term for RM800 per month.",2025-12-13T23:48:55.334901+00:00,N/A,"https://cdn.fazwaz.com/wbr/Qo1wygWj6xeP22PgsuyvEINaULg/2850x1515/unit/524438/1-802f1025e116393ee80dffa9f592dded.jpg,https://cdn.fazwaz.com/wbr/_oq_a1sfg-o4P3JytFeHJ6p5TMo/250x250/unit/524438/3-76d8d49103e3c4b6951b6f4e977a633f.jpg,https://cdn.fazwaz.com/wbr/Vkqd9-gqAOKQAXqGrWyfc8CmNsQ/250x250/unit/524438/4-b67b4c643501ec0af635b49e8213284b.jpg,https://cdn.fazwaz.com/wbr/BNmBw9pHUWX8PapepqEyHt4zAUQ/250x250/unit/524438/5-fcb6b9ae975ef964e21b845a54d9e4ab.jpg",U524438,"Padang Masirat, Langkawi, Kedah",RM800,Townhouse,Agent / Partner,"Seremban 2, Negeri Sembilan",https://www.fazwaz.my/property-rent/3-bedroom-townhouse-for-rent-in-padang-masirat-kedah-u524438
N/A,4,4,"This property is a 3,000 Sqft townhouse with 4 bedrooms and 4 bathrooms that is available for rent. It is located in Padang Masirat, Kedah. You can rent this townhouse long term for RM2,500 per month.",2025-12-13T23:48:55.334901+00:00,N/A,"https://cdn.fazwaz.com/wbr/79CTfEth015ZyRMb683do8fDMoA/2850x1515/unit/525046/1-1375305b102cb94437ed6d0697092e16.jpg,https://cdn.fazwaz.com/wbr/EEVto3a5HVw5fRykKeoZSPUqiL4/250x250/unit/525046/3-7635a2e35cefb2cef7f1aaeac19d92bb.jpg,https://cdn.fazwaz.com/wbr/pYItQedjLeDKMDlR2XISD1W7LM8/250x250/unit/525046/4-878a319c8c0cded6ecb9eea0e8787b39.jpg,https://cdn.fazwaz.com/wbr/plhFhhTpTbJwvWo5EsFgtrJipEk/250x250/unit/525046/5-950357ad3609ddd3349d9b539f8958f4.jpg,https://cdn.fazwaz.com/wbr/yAfqDkmRaSeEuejxK_tJ-AChzaM/250x250/unit/525046/6-659eea0d60da0a08297cf3973aa426c4.jpg",U525046,"Padang Masirat, Langkawi, Kedah","RM2,500",Townhouse,Agent / Partner,"Bandar Utama, Selangor",https://www.fazwaz.my/property-rent/4-bedroom-townhouse-for-rent-in-padang-masirat-kedah-u525046
"1,539 Sqft",3,5,"This property is a 2,500 Sqft townhouse with 5 bedrooms and 3 bathrooms that is available for rent. It is located in Padang Masirat, Kedah. You can rent this townhouse long term for RM900 per month.",2025-12-13T23:48:55.334901+00:00,N/A,"https://cdn.fazwaz.com/wbr/V_3EGFETeT9a6V_99UX6P4JSh_Q/2850x1515/unit/480610/1-9f5982690757695e49d6154b3b3e6a1f.jpg,https://cdn.fazwaz.com/wbr/-7mc_ElUm58FJnmPNSWUKt9jEHs/250x250/unit/480610/3-789704139b713e2b14407154f1490a66.jpg,https://cdn.fazwaz.com/wbr/vpuAjNvPxjD-JLva2aXdhVqY798/250x250/unit/480610/4-35f66cc91c2e30b7451ef481f7ddbedb.jpg,https://cdn.fazwaz.com/wbr/G7X6M7Z25JEBbU5f2Aw57ZzKdn0/250x250/unit/480610/5-00ca58fd2bffd681097bc3ccb334864b.jpg,https://cdn.fazwaz.com/wbr/A8aYEp1g5-EeDvoyx55EIkpetUQ/250x250/unit/480610/6-4a741e5d3a7adbc84e71b09999b07948.jpg",U480610,"Padang Masirat, Langkawi, Kedah",RM900,Townhouse,Agent / Partner,"Seremban, Negeri Sembilan",https://www.fazwaz.my/property-rent/5-bedroom-townhouse-for-rent-in-padang-masirat-kedah-u480610
N/A,4,4,"This property is a 3,400 Sqft house with 4 bedrooms and 4 bathrooms that is available for rent. It is located in Padang Masirat, Kedah. You can rent this house long term for RM2,500 per month.",2025-12-13T23:48:55.334901+00:00,N/A,"https://cdn.fazwaz.com/wbr/410EaWLmHimO98yS5xtnXoD5Bqk/2850x1515/unit/480600/1-a22bce4dca789ba8b4fdd0f64b9ad8ab.jpg,https://cdn.fazwaz.com/wbr/7WLZyzAeYX4xyk6ECCfpuRu9mJY/250x250/unit/480600/3-9c118627bbc05106d4d3e59a50e4f59c.jpg,https://cdn.fazwaz.com/wbr/m_U2YTvpOUO8jaYIxf8AzefYFxM/250x250/unit/480600/4-8fcc56403bf7e3eaba0009a5666706f3.jpg,https://cdn.fazwaz.com/wbr/P-ZUwZorgQXwmsb41Lg15gEgANk/250x250/unit/480600/5-91caef880e927948083d6fe8ee089d3b.jpg,https://cdn.fazwaz.com/wbr/eTZYGoFj17FK4Prk5ZOuM2nlo3I/250x250/unit/480600/6-7627786c54f2e023e81ff269bc75ba6e.jpg",U480600,"Padang Masirat, Langkawi, Kedah","RM2,500",House,Agent / Partner,"Setia Alam, Selangor",https://www.fazwaz.my/property-rent/4-bedroom-house-for-rent-in-padang-masirat-kedah-u480600
"2,002 Sqft",2,3,"This property is a 1,600 Sqft townhouse with 3 bedrooms and 2 bathrooms that is available for rent. It is located in Padang Masirat, Kedah. You can rent this townhouse long term for RM1,600 per month.",2025-12-13T23:48:55.334901+00:00,N/A,"https://cdn.fazwaz.com/wbr/kXTS5oSzwd-TaOiRyWuvNhHPS8A/2850x1515/unit/480618/1-219b9c31b3e995c9a5dc7d17585aa68a.jpg,https://cdn.fazwaz.com/wbr/oKIR72gapNBxW9Y3MzbKQOsrvgs/250x250/unit/480618/3-4f1cfc4478b002bb961b1fbf2b315ece.jpg,https://cdn.fazwaz.com/wbr/wbKfC3TKhwg6-9V6D9Tf-VAEG-0/250x250/unit/480618/4-2b755d80288bfc642dd940bf1a51af3b.jpg,https://cdn.fazwaz.com/wbr/g2gSqv-pfEKo0D81p40swaR7fIY/250x250/unit/480618/5-6fb0f6b6450fe5467ee31af571cb4814.jpg,https://cdn.fazwaz.com/wbr/uHQF0IxEbg9gqvPZjeAiDkGBfw8/250x250/unit/480618/6-ca90415d4c2559ce04bd996b9c31e291.jpg",U480618,"Padang Masirat, Langkawi, Kedah","RM1,600",Townhouse,Agent / Partner,"Kuantan, Pahang",https://www.fazwaz.my/property-rent/3-bedroom-townhouse-for-rent-in-padang-masirat-kedah-u480618
"2,799 Sqft",4,4,"This property is a 2,800 Sqft townhouse with 4 bedrooms and 4 bathrooms that is available for rent. It is located in Padang Masirat, Kedah. You can rent this townhouse long term for RM2,000 per month.",2025-12-13T23:48:55.334901+00:00,N/A,"https://cdn.fazwaz.com/wbr/veAA336Pt1IO7v9OsXncPFeebvg/2850x1515/unit/480620/1-56173bfcb0b4ed7c16ab1b13b3d36de6.jpg,https://cdn.fazwaz.com/wbr/hKxrdYFYSWTDcHTJg8LtM_1KyuE/250x250/unit/480620/3-6daaf430eeae987ae5ecbdeda712729f.jpg,https://cdn.fazwaz.com/wbr/vYLuRBrgYIVCwOOQyiMOGlavbHc/250x250/unit/480620/4-c44181dbad1ce4f6522c235cb29db260.jpg,https://cdn.fazwaz.com/wbr/qrWhvn8RVytl4KVls4YSzk_T-Eo/250x250/unit/480620/5-f290b1c6effa83d3464fdcab6e219b18.jpg,https://cdn.fazwaz.com/wbr/3MKoKi3mxkPSwXSXhNpfRiAtqbc/250x250/unit/480620/6-d616b4ae97a33f9da0829d55bd4c4768.jpg",U480620,"Padang Masirat, Langkawi, Kedah","RM2,000",Townhouse,Agent / Partner,"Kuantan, Pahang",https://www.fazwaz.my/property-rent/4-bedroom-townhouse-for-rent-in-padang-masirat-kedah-u480620
N/A,2,3,"This property is a 850 Sqft townhouse with 3 bedrooms and 2 bathrooms that is available for rent. It is located in Padang Masirat, Kedah. You can rent this townhouse long term for RM850 per month.",2025-12-13T23:48:55.334901+00:00,N/A,"https://cdn.fazwaz.com/wbr/gzbl4QDRRkZ1_Os4ms1v3XTMruc/2850x1515/unit/483730/1-bce0d8711b73cd1f8631bdc92ed29be7.jpg,https://cdn.fazwaz.com/wbr/iNKanS047vCTlHX4Eyr_YPdGRBg/250x250/unit/483730/3-a18c2ced6374faaac13a41cf2b097d29.jpg,https://cdn.fazwaz.com/wbr/_hdwTJ52Wva91QkgU_RYMwv8--A/250x250/unit/483730/4-39f91ebcfb65b46f1de066b2cb137a0c.jpg,https://cdn.fazwaz.com/wbr/evrh-DRwIttglN55Rnv8JFAN-rQ/250x250/unit/483730/5-af1f04ff9281e09396fd8ffda91b2eb7.jpg,https://cdn.fazwaz.com/wbr/b0BqLBO0mAJAw2IYrXE4P45MLVs/250x250/unit/483730/6-6ffe26ad3bc7c819e6963aa2710ea459.jpg",U483730,"Padang Masirat, Langkawi, Kedah",RM850,Townhouse,Agent / Partner,"Ulu Tiram, Johor",https://www.fazwaz.my/property-rent/3-bedroom-townhouse-for-rent-in-padang-masirat-kedah-u483730
