area,bathrooms,bedrooms,description,fetched_at,furnished,images,listing_id,location,price,property_type,seller_name,title,url
900 Sqft,1,0,"This property is a 900 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Seremban project in Padang Masirat, Kedah and was completed in Mar 2023. You can rent this penthouse long term for RM450 per month.
A condo common room with a private bathroom for the tenant's
IF YOU ARE INTERESTED IN RENTING THE CONDO/APARTMENT 🏠,KINDLY GET IN TOUCH WITH THE LANDLORD ON WHATSAPP:+60 10-438 1043
Apartment Features:
Modern kitchen equipped with refrigerator, oven, microwave, and complete cookware
Cozy living room with sofa, coffee table, and television
Facilities:
•-hour security
• Fully-equipped gymnasium
• Mini market
• Children’s playground
• Cafeteria
• Swimming pool
• Barbecue area
• Sky lounge
• Function room and more…
WhatsApp : +60 10-438 1043 Yeong",2025-12-13T23:49:18.411930+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/Cu6OduJqb8XEXPCmZvVZGS9Bmb4/2850x1515/unit/5891302/img-5864.jpeg,https://cdn.fazwaz.com/wbr/-l45ilWQsj4ENnKLCwMmLZA3NB0/250x250/unit/5891302/img-5865.jpeg,https://cdn.fazwaz.com/wbr/6hlfHpV-MYmTCFJOj-q27mCEQK8/250x250/unit/5891302/img-5866.jpeg,https://cdn.fazwaz.com/wbr/fvYOpP1DhLAkpIxDqi3EKmrnNbA/250x250/unit/5891302/img-5867.jpeg,https://cdn.fazwaz.com/wbr/dULJRHiAx4sDDLKG2Jz914Xklnk/250x250/unit/5891302/img-5868.jpeg",U5891302,"Padang Masirat, Langkawi, Kedah",RM450,Penthouse,Private Owner,Studio Penthouse for rent at Seremban,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-seremban-in-padang-masirat-kedah-u5891302
540 Sqft,1,1,"This property is a 540 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Lakeside Pavilion project in Bukit Raya, Kedah and was completed in Jun 2024. You can rent this penthouse long term for RM450 per month.
Single bedroom also got private bathroom
Serious tenant, please feel free to contact
MUHAMAD at ‪‪‪ ‪‪+60 11 6825 9632
for more information and viewing arrangement. Many thanks.",2025-12-13T23:49:18.411930+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/L8qv8EGPJr58twfL2-DEiD8-AQk/2850x1515/unit/5721411/img-8283.jpeg,https://cdn.fazwaz.com/wbr/ka69Y3m_GHlTTogPQy9Eblwxu8g/250x250/unit/5721411/img-8284.jpeg,https://cdn.fazwaz.com/wbr/cZQ3hJQQobt0z48yTamXKKCen5U/250x250/unit/5721411/img-8285.jpeg,https://cdn.fazwaz.com/wbr/GPDxzahUo9J6Y3wsMAAEZqb622s/250x250/unit/5721411/img-8286.jpeg,https://cdn.fazwaz.com/wbr/U8F4QCO1NPplEmsZx9XDo70XPXY/250x250/unit/5721411/img-8287.jpeg",U5721411,"Bukit Raya, Pendang, Kedah",RM450,Penthouse,Private Owner,1 Bedroom Penthouse for rent at Lakeside Pavilion,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-lakeside-pavilion-in-bukit-raya-kedah-u5721411
850 Sqft,1,2,"This property is a 850 Sqft penthouse with 2 bedrooms and 1 bathroom that is available for rent. It is part of the Impian project in Bukit Raya, Kedah and was completed in Jun 2023. You can rent this penthouse long term for RM650 per month.
Master bedrooms also got private bathroom
Serious tenant, please feel free to contact
MUHAMAD at ‪‪‪ ‪‪+60 11 6825 9632
for more information and viewing arrangement. Many thanks.",2025-12-13T23:49:18.411930+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/KECiuFTUwPlBOITAMmEjK6cdRAE/2850x1515/unit/5722674/img-0951.jpeg,https://cdn.fazwaz.com/wbr/uMwHIjNPAdFFH1733sADzq8hQpA/250x250/unit/5722674/img-0947.jpeg,https://cdn.fazwaz.com/wbr/9Ru1luOgwhl_x5RLE5TM4DeiWto/250x250/unit/5722674/img-0948.jpeg,https://cdn.fazwaz.com/wbr/GW7XYponE5gQub31etCBQl7hjJs/250x250/unit/5722674/img-0949.jpeg,https://cdn.fazwaz.com/wbr/pqCdsNCIGf48wSFqHKEDdidzT5Q/250x250/unit/5722674/img-0950.jpeg",U5722674,"Bukit Raya, Pendang, Kedah",RM650,Penthouse,Private Owner,2 Bedroom Penthouse for rent at Impian,https://www.fazwaz.my/property-rent/2-bedroom-penthouse-for-rent-at-impian-in-bukit-raya-kedah-u5722674
650 Sqft,1,1,"This property is a 650 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Bintang Maya @ Sungai Petani project in Sungai Petani, Kedah and was completed in Apr 2023. You can rent this penthouse long term for RM500 per month.
Single bedroom also got private bathroom
Kindly Follow the instructions of the Unit Here🔥🔥 BY 🏡,Sending A message Via(WhatsApp)
Fully furnished non sharing Available to move in ASAP.
Got Car 🚗 park included.
Notes:You can send a message via WhatsApp for fast response.
016 219 8047",2025-12-13T23:49:18.411930+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/fuaLsg-IaTaYo7naA9AF6JgIpyE/2850x1515/unit/5643794/single-bedroom9880.jpg,https://cdn.fazwaz.com/wbr/Kzafb5qxac3hPNmLBPUMfKB7hsc/250x250/unit/5643794/single-bedroom009.jpg,https://cdn.fazwaz.com/wbr/xayA2jxZxyK1l1rXXAnrhuPPtsE/250x250/unit/5643794/single-bedroom883.jpg,https://cdn.fazwaz.com/wbr/GSgjSpWur6JpHf6Oiv4wR_Lih5w/250x250/unit/5643794/single-bedroom983.jpg,https://cdn.fazwaz.com/wbr/r_VBmTItX1pKn2c7vBNG6H97HqU/250x250/unit/5643794/single-bedroom9883.jpg",U5643794,"Sungai Petani, Kuala Muda, Kedah",RM500,Penthouse,Private Owner,1 Bedroom Penthouse for rent at Bintang Maya @ Sungai Petani,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-bintang-maya-at-sungai-petani-in-sungai-petani-kedah-u5643794
533 Sqft,1,1,"This property is a 533 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Bintang Maya @ Sungai Petani project in Sungai Petani, Kedah and was completed in Apr 2023. You can rent this penthouse long term for RM500 per month.
Single bedroom also got private bathroom
Kindly Follow the instructions of the Unit Here🔥🔥 BY 🏡,Sending A message Via(WhatsApp)
Fully furnished non sharing Available to move in ASAP.
Got Car 🚗 park included.
Notes:You can send a message via WhatsApp for fast response.
016 219 8047",2025-12-13T23:49:18.411930+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/-22liWg6VzaSHh-3EDlN40LQpmY/2850x1515/unit/5627795/single-bedroom44.jpg,https://cdn.fazwaz.com/wbr/pa0cbd-BqXgp_WHalQ2dScDKGi8/250x250/unit/5627795/single-bedroom33.jpg,https://cdn.fazwaz.com/wbr/AYdBPdYqeIOZio37d5BiUYQW2DM/250x250/unit/5627795/single-bedroom722.jpg,https://cdn.fazwaz.com/wbr/qhYYqZB57pzpQ2JA7wqnsYc6g4U/250x250/unit/5627795/single-bedroom866.jpg,https://cdn.fazwaz.com/wbr/MV8UfmzkScNPquRlAixt01i_WDk/250x250/unit/5627795/single-bedroom99.jpg",U5627795,"Sungai Petani, Kuala Muda, Kedah",RM500,Penthouse,Private Owner,1 Bedroom Penthouse for rent at Bintang Maya @ Sungai Petani,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-bintang-maya-at-sungai-petani-in-sungai-petani-kedah-u5627795
650 Sqft,1,1,"This property is a 650 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Bintang Maya @ Sungai Petani project in Sungai Petani, Kedah and was completed in Apr 2023. You can rent this penthouse long term for RM550 per month.
Single bedroom also got private bathroom
Kindly Follow the instructions of the Unit Here🔥🔥 BY 🏡,Sending A message Via(WhatsApp)
Fully furnished non sharing Available to move in ASAP.
Got Car 🚗 park included.
Notes:You can send a message via WhatsApp for fast response.
016 219 8047",2025-12-13T23:49:18.411930+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/aYAQMA4VMKa2_NF-npMVcGMzK88/2850x1515/unit/5666565/single-bedroom-also-got-private-bathroom1190.jpg,https://cdn.fazwaz.com/wbr/icDCuZTBFSCHUvJ18NVPQytLXvg/250x250/unit/5666565/single-bedroom-also-got-private-bathroom09110.jpg,https://cdn.fazwaz.com/wbr/rOPZDqrFyLc9jT3brDDms0ls-tA/250x250/unit/5666565/single-bedroom-also-got-private-bathroom0922.jpg,https://cdn.fazwaz.com/wbr/T0A4ebWb4DH_p2Qfef7l78BN0Ek/250x250/unit/5666565/single-bedroom-also-got-private-bathroom099.jpg,https://cdn.fazwaz.com/wbr/Uzmpa2yQDI5TQYns8S8D_3PV7kg/250x250/unit/5666565/single-bedroom-also-got-private-bathroom8922.jpg",U5666565,"Sungai Petani, Kuala Muda, Kedah",RM550,Penthouse,Private Owner,1 Bedroom Penthouse for rent at Bintang Maya @ Sungai Petani,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-bintang-maya-at-sungai-petani-in-sungai-petani-kedah-u5666565
760 Sqft,1,2,"This property is a 760 Sqft penthouse with 2 bedrooms and 1 bathroom that is available for rent. It is part of the Bintang Maya @ Sungai Petani project in Sungai Petani, Kedah and was completed in Apr 2023. You can rent this penthouse long term for RM700 per month.
Master bedroom also got private bathroom
Kindly Follow the instructions of the Unit Here🔥🔥 BY 🏡,Sending A message Via(WhatsApp)
Fully furnished non sharing Available to move in ASAP.
Got Car 🚗 park included.
Notes:You can send a message via WhatsApp for fast response.
014 284 6576",2025-12-13T23:49:18.411930+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/G4y-NCb7I3KN59aZHOkmUE0M4mA/2850x1515/unit/5664304/two-bedrooms77-copy-2.jpg,https://cdn.fazwaz.com/wbr/wbPNPAG6wJCo7pepTDl8lJKnSlE/250x250/unit/5664304/two-bedrooms.jpg,https://cdn.fazwaz.com/wbr/r3VPkinZFeMKSdhnX1qMbei1hN8/250x250/unit/5664304/two-bedrooms-900.jpg,https://cdn.fazwaz.com/wbr/VQhKBEoxG2i-A5GeDtXUq4vMhcI/250x250/unit/5664304/two-bedrooms521-copy.jpg,https://cdn.fazwaz.com/wbr/CLmDbOiUpUboAmbS5LIfk4ySeQM/250x250/unit/5664304/two-bedrooms77-copy-copy-copy.jpg",U5664304,"Sungai Petani, Kuala Muda, Kedah",RM700,Penthouse,Private Owner,2 Bedroom Penthouse for rent at Bintang Maya @ Sungai Petani,https://www.fazwaz.my/property-rent/2-bedroom-penthouse-for-rent-at-bintang-maya-at-sungai-petani-in-sungai-petani-kedah-u5664304
760 Sqft,1,2,"This property is a 760 Sqft penthouse with 2 bedrooms and 1 bathroom that is available for rent. It is part of the Kampung Kerinchi (Bangsar South) project in Padang Masirat, Kedah and was completed in Sep 2022. You can rent this penthouse long term for RM750 per month.
Master bedrooms also got private bathroom
Kindly Follow the instructions of the Unit Here🔥🔥 BY 🏡,Sending A message Via(WhatsApp)
Fully furnished non sharing Available to move in ASAP.
Got Car 🚗 park included.
Notes:You can send a message via WhatsApp for fast response.
011 6825 9632",2025-12-13T23:49:18.411930+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/yQ3Yx3RpRtAo44QXHxBfOjfAiHg/2850x1515/unit/5712910/2bedroom4211.jpg,https://cdn.fazwaz.com/wbr/adXZFe-aY99BXn6A3mM72zMcpEw/250x250/unit/5712910/2bedrooms22110.jpg,https://cdn.fazwaz.com/wbr/Cd4gOsh92vP-QtZARnOFyUn90N4/250x250/unit/5712910/2bedrooms4432.jpg,https://cdn.fazwaz.com/wbr/r10QBPD0KboNb8KmAzl-nSy4i7E/250x250/unit/5712910/2bedrooms44321.jpg,https://cdn.fazwaz.com/wbr/aSVc1Wg9Ky9bbVLx1aEn2P15rHI/250x250/unit/5712910/2bedroomw44430.jpg",U5712910,"Padang Masirat, Langkawi, Kedah",RM750,Penthouse,Private Owner,2 Bedroom Penthouse for rent at Kampung Kerinchi (Bangsar South),https://www.fazwaz.my/property-rent/2-bedroom-penthouse-for-rent-at-kampung-kerinchi-bangsar-south-in-padang-masirat-kedah-u5712910
719 Sqft,2,2,"This property is a 719 Sqft penthouse with 2 bedrooms and 2 bathrooms that is available for rent. It is part of the Pantai project in Padang Masirat, Kedah and was completed in Sep 2021. You can rent this penthouse long term for RM780 per month.
Pantai - Padang Masirat, Kedah
Kindly Follow the instructions of the Unit Here🔥🔥 BY 🏡,
Serious tenant, please feel free contact
Via(WhatsApp)
Fully furnished non sharing Available to move in ASAP.
Got Car 🚗 park included.
Notes:You can send a message via WhatsApp for fast response.
0143988048",2025-12-13T23:49:18.411930+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/a9Z_OfmGLgeeNJqBu_PJ5PnWqp8/2850x1515/unit/5713657/889p.jpg,https://cdn.fazwaz.com/wbr/cJG1CUFBCTpSocXPSsHTzpEKs0U/250x250/unit/5713657/55ii.jpg,https://cdn.fazwaz.com/wbr/nbwHyEg4isXyyUUK-PAWwutmxcI/250x250/unit/5713657/8899.jpg,https://cdn.fazwaz.com/wbr/RjJfxojjtTjEtksiRw6vkgb98xI/250x250/unit/5713657/9909.jpg,https://cdn.fazwaz.com/wbr/L9GZiyGguLJd3m9o7pEkuB0FW-o/250x250/unit/5713657/nn.jpg",U5713657,"Padang Masirat, Langkawi, Kedah",RM780,Penthouse,Private Owner,2 Bedroom Penthouse for rent at Pantai,https://www.fazwaz.my/property-rent/2-bedroom-penthouse-for-rent-at-pantai-in-padang-masirat-kedah-u5713657
599 Sqft,1,0,"This property is a 599 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Masai project in Padang Masirat, Kedah and was completed in Feb 2009. You can rent this penthouse long term for RM700 per month.
Masai - Padang Masirat, Kedah
Kindly Follow the instructions of the Unit Here🔥🔥 BY 🏡,Serious tenant, please feel free contactVia(WhatsApp)Fully furnished non sharing Available to move in ASAP.Got Car 🚗 park included.Notes:You can send a message via WhatsApp for fast response.0143988048",2025-12-13T23:49:18.411930+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/32aJGLeoinEnVp5dLO0C1YwwT0o/2850x1515/unit/5674838/whatsapp-image-2024-04-19-at-15717-pm-2.jpeg,https://cdn.fazwaz.com/wbr/kZH1gcZ_tpIfSeAOmOI8Zf0bAjQ/250x250/unit/5674838/whatsapp-image-2024-04-19-at-15718-pm.jpeg,https://cdn.fazwaz.com/wbr/SvTGOg2Shwv7WiG_1X1Y0VdxHYM/250x250/unit/5674838/whatsapp-image-2024-04-19-at-15718-pm-1.jpeg,https://cdn.fazwaz.com/wbr/dofxqyChG-VjjUIaAxm9nWgQZ_M/250x250/unit/5674838/whatsapp-image-2024-04-19-at-15718-pm-2.jpeg,https://cdn.fazwaz.com/wbr/LXhtQXQ5znCGTfVHRCD4bvF6twE/250x250/unit/5674838/whatsapp-image-2024-04-19-at-15719-pm.jpeg",U5674838,"Padang Masirat, Langkawi, Kedah",RM700,Penthouse,Private Owner,Studio Penthouse for rent at Masai,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-masai-in-padang-masirat-kedah-u5674838
