area,bathrooms,bedrooms,description,fetched_at,furnished,images,listing_id,location,price,property_type,seller_name,title,url
778 Sqft,1,1,"This property is a 778 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the KLCC project in Bandar Kuala Lumpur, Kuala Lumpur and was completed in Jan 2012. You can rent this penthouse for RM800 per month and it is also available for sale for RM70,000.
Private rooms attached bathroom available Good location Be
Private rooms attached bathroom available Good location
Beautiful Bedroom Home – Perfect for Modern Living
IF YOU ARE INTERESTED IN RENTING THE CONDO/APARTMENT 🏠,KINDLY GET IN TOUCH WITH THE LANDLORD ON ..…WHATSAPP: ‪+60 11-5930 2298
Apartment Features:
Modern kitchen equipped with refrigerator, oven, microwave, and complete cookware
Cozy living room with sofa, coffee table, and television
Facilities:
•-hour security
• Fully-equipped gymnasium
• Mini market
• Children’s playground
• Cafeteria
• Swimming pool
• Barbecue area
• Sky lounge
• Function room and more…
WhatsApp : ‪ +60 11-5930 2298",2025-12-13T23:42:46.739333+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/X2TeDwJVbptHxcivenWosqjmD4c/2850x1515/unit/5912489/img-1092.jpeg,https://cdn.fazwaz.com/wbr/MxbBT1Qsj9iXnOgRjeXR05movhY/250x250/unit/5912489/img-1093.jpeg,https://cdn.fazwaz.com/wbr/acLk6xVvoGAVMEIP07qmw3Hgyrs/250x250/unit/5912489/img-1094.jpeg,https://cdn.fazwaz.com/wbr/oTS--LagUBSu_ppDlR7U8Fb7TS8/250x250/unit/5912489/img-1095.jpeg,https://cdn.fazwaz.com/wbr/9UhE-kDx0L_3mhO7thQBhn_kyf4/250x250/unit/5912489/img-1096.jpeg",U5912489,"Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur",RM800,Penthouse,Developer,1 Bedroom Penthouse for rent at KLCC,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-klcc-in-bandar-kuala-lumpur-kuala-lumpur-u5912489
880 Sqft,1,1,"This property is a 880 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Le Nouvel KLCC project in Bandar Kuala Lumpur, Kuala Lumpur and was completed in Dec 2016. You can rent this penthouse long term for RM1,650 per month.
Apartment Features: Modern kitchen equipped with refrigerato
Apartment Features:
Modern kitchen equipped with refrigerator, oven, microwave, and complete cookware
Cozy living room with sofa, coffee table, and television
+60 11 5930 2298 WhatsApp",2025-12-13T23:42:46.739333+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/sSoZScQMW0w9Su8CRUIKHomeUuk/2850x1515/unit/5922154/img-6830.jpeg,https://cdn.fazwaz.com/wbr/H-_XFT0ZJGqFAN7X43ODDlQyp4E/250x250/unit/5922154/img-6831.jpeg,https://cdn.fazwaz.com/wbr/37IudpIxu9Tpy_Ygv89BFw5BfCA/250x250/unit/5922154/img-6832.jpeg,https://cdn.fazwaz.com/wbr/aV_L4ehW_T-mQrWqm_o-RYlEVNk/250x250/unit/5922154/img-6833.jpeg,https://cdn.fazwaz.com/wbr/4Yf05BJ-aa7H-a3hBlC4zXNtAKY/250x250/unit/5922154/img-6834.jpeg",U5922154,"Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur","RM1,650",Penthouse,Private Owner,1 Bedroom Penthouse for rent at Le Nouvel KLCC,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-le-nouvel-klcc-in-bandar-kuala-lumpur-kuala-lumpur-u5922154
250 Sqft,1,0,"This property is a 250 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the KLCC project in Bandar Kuala Lumpur, Kuala Lumpur and was completed in Jan 2012. You can rent this penthouse long term for RM1,650 per month.
Apartment Features: Modern kitchen equipped with refrigerato
Apartment Features:
Modern kitchen equipped with refrigerator, oven, microwave, and complete cookware
Cozy living room with sofa, coffee table, and television
+60 11 5930 2298 WhatsApp",2025-12-13T23:42:46.739333+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/9nfYeMxyIS_066_OTenhCU-WBRs/2850x1515/unit/5918040/img-6896.jpeg,https://cdn.fazwaz.com/wbr/hmo8v4sVF0AVJxVGWP9-GDi9O6c/250x250/unit/5918040/img-6897.jpeg,https://cdn.fazwaz.com/wbr/3vcMHMMWoW6FJRGgSRhGkWNzl1A/250x250/unit/5918040/img-6898.jpeg,https://cdn.fazwaz.com/wbr/7fm3NaIpMR7xJPXE1t5_cKlcfxI/250x250/unit/5918040/img-6899.jpeg,https://cdn.fazwaz.com/wbr/yNH49kAwy4npCf1OASHWqKpHbVU/250x250/unit/5918040/img-6900.jpeg",U5918040,"Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur","RM1,650",Penthouse,Private Owner,Studio Penthouse for rent at KLCC,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-klcc-in-bandar-kuala-lumpur-kuala-lumpur-u5918040
250 Sqft,1,0,"This property is a 250 Sqft studio penthouse with 1.5 bathroom that is available for rent. It is part of the KLCC project in Bandar Kuala Lumpur, Kuala Lumpur and was completed in Jan 2012. You can rent this penthouse long term for RM2,060 per month.
Apartment Features: Modern kitchen equipped with refrigerato
Apartment Features:
Modern kitchen equipped with refrigerator, oven, microwave, and complete cookware
Cozy living room with sofa, coffee table, and television
+60 11 5930 2298 WhatsApp",2025-12-13T23:42:46.739333+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/YHZXr0aW-eBXiT5d20mM-A84AS4/2850x1515/unit/5920154/img-6862.jpeg,https://cdn.fazwaz.com/wbr/wbTgWuQHoFA3jHkLI2DkbN45hLk/250x250/unit/5920154/img-6863.jpeg,https://cdn.fazwaz.com/wbr/oKSXjuQ6SK0HIoZFpN-UDOdhIiM/250x250/unit/5920154/img-6865.jpeg,https://cdn.fazwaz.com/wbr/oHqqwQqXyI7u_uXwFx-YN2tEubM/250x250/unit/5920154/img-6866.jpeg,https://cdn.fazwaz.com/wbr/P11xqBvKdwlHd6dy7-x-vxXBRoM/250x250/unit/5920154/img-6867.jpeg",U5920154,"Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur","RM2,060",Penthouse,Private Owner,Studio Penthouse for rent at KLCC,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-klcc-in-bandar-kuala-lumpur-kuala-lumpur-u5920154
550 Sqft,1,1,"This property is a 550 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the 51G Kuala Lumpur project in Bandar Kuala Lumpur, Kuala Lumpur and was completed in Apr 2023. You can rent this penthouse long term for RM550 per month.
Fully Furnished Studio
KitchenCabinet, Mattress, TV, AC, Sofa, Refrigerator, Bed-frame, Water Heater, Dining Table, Hood&Hub, Wardrobe, Curtain,
Microwave, Washing Machine
Facilities, Security24Hr, Swimming, Squashy,Elevator, Mart, Restaurant, Sauna, Playground, Badminton, Gym, Covered Parking lot
Serious renter only kindly text the landlord on WhatsApp ‪at +60143683902 for more information",2025-12-13T23:42:46.739333+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/xiZh8T6mI_WrNAeh9hFMlDD3XYQ/2850x1515/unit/5924522/img-6998.jpeg,https://cdn.fazwaz.com/wbr/951B9w-kjTUSS-V7jLB1i1-4qGY/250x250/unit/5924522/img-6999.jpeg,https://cdn.fazwaz.com/wbr/uoUnj__qS_MaTcs0-qwOT3p0kgE/250x250/unit/5924522/img-7001.jpeg,https://cdn.fazwaz.com/wbr/3Yi7VdJPM_qeRWVjxdSM3ArahY0/250x250/unit/5924522/img-7002.jpeg,https://cdn.fazwaz.com/wbr/NgRcHIld5A5MB-yk6AZAtkxrB4w/250x250/unit/5924522/img-7377.jpeg",U5924522,"Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur",RM550,Penthouse,Private Owner,1 Bedroom Penthouse for rent at 51G Kuala Lumpur,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-51g-kuala-lumpur-in-bandar-kuala-lumpur-kuala-lumpur-u5924522
580 Sqft,1,1,"This property is a 580 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the 51G Kuala Lumpur project in Bandar Kuala Lumpur, Kuala Lumpur and was completed in Apr 2023. You can rent this penthouse long term for RM550 per month.
Fully Furnished Studio
KitchenCabinet, Mattress, TV, AC, Sofa, Refrigerator, Bed-frame, Water Heater, Dining Table, Hood&Hub, Wardrobe, Curtain,
Microwave, Washing Machine
Facilities, Security24Hr, Swimming, Squashy,Elevator, Mart, Restaurant, Sauna, Playground, Badminton, Gym, Covered Parking lot
Serious renter only kindly text the landlord on WhatsApp ‪at +60143683902 for more information",2025-12-13T23:42:46.739333+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/eZjRBNoIdbKkrbxMIhLYZi8tNb4/2850x1515/unit/5924560/img-6994.jpeg,https://cdn.fazwaz.com/wbr/JCxJKoX8_IGQdZ80TfqPm3mdp48/250x250/unit/5924560/img-6995.jpeg,https://cdn.fazwaz.com/wbr/psssX20YBw-RPsN41Jl1dFPpqFY/250x250/unit/5924560/img-6996.jpeg,https://cdn.fazwaz.com/wbr/tmOPN1zcfM-CSTdkhZ4vIcempx8/250x250/unit/5924560/img-6997.jpeg,https://cdn.fazwaz.com/wbr/gtn1IGhmm3MClAe7clmdeQ6UHhk/250x250/unit/5924560/img-7377.jpeg",U5924560,"Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur",RM550,Penthouse,Private Owner,1 Bedroom Penthouse for rent at 51G Kuala Lumpur,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-51g-kuala-lumpur-in-bandar-kuala-lumpur-kuala-lumpur-u5924560
225 Sqft,1,1,"This property is a 225 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the KLCC project in Bandar Kuala Lumpur, Kuala Lumpur and was completed in Jan 2012. You can rent this penthouse long term for RM1,650 per month.
Apartment Features: Modern kitchen equipped with refrigerato
Apartment Features:
Modern kitchen equipped with refrigerator, oven, microwave, and complete cookware
Cozy living room with sofa, coffee table, and television
+60 11 5930 2298 WhatsApp",2025-12-13T23:42:46.739333+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/Am8iYk5bJ1N_iPzpUtXAchETTWw/2850x1515/unit/5917830/img-7224.jpeg,https://cdn.fazwaz.com/wbr/TuyCsmrwkou2nJj1Zd8uzKlnWjE/250x250/unit/5917830/img-7225.jpeg,https://cdn.fazwaz.com/wbr/oj9rrWZLsfBiGd2aEDYV0phHwq0/250x250/unit/5917830/img-7226.jpeg,https://cdn.fazwaz.com/wbr/ThocHsr6upfoiEcgAsDUpG_6dMQ/250x250/unit/5917830/img-7227.jpeg,https://cdn.fazwaz.com/wbr/2Ev-4As_ZK5_xh8rj-FHmF8F430/250x250/unit/5917830/img-7228.jpeg",U5917830,"Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur","RM1,650",Penthouse,Private Owner,1 Bedroom Penthouse for rent at KLCC,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-klcc-in-bandar-kuala-lumpur-kuala-lumpur-u5917830
580 Sqft,1,1,"This property is a 580 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the KLCC project in Bandar Kuala Lumpur, Kuala Lumpur and was completed in Jan 2012. You can rent this penthouse long term for RM2,060 per month.
Apartment Features: Modern kitchen equipped with refrigerato
Apartment Features:
Modern kitchen equipped with refrigerator, oven, microwave, and complete cookware
Cozy living room with sofa, coffee table, and television
+60 11 5930 2298 WhatsApp",2025-12-13T23:42:46.739333+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/rv49sGBhMAHIaWgaSfIJCtyNgZQ/2850x1515/unit/5919012/img-7342.jpeg,https://cdn.fazwaz.com/wbr/VrzbNGKu4nKBJlfD6etdkr8Tf6A/250x250/unit/5919012/img-7343.jpeg,https://cdn.fazwaz.com/wbr/K-oiYBuypQ5g-jyvlbHaKWvGj5U/250x250/unit/5919012/img-7344.jpeg,https://cdn.fazwaz.com/wbr/HkM2kOibVVcnjM58AWIFUhgse3Y/250x250/unit/5919012/img-7345.jpeg,https://cdn.fazwaz.com/wbr/WWyx3JST8mGxL2KXV_wtZgX7gsI/250x250/unit/5919012/img-7346.jpeg",U5919012,"Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur","RM2,060",Penthouse,Private Owner,1 Bedroom Penthouse for rent at KLCC,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-klcc-in-bandar-kuala-lumpur-kuala-lumpur-u5919012
60 Sqft,1,1,"This property is a 60 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the KLCC project in Bandar Kuala Lumpur, Kuala Lumpur and was completed in Jan 2012. You can rent this penthouse long term for RM1,650 per month.
Apartment Features: Modern kitchen equipped with refrigerato
Apartment Features:
Modern kitchen equipped with refrigerator, oven, microwave, and complete cookware
Cozy living room with sofa, coffee table, and television
+60 11 5930 2298 WhatsApp",2025-12-13T23:42:46.739333+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/IRDGvp1BfBwNx91qCKjtzQVhO-Q/2850x1515/unit/5916958/img-6935.jpeg,https://cdn.fazwaz.com/wbr/eQrYLnfXfX8rZLXwX5sRGeitfSA/250x250/unit/5916958/img-6936.jpeg,https://cdn.fazwaz.com/wbr/bzTBJGEK2AhMiqqJELL_dqtp30U/250x250/unit/5916958/img-6938.jpeg,https://cdn.fazwaz.com/wbr/StRwnCEg_SNcXm2tWH2nCQllYhg/250x250/unit/5916958/img-6939.jpeg,https://cdn.fazwaz.com/wbr/Ygse2GPhxXHLO3lay6FiXN7gykI/250x250/unit/5916958/img-6940.jpeg",U5916958,"Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur","RM1,650",Penthouse,Private Owner,1 Bedroom Penthouse for rent at KLCC,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-klcc-in-bandar-kuala-lumpur-kuala-lumpur-u5916958
50 Sqft,1,0,"This property is a 50 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the 51G Kuala Lumpur project in Bandar Kuala Lumpur, Kuala Lumpur and was completed in Apr 2023. You can rent this penthouse long term for RM206 per month.
Apartment Features: Modern kitchen equipped with refrigerato
Apartment Features:
Modern kitchen equipped with refrigerator, oven, microwave, and complete cookware
Cozy living room with sofa, coffee table, and television
+60 11 5930 2298 WhatsApp",2025-12-13T23:42:46.739333+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/1LiFIojolmxJY4bvNE4OC3585kQ/2850x1515/unit/5920174/img-6877.jpeg,https://cdn.fazwaz.com/wbr/NMA1zOuBV70GYODc_mAPgwu4coU/250x250/unit/5920174/img-6878.jpeg,https://cdn.fazwaz.com/wbr/TuWYkEbIv5Qs-Gx983pnInou4_A/250x250/unit/5920174/img-6879.jpeg,https://cdn.fazwaz.com/wbr/H1GC1_gzprbgA6bMWEUOUGS8Tu0/250x250/unit/5920174/img-6880.jpeg,https://cdn.fazwaz.com/wbr/9vxqFhjdOSr0WOuXec4CjkBR01A/250x250/unit/5920174/img-6883.jpeg",U5920174,"Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur",RM206,Penthouse,Private Owner,Studio Penthouse for rent at 51G Kuala Lumpur,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-51g-kuala-lumpur-in-bandar-kuala-lumpur-kuala-lumpur-u5920174
