area,bathrooms,bedrooms,description,fetched_at,furnished,images,listing_id,location,price,property_type,seller_name,title,url
618 Sqft,1,0,"This property is a 618 Sqft studio condo with 1 bathroom that is available for rent. It is part of the The Wave Residense @ Kota Laksamana project in Bandar Melaka, Melaka and was completed in Jun 2013. You can rent this condo long term for RM900 per month.
The Wave Residense @ Kota Laksamana - Bandar Melaka, Melaka
Text the landlord on WhatsApp for more information about the house for rent +60 1163623005
My Unit Includes all Utilities Intact such as Refrigerator, Dry, Washing Machine, Electric Stove and gas, Air cond, Sewage, Trash, Tv set, Furnitures and cabinet. Plus Electricity and Water bills are also Included in the Rent with 1 car park and Free wifi",2025-12-13T23:49:40.617614+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/MNazLjP40F3y6nae_BBAW5bJZH4/2850x1515/unit/5928645/img-2280.jpeg,https://cdn.fazwaz.com/wbr/SCWiHMrBwHl71WcYO1ORYyxeBRA/250x250/unit/5928645/img-2281.jpeg,https://cdn.fazwaz.com/wbr/bOwUx8kw_ComeGJbCnNlUZA6phU/250x250/unit/5928645/img-2282.jpeg,https://cdn.fazwaz.com/wbr/-v6ct8q9d2v7W4KDQnG3EK_7yj8/250x250/unit/5928645/img-2283.jpeg,https://cdn.fazwaz.com/wbr/6Q6VwptmSW4ez69TEcOVmtue4Gg/250x250/unit/5928645/img-2284.jpeg",U5928645,"Bandar Melaka, Melaka Tengah Central Malacca, Melaka",RM900,Condo,Private Owner,Studio Condo for rent at The Wave Residense @ Kota Laksamana,https://www.fazwaz.my/property-rent/studio-condo-for-rent-at-the-wave-residense-at-kota-laksamana-in-bandar-melaka-melaka-u5928645
522 Sqft,1,1,"This property is a 522 Sqft condo with 1 bedroom and 1 bathroom that is available for rent. It is part of the Klebang project in Bukit Rambai, Melaka and was completed in Nov 2023. You can rent this condo long term for RM302,000,000 per month.
Private rooms attached bathroom available Good location
Private rooms attached bathroom available Good location
A condo common room with a private bathroom for the tenant's own use.
+63 962 697 1128
Looking for a happy, great tenant to make this cute and place home!
Interested tenants should Message the
landlord on WhatsApp : +63 962 697 1128 direct owner Cruz beligca",2025-12-13T23:49:40.617614+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/_inNIDLX4n6P725ff7lf6M93fMQ/2850x1515/unit/5673674/img-4330.jpeg,https://cdn.fazwaz.com/wbr/d_mujQjkMMGbzU4vsIX6j9yAPFc/250x250/unit/5673674/img-4331.jpeg,https://cdn.fazwaz.com/wbr/TRrfIAUnJAA1qV0yXJt_uMKUJqM/250x250/unit/5673674/img-4332.jpeg,https://cdn.fazwaz.com/wbr/VOxJj65DIKDKshUdU0CjxbhrGEk/250x250/unit/5673674/img-4333.jpeg,https://cdn.fazwaz.com/wbr/RagwJZtKKbJa4BoLVH1fYVY43Mc/250x250/unit/5673674/img-4334.jpeg",U5673674,"Bukit Rambai, Melaka Tengah Central Malacca, Melaka","RM302,000,000",Condo,Private Owner,1 Bedroom Condo for rent at Klebang,https://www.fazwaz.my/property-rent/1-bedroom-condo-for-rent-at-klebang-in-bukit-rambai-melaka-u5673674
887 Sqft,2,2,"This property is a 887 Sqft penthouse with 2 bedrooms and 2 bathrooms that is available for rent. It is part of the Bukit Baru project in Bukit Baru, Melaka and was completed in Jan 2024. You can rent this penthouse long term for RM400 per month.
[ ] Looking for a happy, great tenant to make this cute and
[ ] Looking for a happy, great tenant to make this cute and place home!
- [ ] A condo common room with a private bathroom for the tenant's own use.
- [ ] Fully furnished with a Queen sized bed, ceiling fan, aircon, wardrobe with mirror, study table with chair, television, standing fan, standing lamp.
- [ ] -- WiFi, electricity and water are included. Washing machine and refrigerator available.
- [ ] -- Light cooking is acceptable.
- [ ] -- Room is available immediately.
- [ ] -- Good location.
‪+60 11‑6284 5818‬ WhatsApp",2025-12-13T23:49:40.617614+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/V6KNlNzPi0pky6CI0GlOI-yhX04/2850x1515/unit/5686626/img-1281.jpeg,https://cdn.fazwaz.com/wbr/YVbYpZQ3z6t1Vb519hqP032XUUg/250x250/unit/5686626/img-1285.jpeg,https://cdn.fazwaz.com/wbr/I4CmPHtqB9V_VCtlAHQV0xjTcoY/250x250/unit/5686626/img-1286.jpeg,https://cdn.fazwaz.com/wbr/dAuB-Z-kkfTJ14BoWo3OnLQdaE8/250x250/unit/5686626/img-1287.jpeg,https://cdn.fazwaz.com/wbr/Ge3AoHSwy_6c7wpXS4qyI6igAOY/250x250/unit/5686626/img-1288.jpeg",U5686626,"Bukit Baru, Melaka Tengah Central Malacca, Melaka",RM400,Penthouse,Agent / Partner,2 Bedroom Penthouse for rent at Bukit Baru,https://www.fazwaz.my/property-rent/2-bedroom-penthouse-for-rent-at-bukit-baru-in-bukit-baru-melaka-u5686626
887 Sqft,2,2,"This property is a 887 Sqft penthouse with 2 bedrooms and 2 bathrooms that is available for rent. It is part of the Bukit Baru project in Bukit Baru, Melaka and was completed in Jan 2024. You can rent this penthouse long term for RM900 per month.
[ ] Looking for a happy, great tenant to make this cute and
[ ] Looking for a happy, great tenant to make this cute and place home!
- [ ] A condo common room with a private bathroom for the tenant's own use.
- [ ] Fully furnished with a Queen sized bed, ceiling fan, aircon, wardrobe with mirror, study table with chair, television, standing fan, standing lamp.
- [ ] -- WiFi, electricity and water are included. Washing machine and refrigerator available.
- [ ] -- Light cooking is acceptable.
- [ ] -- Room is available immediately.
- [ ] -- Good location.
‪+60 11‑6284 5818‬ WhatsApp",2025-12-13T23:49:40.617614+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/mDq_KbNXRcBiA6qkZCi4MaWrACw/2850x1515/unit/5686627/img-1576.jpeg,https://cdn.fazwaz.com/wbr/An3EFSGwcuqRyqKsSwzrg_lc8Cs/250x250/unit/5686627/img-1577.jpeg,https://cdn.fazwaz.com/wbr/HNuW9ekR9cQfkYPLPdE-dtfPubA/250x250/unit/5686627/img-1578.jpeg,https://cdn.fazwaz.com/wbr/ahWlOZ04_WetL76QrstcG3FBj48/250x250/unit/5686627/img-1579.jpeg,https://cdn.fazwaz.com/wbr/XVXyEQm24ODZ1bWzeqLhXlD6cF4/250x250/unit/5686627/img-1580.jpeg",U5686627,"Bukit Baru, Melaka Tengah Central Malacca, Melaka",RM900,Penthouse,Agent / Partner,2 Bedroom Penthouse for rent at Bukit Baru,https://www.fazwaz.my/property-rent/2-bedroom-penthouse-for-rent-at-bukit-baru-in-bukit-baru-melaka-u5686627
666 Sqft,2,2,"This property is a 666 Sqft penthouse with 2 bedrooms and 2 bathrooms that is available for rent. It is part of the Bukit Baru project in Bukit Baru, Melaka and was completed in Jan 2024. You can rent this penthouse long term for RM1,900 per month.
[ ] Looking for a happy, great tenant to make this cute and
[ ] Looking for a happy, great tenant to make this cute and place home!
- [ ] A condo common room with a private bathroom for the tenant's own use.
- [ ] Fully furnished with a Queen sized bed, ceiling fan, aircon, wardrobe with mirror, study table with chair, television, standing fan, standing lamp.
- [ ] -- WiFi, electricity and water are included. Washing machine and refrigerator available.
- [ ] -- Light cooking is acceptable.
- [ ] -- Room is available immediately.
- [ ] -- Good location.
‪+60 11‑6284 5818‬ WhatsApp",2025-12-13T23:49:40.617614+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/ZxCxhUfMkk8EJf70RHvKPZEt8RM/2850x1515/unit/5686633/img-1247.jpeg,https://cdn.fazwaz.com/wbr/fSaPp5R6MVMYZDevkJD_-TVw8zY/250x250/unit/5686633/img-1248.jpeg,https://cdn.fazwaz.com/wbr/bM4Wn9QxR-u1RLrsrRCs1rWgmYA/250x250/unit/5686633/img-1250.jpeg,https://cdn.fazwaz.com/wbr/gmqs2qX9kMVMnxcmKroAYTB2_yU/250x250/unit/5686633/img-1252.jpeg,https://cdn.fazwaz.com/wbr/4Na8mucs_hlGQ6bbJ1OWVZWNVOE/250x250/unit/5686633/img-1253.jpeg",U5686633,"Bukit Baru, Melaka Tengah Central Malacca, Melaka","RM1,900",Penthouse,Agent / Partner,2 Bedroom Penthouse for rent at Bukit Baru,https://www.fazwaz.my/property-rent/2-bedroom-penthouse-for-rent-at-bukit-baru-in-bukit-baru-melaka-u5686633
665 Sqft,1,2,"This property is a 665 Sqft penthouse with 2 bedrooms and 1 bathroom that is available for rent. It is part of the Bukit Baru project in Bukit Baru, Melaka and was completed in Jan 2024. You can rent this penthouse long term for RM800 per month.
[ ] Looking for a happy, great tenant to make this cute and
[ ] Looking for a happy, great tenant to make this cute and place home!
- [ ] A condo common room with a private bathroom for the tenant's own use.
- [ ] Fully furnished with a Queen sized bed, ceiling fan, aircon, wardrobe with mirror, study table with chair, television, standing fan, standing lamp.
- [ ] -- WiFi, electricity and water are included. Washing machine and refrigerator available.
- [ ] -- Light cooking is acceptable.
- [ ] -- Room is available immediately.
- [ ] -- Good location.
‪+60 11‑6284 5818‬ WhatsApp",2025-12-13T23:49:40.617614+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/EQ8OCwFcgtbilN2pvlgWYPBqP7Q/2850x1515/unit/5686634/img-1214.jpeg,https://cdn.fazwaz.com/wbr/p0WWcNagYS-eWcr-IFEYavDOqFk/250x250/unit/5686634/img-1215.jpeg,https://cdn.fazwaz.com/wbr/T5l4D6RaPZRZ9MML-JfhXoQlQ3o/250x250/unit/5686634/img-1216.jpeg,https://cdn.fazwaz.com/wbr/tt-O0SAQXi6Pxc0cbeO1eN9755o/250x250/unit/5686634/img-1217.jpeg,https://cdn.fazwaz.com/wbr/rftVjsUumG3JRaCuJuFJWdUXYhM/250x250/unit/5686634/img-1218.jpeg",U5686634,"Bukit Baru, Melaka Tengah Central Malacca, Melaka",RM800,Penthouse,Private Owner,2 Bedroom Penthouse for rent at Bukit Baru,https://www.fazwaz.my/property-rent/2-bedroom-penthouse-for-rent-at-bukit-baru-in-bukit-baru-melaka-u5686634
789 Sqft,1,3,"This property is a 789 Sqft condo with 3 bedrooms and 1 bathroom that is available for rent. It is part of the Bukit Baru project in Bukit Baru, Melaka and was completed in Jan 2024. You can rent this condo long term for RM900 per month.
[ ] Looking for a happy, great tenant to make this cute and
[ ] Looking for a happy, great tenant to make this cute and place home!
- [ ] A condo common room with a private bathroom for the tenant's own use.
- [ ] Fully furnished with a Queen sized bed, ceiling fan, aircon, wardrobe with mirror, study table with chair, television, standing fan, standing lamp.
- [ ] -- WiFi, electricity and water are included. Washing machine and refrigerator available.
- [ ] -- Light cooking is acceptable.
- [ ] -- Room is available immediately.
- [ ] -- Good location.
‪+60 11‑6284 5818‬ WhatsApp",2025-12-13T23:49:40.617614+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/TFpuaV4QvwUpGnKmyGka1UMrj0g/2850x1515/unit/5686703/img-1002.jpeg,https://cdn.fazwaz.com/wbr/jJKb8YNKBuRL6HKRfIA7dlmlWT4/250x250/unit/5686703/img-1003.jpeg,https://cdn.fazwaz.com/wbr/1M_ugaMNExZ8aqaHQLUYqPsGbIA/250x250/unit/5686703/img-1004.jpeg,https://cdn.fazwaz.com/wbr/lTzvb2m69vfTx1jiHRcf8w7hiuI/250x250/unit/5686703/img-1005.jpeg,https://cdn.fazwaz.com/wbr/sI_bJFT3l_KvRVExuEf_Z2WlEZk/250x250/unit/5686703/img-1006.jpeg",U5686703,"Bukit Baru, Melaka Tengah Central Malacca, Melaka",RM900,Condo,Agent / Partner,3 Bedroom Condo for rent at Bukit Baru,https://www.fazwaz.my/property-rent/3-bedroom-condo-for-rent-at-bukit-baru-in-bukit-baru-melaka-u5686703
689 Sqft,1,1,"This property is a 689 Sqft apartment with 1 bedroom and 1 bathroom that is available for rent. It is part of the Melaka City project in Bandar Melaka, Melaka and was completed in Mar 2022. You can rent this apartment long term for RM1,300 per month.",2025-12-13T23:49:40.617614+00:00,N/A,"https://cdn.fazwaz.com/wbr/7GdKAGlRbC7I2uE17WA09WFkKOc/2850x1515/unit/510994/1-67045e1de14412fe189437cd5fe16e47.jpg,https://cdn.fazwaz.com/wbr/qc0DtbSdR_XyGB6kjJzbfYmXPRw/250x250/unit/510994/3-6e5f1c2b8e451a6bbf69ac7a666f9105.jpg,https://cdn.fazwaz.com/wbr/sKhzrJp6vQgqC7GeQalg_ApsltM/250x250/unit/510994/4-0106b1a33c8012a67bcb07fa0f766875.jpg,https://cdn.fazwaz.com/wbr/ri1N23jZoZToCtZN3rW5X5wKTjk/250x250/unit/510994/5-08ac1ddf58028af51992dd4465c82fef.jpg,https://cdn.fazwaz.com/wbr/AP-_7aSc_GZj_SIn61PkvGz5w1o/250x250/unit/510994/6-eb6d071376a7142ae06f36803a7b2cae.jpg",U510994,"Bandar Melaka, Melaka Tengah Central Malacca, Melaka","RM1,300",Apartment,Agent / Partner,1 Bedroom Apartment for rent at Melaka City,https://www.fazwaz.my/property-rent/1-bedroom-apartment-for-rent-at-melaka-city-in-bandar-melaka-melaka-u510994
689 Sqft,1,1,"This property is a 689 Sqft apartment with 1 bedroom and 1 bathroom that is available for rent. It is part of the Melaka City project in Bandar Melaka, Melaka and was completed in Mar 2022. You can rent this apartment long term for RM1,500 per month.",2025-12-13T23:49:40.617614+00:00,N/A,"https://cdn.fazwaz.com/wbr/TbqpBAUyRvohYzDQNSYEtAUtD1E/2850x1515/unit/511000/1-ac4ec34a009ddd4b7cd30545aff2a577.jpg,https://cdn.fazwaz.com/wbr/QZ_iiZ6qMozY-r7Gh80NmLRibgY/250x250/unit/511000/3-cdaf9582318cdfcdf6b1cafe7c227bb9.jpg,https://cdn.fazwaz.com/wbr/FlApaPnKmJ1VKhMO2FbMDgHB6iI/250x250/unit/511000/4-a83457c5165c3a0828a488851673719b.jpg,https://cdn.fazwaz.com/wbr/OhkF3sqkXlVu6v6gmaCwoXsnjdE/250x250/unit/511000/5-a8e885177c4d76af985d01614d196264.jpg,https://cdn.fazwaz.com/wbr/4zVttePm7HS0EaBS3dTwN0Wjgpk/250x250/unit/511000/6-82972875369803a38912bcf1d9c82783.jpg",U511000,"Bandar Melaka, Melaka Tengah Central Malacca, Melaka","RM1,500",Apartment,Agent / Partner,1 Bedroom Apartment for rent at Melaka City,https://www.fazwaz.my/property-rent/1-bedroom-apartment-for-rent-at-melaka-city-in-bandar-melaka-melaka-u511000
"1,265 Sqft",2,3,"This property is a 1,265 Sqft apartment with 3 bedrooms and 2 bathrooms that is available for rent. It is part of the Melaka City project in Bandar Melaka, Melaka and was completed in Mar 2022. You can rent this apartment long term for RM2,500 per month.",2025-12-13T23:49:40.617614+00:00,N/A,"https://cdn.fazwaz.com/wbr/K2W6l-uSLQXL2kos4__M3aadSpw/2850x1515/unit/510970/1-696acd0aa6ca5bd97c679e2cd663ab00.jpg,https://cdn.fazwaz.com/wbr/tP7poCL_sBTLiTmIRWaI5lG2Vfo/250x250/unit/510970/3-3a1b7d034963861930da654acde3359f.jpg,https://cdn.fazwaz.com/wbr/ENLD9a870MahTlXyQSD4TaKGRhc/250x250/unit/510970/4-bc2a2ce9b33863f38468c4e487336076.jpg,https://cdn.fazwaz.com/wbr/Oa3D9s3oRIw3p4358XQmMqO7zXs/250x250/unit/510970/5-b7779aa5e01afb59dc170fef40b27671.jpg,https://cdn.fazwaz.com/wbr/y7JKjnVn42P40tSlToukH8CoHQM/250x250/unit/510970/6-a0da141e727c50b29c9464db9566ee98.jpg",U510970,"Bandar Melaka, Melaka Tengah Central Malacca, Melaka","RM2,500",Apartment,Agent / Partner,3 Bedroom Apartment for rent at Melaka City,https://www.fazwaz.my/property-rent/3-bedroom-apartment-for-rent-at-melaka-city-in-bandar-melaka-melaka-u510970
