area,bathrooms,bedrooms,description,fetched_at,furnished,images,listing_id,location,price,property_type,seller_name,title,url
"1,210 Sqft",1,0,"This property is a 1,210 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Melaka City project in Bandar Melaka, Melaka and was completed in Mar 2022. You can rent this penthouse long term for RM650 per month.
The Heights Residence Condominium 1 bed 1 bath Flat/studio
Kindly wa.me for appointment Viewing and also for more details on how to rent tq +60 10-438 1029",2025-12-13T23:49:55.618287+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/qiJ4RTn2TyTfCPvkSMNOFLfKtrY/2850x1515/unit/5618823/img-5923.jpeg,https://cdn.fazwaz.com/wbr/KjzF1bJX6eyn_qZgypvSYfVLyp0/250x250/unit/5618823/img-5926.jpeg,https://cdn.fazwaz.com/wbr/V_BSdi1mlKVyHkzMwKgBYynyxFk/250x250/unit/5618823/img-5927.jpeg,https://cdn.fazwaz.com/wbr/yaa9TXXCbj5b1oALbPNNqeKc2Wg/250x250/unit/5618823/img-5928.jpeg,https://cdn.fazwaz.com/wbr/DeVLXfAxymwjfJJBYB4b9Cz6Eps/250x250/unit/5618823/img-5929.jpeg",U5618823,"Bandar Melaka, Melaka Tengah Central Malacca, Melaka",RM650,Penthouse,Private Owner,Studio Penthouse for rent at Melaka City,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-melaka-city-in-bandar-melaka-melaka-u5618823
770 Sqft,1,1,"This property is a 770 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Bukit Baru project in Bukit Baru, Melaka and was completed in Jan 2024. You can rent this penthouse long term for RM900 per month.
Private rooms attached bathroom available Good location
Private rooms attached bathroom available Good location
A condo common room with a private bathroom for the tenant's own use.
+60 10 438 2116
Looking for a happy, great tenant to make this cute and place home!
Interested tenants should Message the
landlord on WhatsApp +60 10 438 2116 direct owner",2025-12-13T23:49:55.618287+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/MGrqwl2F9wiiHOaYMSMFR-rhbfI/2850x1515/unit/5668953/img-0269.jpeg,https://cdn.fazwaz.com/wbr/08Qun0SDd61N7emE-bY9GxHdR5E/250x250/unit/5668953/img-0270.jpeg,https://cdn.fazwaz.com/wbr/omZ2wZpBo4Ada32povdvpQsmQbM/250x250/unit/5668953/img-0271.jpeg,https://cdn.fazwaz.com/wbr/DWIxywlVHjH-wUtcvi1ypT3Ixuw/250x250/unit/5668953/img-0272.jpeg,https://cdn.fazwaz.com/wbr/-xYAGrqX9pnGwSx3DBBsFlb04bE/250x250/unit/5668953/img-0273.jpeg",U5668953,"Bukit Baru, Melaka Tengah Central Malacca, Melaka",RM900,Penthouse,Private Owner,1 Bedroom Penthouse for rent at Bukit Baru,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-bukit-baru-in-bukit-baru-melaka-u5668953
77 Sqft,1,2,"This property is a 77 Sqft penthouse with 2 bedrooms and 1.5 bathroom that is available for rent. It is part of the Bukit Baru project in Bukit Baru, Melaka and was completed in Jan 2024. You can rent this penthouse long term for RM1,650 per month.
A condo common room with a private bathroom for the tenant's
A condo common room with a private bathroom for the tenant's own use.
+60 11-6284 5818
Looking for a happy, great tenant to make this cute and place home!
Interested tenants should Message the
landlord on WhatsApp : +60 11-6284 5818 direct owner A condo common room with a private bathroom for the tenant's own use.
+60 11-6284 5818
Looking for a happy, great tenant to make this cute and place home!
Interested tenants should Message the
landlord on WhatsApp : +60 11-6284 5818 direct owner",2025-12-13T23:49:55.618287+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/AUN0SyFmqBCk8KQ7pFxKOOEYMBM/2850x1515/unit/5701825/img-1628.jpeg,https://cdn.fazwaz.com/wbr/I2JoFk4ezHWkui5hlHrmA-sKGyo/250x250/unit/5701825/img-1635.jpeg,https://cdn.fazwaz.com/wbr/O7H7UxfeQlfV1fEhNX0_wZpGtvE/250x250/unit/5701825/img-1636.jpeg,https://cdn.fazwaz.com/wbr/Oot9Z7mq6VYd-_QgsyAsCoPC2rA/250x250/unit/5701825/img-1652.jpeg,https://cdn.fazwaz.com/wbr/gexhmYEZp6qGv0r5s3-fXM1u7Mc/250x250/unit/5701825/img-1656.jpeg",U5701825,"Bukit Baru, Melaka Tengah Central Malacca, Melaka","RM1,650",Penthouse,Agent / Partner,2 Bedroom Penthouse for rent at Bukit Baru,https://www.fazwaz.my/property-rent/2-bedroom-penthouse-for-rent-at-bukit-baru-in-bukit-baru-melaka-u5701825
887 Sqft,2,4,"This property is a 887 Sqft penthouse with 4 bedrooms and 2 bathrooms that is available for rent. It is part of the Bukit Baru project in Bukit Baru, Melaka and was completed in Jan 2024. You can rent this penthouse long term for RM900 per month.
Private rooms attached bathroom available Good location
Private rooms attached bathroom available Good location
A condo common room with a private bathroom for the tenant's own use.
+60 10 438 2116
Looking for a happy, great tenant to make this cute and place home!
Interested tenants should Message the
landlord on WhatsApp +60 10 438 2116 direct owner",2025-12-13T23:49:55.618287+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/QLuco9hpJFO4uDKz_6MYnhLpRh8/2850x1515/unit/5641215/img-0350.jpeg,https://cdn.fazwaz.com/wbr/Iogb8A7qADNT4o2YqPWFD1yw-fo/250x250/unit/5641215/img-0351.jpeg,https://cdn.fazwaz.com/wbr/NKWc1E38F226TJnrfZO0DJWZj1c/250x250/unit/5641215/img-0352.jpeg,https://cdn.fazwaz.com/wbr/4H0hd3wonanqugl7B3jQeLSJM70/250x250/unit/5641215/img-0353.jpeg,https://cdn.fazwaz.com/wbr/0nJkUp5i0ZPOlnYcK5fDhD6lzPA/250x250/unit/5641215/img-0354.jpeg",U5641215,"Bukit Baru, Melaka Tengah Central Malacca, Melaka",RM900,Penthouse,Private Owner,4 Bedroom Penthouse for rent at Bukit Baru,https://www.fazwaz.my/property-rent/4-bedroom-penthouse-for-rent-at-bukit-baru-in-bukit-baru-melaka-u5641215
600 Sqft,1,2,"This property is a 600 Sqft penthouse with 2 bedrooms and 1 bathroom that is available for rent. It is part of the Bukit Baru project in Bukit Baru, Melaka and was completed in Jan 2024. You can rent this penthouse long term for RM36,700 per month.
A condo common room with a private bathroom for the tenant's
A condo common room with a private bathroom for the tenant's own use.
+60 11-6284 5818
Looking for a happy, great tenant to make this cute and place home!
Interested tenants should Message the
landlord on WhatsApp : +60 11-6284 5818 direct owner",2025-12-13T23:49:55.618287+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/1x75Nq3zjoVrVwUhma0DgIR61tY/2850x1515/unit/5701840/img-1136.jpeg,https://cdn.fazwaz.com/wbr/vOqhcOBh-mD_RNTfPK4S9_RT9dM/250x250/unit/5701840/img-1137.jpeg,https://cdn.fazwaz.com/wbr/ChFvByA-chIXE0ImxJMI8AAJb0o/250x250/unit/5701840/img-1138.jpeg,https://cdn.fazwaz.com/wbr/RJje2yqg1YvEhmBTpIcu5Je3PCY/250x250/unit/5701840/img-1141.jpeg,https://cdn.fazwaz.com/wbr/gHHgfyWmvnh9dpN7gI_lhgt16X0/250x250/unit/5701840/img-1142.jpeg",U5701840,"Bukit Baru, Melaka Tengah Central Malacca, Melaka","RM36,700",Penthouse,Agent / Partner,2 Bedroom Penthouse for rent at Bukit Baru,https://www.fazwaz.my/property-rent/2-bedroom-penthouse-for-rent-at-bukit-baru-in-bukit-baru-melaka-u5701840
776 Sqft,1,1,"This property is a 776 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Bukit Baru project in Bukit Baru, Melaka and was completed in Jan 2024. You can rent this penthouse long term for RM800 per month.
Private rooms attached bathroom available Good location
Private rooms attached bathroom available Good location
A condo common room with a private bathroom for the tenant's own use.
+60 10 438 2116
Looking for a happy, great tenant to make this cute and place home!
Interested tenants should Message the
landlord on WhatsApp +60 10 438 2116 direct owner",2025-12-13T23:49:55.618287+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/ZMw1PRgjOY3rY3ITXLEBUksqHC8/2850x1515/unit/5641174/img-0332.jpeg,https://cdn.fazwaz.com/wbr/oB7Dw4YXUIrztMmq4Iam0VoJeug/250x250/unit/5641174/img-0335.jpeg,https://cdn.fazwaz.com/wbr/g3l-JkP3CB2TrpFxCc_LD8tqVNI/250x250/unit/5641174/img-0336.jpeg,https://cdn.fazwaz.com/wbr/lJ68HYKwaYCviqDUcYo30R86_uI/250x250/unit/5641174/img-0337.jpeg,https://cdn.fazwaz.com/wbr/u2brhP8WVlrTNfZObLMpR9WWmxM/250x250/unit/5641174/img-0338.jpeg",U5641174,"Bukit Baru, Melaka Tengah Central Malacca, Melaka",RM800,Penthouse,Private Owner,1 Bedroom Penthouse for rent at Bukit Baru,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-bukit-baru-in-bukit-baru-melaka-u5641174
770 Sqft,2,2,"This property is a 770 Sqft penthouse with 2 bedrooms and 2 bathrooms that is available for rent. It is part of the Bukit Baru project in Bukit Baru, Melaka and was completed in Jan 2024. You can rent this penthouse long term for RM1,650 per month.
A condo common room with a private bathroom for the tenant's
A condo common room with a private bathroom for the tenant's own use.
+60 11-6284 5818
Looking for a happy, great tenant to make this cute and place home!
Interested tenants should Message the
landlord on WhatsApp : +60 11-6284 5818 direct owner",2025-12-13T23:49:55.618287+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/Axhd1M99bs9ehjyjuy0Brm-DsKA/2850x1515/unit/5706065/img-1648.jpeg,https://cdn.fazwaz.com/wbr/3n5XrOODdIXdjIOW0525GWJSDsw/250x250/unit/5706065/img-1649.jpeg,https://cdn.fazwaz.com/wbr/Y11lmfmnMzC_Okc4foUscQKZCtE/250x250/unit/5706065/img-1650.jpeg,https://cdn.fazwaz.com/wbr/Tt15qXIwbMrcORk3vWkhJkCb4Uo/250x250/unit/5706065/img-1651.jpeg,https://cdn.fazwaz.com/wbr/ckQLuV6G5qS8JO5mIDrvMUXQ6GU/250x250/unit/5706065/img-1652.jpeg",U5706065,"Bukit Baru, Melaka Tengah Central Malacca, Melaka","RM1,650",Penthouse,Agent / Partner,2 Bedroom Penthouse for rent at Bukit Baru,https://www.fazwaz.my/property-rent/2-bedroom-penthouse-for-rent-at-bukit-baru-in-bukit-baru-melaka-u5706065
776 Sqft,1,1,"This property is a 776 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Bukit Baru project in Bukit Baru, Melaka and was completed in Jan 2024. You can rent this penthouse long term for RM1,200 per month.
Private rooms attached bathroom available Good location
Private rooms attached bathroom available Good location
A condo common room with a private bathroom for the tenant's own use.
+60 10 438 2116
Looking for a happy, great tenant to make this cute and place home!
Interested tenants should Message the
landlord on WhatsApp +60 10 438 2116 direct owner",2025-12-13T23:49:55.618287+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/UriWg3MCHRI-pWoiJE9B03KQdG0/2850x1515/unit/5668503/img-0615.jpeg,https://cdn.fazwaz.com/wbr/eahhbeaJe3c9ZJ_7W-LC6YxXuEg/250x250/unit/5668503/img-0617.jpeg,https://cdn.fazwaz.com/wbr/G_WLzFH8DPskGZLgA63Wkt7aDOc/250x250/unit/5668503/img-0618.jpeg",U5668503,"Bukit Baru, Melaka Tengah Central Malacca, Melaka","RM1,200",Penthouse,Private Owner,1 Bedroom Penthouse for rent at Bukit Baru,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-bukit-baru-in-bukit-baru-melaka-u5668503
776 Sqft,1,1,"This property is a 776 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Bukit Baru project in Bukit Baru, Melaka and was completed in Jan 2024. You can rent this penthouse long term for RM1,000 per month.
Private rooms attached bathroom available Good location
Private rooms attached bathroom available Good location
A condo common room with a private bathroom for the tenant's own use.
+60 10 438 2116
Looking for a happy, great tenant to make this cute and place home!
Interested tenants should Message the
landlord on WhatsApp +60 10 438 2116 direct owner",2025-12-13T23:49:55.618287+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/p5TjoHSGp_1ckxodQlb2yHHTKOY/2850x1515/unit/5668856/img-0414.jpeg,https://cdn.fazwaz.com/wbr/6A8vMa6UE66pn4z3r7m_jheNpDw/250x250/unit/5668856/img-0415.jpeg,https://cdn.fazwaz.com/wbr/MkAVA7H_za-tPh4ups0wwTk09hI/250x250/unit/5668856/img-0416.jpeg,https://cdn.fazwaz.com/wbr/iDe7Xe56abqTJGOpCGTganiBZuY/250x250/unit/5668856/img-0417.jpeg,https://cdn.fazwaz.com/wbr/A7DhQIw3JJChrKDMgavwqa6K4Ts/250x250/unit/5668856/img-0418.jpeg",U5668856,"Bukit Baru, Melaka Tengah Central Malacca, Melaka","RM1,000",Penthouse,Private Owner,1 Bedroom Penthouse for rent at Bukit Baru,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-bukit-baru-in-bukit-baru-melaka-u5668856
666 Sqft,2,2,"This property is a 666 Sqft penthouse with 2 bedrooms and 2 bathrooms that is available for rent. It is part of the Bukit Baru project in Bukit Baru, Melaka and was completed in Jan 2024. You can rent this penthouse long term for RM1,900 per month.
[ ] Looking for a happy, great tenant to make this cute and
[ ] Looking for a happy, great tenant to make this cute and place home!
- [ ] A condo common room with a private bathroom for the tenant's own use.
- [ ] Fully furnished with a Queen sized bed, ceiling fan, aircon, wardrobe with mirror, study table with chair, television, standing fan, standing lamp.
- [ ] -- WiFi, electricity and water are included. Washing machine and refrigerator available.
- [ ] -- Light cooking is acceptable.
- [ ] -- Room is available immediately.
- [ ] -- Good location.
‪+60 11‑6284 5818‬ WhatsApp",2025-12-13T23:49:55.618287+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/ZxCxhUfMkk8EJf70RHvKPZEt8RM/2850x1515/unit/5686633/img-1247.jpeg,https://cdn.fazwaz.com/wbr/fSaPp5R6MVMYZDevkJD_-TVw8zY/250x250/unit/5686633/img-1248.jpeg,https://cdn.fazwaz.com/wbr/bM4Wn9QxR-u1RLrsrRCs1rWgmYA/250x250/unit/5686633/img-1250.jpeg,https://cdn.fazwaz.com/wbr/gmqs2qX9kMVMnxcmKroAYTB2_yU/250x250/unit/5686633/img-1252.jpeg,https://cdn.fazwaz.com/wbr/4Na8mucs_hlGQ6bbJ1OWVZWNVOE/250x250/unit/5686633/img-1253.jpeg",U5686633,"Bukit Baru, Melaka Tengah Central Malacca, Melaka","RM1,900",Penthouse,Agent / Partner,2 Bedroom Penthouse for rent at Bukit Baru,https://www.fazwaz.my/property-rent/2-bedroom-penthouse-for-rent-at-bukit-baru-in-bukit-baru-melaka-u5686633
