area,bathrooms,bedrooms,description,fetched_at,furnished,images,listing_id,location,price,property_type,seller_name,title,url
"1,210 Sqft",1,0,"This property is a 1,210 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Melaka City project in Bandar Melaka, Melaka and was completed in Mar 2022. You can rent this penthouse long term for RM650 per month.
The Heights Residence Condominium 1 bed 1 bath Flat/studio
Kindly wa.me for appointment Viewing and also for more details on how to rent tq +60 10-438 1029",2025-12-13T23:49:44.959787+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/qiJ4RTn2TyTfCPvkSMNOFLfKtrY/2850x1515/unit/5618823/img-5923.jpeg,https://cdn.fazwaz.com/wbr/KjzF1bJX6eyn_qZgypvSYfVLyp0/250x250/unit/5618823/img-5926.jpeg,https://cdn.fazwaz.com/wbr/V_BSdi1mlKVyHkzMwKgBYynyxFk/250x250/unit/5618823/img-5927.jpeg,https://cdn.fazwaz.com/wbr/yaa9TXXCbj5b1oALbPNNqeKc2Wg/250x250/unit/5618823/img-5928.jpeg,https://cdn.fazwaz.com/wbr/DeVLXfAxymwjfJJBYB4b9Cz6Eps/250x250/unit/5618823/img-5929.jpeg",U5618823,"Bandar Melaka, Melaka Tengah Central Malacca, Melaka",RM650,Penthouse,Private Owner,Studio Penthouse for rent at Melaka City,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-melaka-city-in-bandar-melaka-melaka-u5618823
779 Sqft,1,1,"This property is a 779 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Bukit Baru project in Bukit Baru, Melaka and was completed in Jan 2024. You can rent this penthouse long term for RM800 per month.
Private rooms attached bathroom available Good location
Private rooms attached bathroom available Good location
A condo common room with a private bathroom for the tenant's own use.
+60 10 438 2116
Looking for a happy, great tenant to make this cute and place home!
Interested tenants should Message the
landlord on WhatsApp +60 10 438 2116 direct owner",2025-12-13T23:49:44.959787+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/JomrFNRxOBUsMHL8frCzDTq4Gvo/2850x1515/unit/5640663/img-0247.jpeg,https://cdn.fazwaz.com/wbr/5AR1EN9cSonh1nq4-I2uKObGgH8/250x250/unit/5640663/img-0248.jpeg,https://cdn.fazwaz.com/wbr/ckmlqZ5ycIxUQ1KaGWB0OxPW0Pg/250x250/unit/5640663/img-0249.jpeg,https://cdn.fazwaz.com/wbr/FvyI1OG9_t9JfHvcRTEk-EQMBoo/250x250/unit/5640663/img-0250.jpeg,https://cdn.fazwaz.com/wbr/1U37MCis9gmRMDiJ8Wi-b4IAlJQ/250x250/unit/5640663/img-0251.jpeg",U5640663,"Bukit Baru, Melaka Tengah Central Malacca, Melaka",RM800,Penthouse,Private Owner,1 Bedroom Penthouse for rent at Bukit Baru,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-bukit-baru-in-bukit-baru-melaka-u5640663
666 Sqft,1,1,"This property is a 666 Sqft condo with 1 bedroom and 1 bathroom that is available for rent. It is part of the Bukit Baru project in Bukit Baru, Melaka and was completed in Jan 2024. You can rent this condo long term for RM1,200 per month.
Private rooms attached bathroom available Good location
Private rooms attached bathroom available Good location
A condo common room with a private bathroom for the tenant's own use.
+60 10 438 2116
Looking for a happy, great tenant to make this cute and place home!
Interested tenants should Message the
landlord on WhatsApp +60 10 438 2116 direct owner",2025-12-13T23:49:44.959787+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/nE8QnbDiYJrxG25D3jb1Sp1VMls/2850x1515/unit/5668401/img-0627.jpeg,https://cdn.fazwaz.com/wbr/DRKLqc7ZhzGK49rhQEp4XHlUq4I/250x250/unit/5668401/img-0628.jpeg,https://cdn.fazwaz.com/wbr/mD1q1-LuMR6L77rs1mpe0hdY5NQ/250x250/unit/5668401/img-0629.jpeg,https://cdn.fazwaz.com/wbr/ynANRnkQd0oleOe-RWhGhub8E4c/250x250/unit/5668401/img-0630.jpeg,https://cdn.fazwaz.com/wbr/ZDo0FgzSERMcz8MXw10sTy4WYAs/250x250/unit/5668401/img-0631.jpeg",U5668401,"Bukit Baru, Melaka Tengah Central Malacca, Melaka","RM1,200",Condo,Private Owner,1 Bedroom Condo for rent at Bukit Baru,https://www.fazwaz.my/property-rent/1-bedroom-condo-for-rent-at-bukit-baru-in-bukit-baru-melaka-u5668401
887 Sqft,2,2,"This property is a 887 Sqft penthouse with 2 bedrooms and 2 bathrooms that is available for rent. It is part of the Bukit Baru project in Bukit Baru, Melaka and was completed in Jan 2024. You can rent this penthouse long term for RM800 per month.
Private rooms attached bathroom available Good location
Private rooms attached bathroom available Good location
A condo common room with a private bathroom for the tenant's own use.
+60 10 438 2116
Looking for a happy, great tenant to make this cute and place home!
Interested tenants should Message the
landlord on WhatsApp +60 10 438 2116 direct owner",2025-12-13T23:49:44.959787+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/LCHVPGzXob3QWO8DiwOlBeuGdQo/2850x1515/unit/5668404/img-0936.jpeg,https://cdn.fazwaz.com/wbr/6_543hGSySsMaQ72rBBm6E_6g3w/250x250/unit/5668404/img-0938.jpeg,https://cdn.fazwaz.com/wbr/i3-fKP69A_zctOjVjltSIHP0W4o/250x250/unit/5668404/img-0939.jpeg,https://cdn.fazwaz.com/wbr/RerPOjvUxGwXjAmO1umr2TR0RqM/250x250/unit/5668404/img-0940.jpeg,https://cdn.fazwaz.com/wbr/jjmKSgKsFxBYsc9XhxLK077cF4E/250x250/unit/5668404/img-0941.jpeg",U5668404,"Bukit Baru, Melaka Tengah Central Malacca, Melaka",RM800,Penthouse,Private Owner,2 Bedroom Penthouse for rent at Bukit Baru,https://www.fazwaz.my/property-rent/2-bedroom-penthouse-for-rent-at-bukit-baru-in-bukit-baru-melaka-u5668404
778 Sqft,1,0,"This property is a 778 Sqft studio penthouse with 1.5 bathroom that is available for rent. It is part of the Bukit Baru project in Bukit Baru, Melaka and was completed in Jan 2024. You can rent this penthouse long term for RM800 per month.
Private rooms attached bathroom available Good location
Private rooms attached bathroom available Good location
A condo common room with a private bathroom for the tenant's own use.
+60 10 438 2116
Looking for a happy, great tenant to make this cute and place home!
Interested tenants should Message the
landlord on WhatsApp +60 10 438 2116 direct owner",2025-12-13T23:49:44.959787+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/ZZncEedEGSNw17fq5Jtu_YurW-w/2850x1515/unit/5663819/img-0813.jpeg,https://cdn.fazwaz.com/wbr/0MKpFYO7x-AlnPFqw3xHqJ_vNPc/250x250/unit/5663819/img-0814.jpeg,https://cdn.fazwaz.com/wbr/2e6lXxJUJcL2Nb-BlcfLeO5JHPU/250x250/unit/5663819/img-0815.jpeg,https://cdn.fazwaz.com/wbr/gG6id9GI2U4Mcl3mpu3YneOoVmU/250x250/unit/5663819/img-0816.jpeg,https://cdn.fazwaz.com/wbr/3wR06O8hLUdVgY49-M0yP1EWPIg/250x250/unit/5663819/img-0817.jpeg",U5663819,"Bukit Baru, Melaka Tengah Central Malacca, Melaka",RM800,Penthouse,Private Owner,Studio Penthouse for rent at Bukit Baru,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-bukit-baru-in-bukit-baru-melaka-u5663819
400 Sqft,1,1,"This property is a 400 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Klebang project in Bukit Rambai, Melaka and was completed in Nov 2023. You can rent this penthouse long term for RM500 per month.
Beautiful Bedroom Home – Perfect for Modern Living
IF YOU ARE INTERESTED IN RENTING THE CONDO/APARTMENT 🏠,KINDLY GET IN TOUCH WITH THE LANDLORD ON ..…WHATSAPP:+60 10-438 1043
Apartment Features:
Modern kitchen equipped with refrigerator, oven, microwave, and complete cookware
Cozy living room with sofa, coffee table, and television
Facilities:
•-hour security
• Fully-equipped gymnasium
• Mini market
• Children’s playground
• Cafeteria
• Swimming pool
• Barbecue area
• Sky lounge
• Function room and more…
WhatsApp : +60 10-438 1043 Yeong",2025-12-13T23:49:44.959787+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/UCxk5SIrkziqcohu3qyco9BaGS0/2850x1515/unit/5722895/img-1718.jpeg,https://cdn.fazwaz.com/wbr/OH0wfHqgUDGtoiboJk2_2fxXlVo/250x250/unit/5722895/img-1719.jpeg,https://cdn.fazwaz.com/wbr/P4PUd4ghrvcHWZYtSc7Ai7OaAK0/250x250/unit/5722895/img-1720.jpeg,https://cdn.fazwaz.com/wbr/w88xQ-VILscF2mTi4WZ4tQ5eWn4/250x250/unit/5722895/img-1722.jpeg,https://cdn.fazwaz.com/wbr/MCWZ0d0Zmo7V9k6ZkzRwZbdn_Co/250x250/unit/5722895/img-1728.jpeg",U5722895,"Bukit Rambai, Melaka Tengah Central Malacca, Melaka",RM500,Penthouse,Developer,1 Bedroom Penthouse for rent at Klebang,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-klebang-in-bukit-rambai-melaka-u5722895
,0,0,"It is located in Bukit Katil, Melaka. You can rent this office long term for RM3,200 per month.",2025-12-13T23:49:44.959787+00:00,,"https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC83NzE3ODQ3Zi0zYjIzLTQzZTctODg1MS1mODg0YjA3MTMyNzFcL2U1OGVjOWI3LWYzODEtNDBhZC04MWU0LTU4Mzk5YzExMmU2Yi5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6OTUwLCJoZWlnaHQiOjUwNSwiZml0IjoiY292ZXIifX19,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC83NzE3ODQ3Zi0zYjIzLTQzZTctODg1MS1mODg0YjA3MTMyNzFcL2M4NzgxMjkxLTUxOWMtNGMxYy1hNDM4LTBmZTI5ZjY5ZTc3OC5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MjUwLCJoZWlnaHQiOjI1MCwiZml0IjoiY292ZXIifX19,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC83NzE3ODQ3Zi0zYjIzLTQzZTctODg1MS1mODg0YjA3MTMyNzFcLzMyNzI4ZWEyLWU2MjUtNGJlNi04YjA2LTQ0YzUzZWY3YTAyOS5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MjUwLCJoZWlnaHQiOjI1MCwiZml0IjoiY292ZXIifX19,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC83NzE3ODQ3Zi0zYjIzLTQzZTctODg1MS1mODg0YjA3MTMyNzFcL2RjNjMxNWNhLTA1NWEtNGE0MS05NzI3LTk0Nzk5NDliOGQ4Mi5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MjUwLCJoZWlnaHQiOjI1MCwiZml0IjoiY292ZXIifX19,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC83NzE3ODQ3Zi0zYjIzLTQzZTctODg1MS1mODg0YjA3MTMyNzFcLzJkZmMxOGYzLTQ5YzQtNDhhNi05ZjdhLTA1M2JkNDFjMzE3ZS5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MjUwLCJoZWlnaHQiOjI1MCwiZml0IjoiY292ZXIifX19",U2033436,"Bukit Katil, Melaka Tengah Central Malacca, Melaka","RM3,200",Office,Proppit,"Metra Square @ Ayer Keroh, Melaka Serviced Office For 4 pax use",https://www.fazwaz.my/property-rent/office-for-rent-in-bukit-katil-melaka-u2033436
,0,0,"It is located in Bukit Katil, Melaka. You can rent this office long term for RM4,000 per month.",2025-12-13T23:49:44.959787+00:00,,"https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC8xZTEzOWM0My1jZGNkLTRjYTUtOTQzYi1iOTc3YzMwNWJlMmNcLzE1NDA2MDlmLTllZDktNGIwZi05MjNhLTVhODcyOGQ0ODc4ZS5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6OTUwLCJoZWlnaHQiOjUwNSwiZml0IjoiY292ZXIifX19,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC8xZTEzOWM0My1jZGNkLTRjYTUtOTQzYi1iOTc3YzMwNWJlMmNcLzNhNjFhNzA3LTVjZjgtNGQ5ZC1iNzBiLWQ5ZGQzMjI1NzA5OC5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MjUwLCJoZWlnaHQiOjI1MCwiZml0IjoiY292ZXIifX19,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC8xZTEzOWM0My1jZGNkLTRjYTUtOTQzYi1iOTc3YzMwNWJlMmNcLzMzZWE5NThjLWY4N2MtNDgzNy04NzMxLWE1ZTdkM2NjYzVjOC5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MjUwLCJoZWlnaHQiOjI1MCwiZml0IjoiY292ZXIifX19,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC8xZTEzOWM0My1jZGNkLTRjYTUtOTQzYi1iOTc3YzMwNWJlMmNcLzBkNjcxNzhlLWNiMDItNDU2Zi05ZmM5LWVhOTAwOTk5YzA4MS5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MjUwLCJoZWlnaHQiOjI1MCwiZml0IjoiY292ZXIifX19,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC8xZTEzOWM0My1jZGNkLTRjYTUtOTQzYi1iOTc3YzMwNWJlMmNcLzEwZDQ3YzdlLTQ1NDAtNGVhNC1hMTczLThmOWMyMTIwMjNhZC5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MjUwLCJoZWlnaHQiOjI1MCwiZml0IjoiY292ZXIifX19",U2025679,"Bukit Katil, Melaka Tengah Central Malacca, Melaka","RM4,000",Office,Proppit,"Metra Square @ Ayer Keroh, Melaka Serviced Office For 5 pax use",https://www.fazwaz.my/property-rent/office-for-rent-in-bukit-katil-melaka-u2025679
,0,0,"It is located in Bukit Katil, Melaka. You can rent this office long term for RM8,000 per month.",2025-12-13T23:49:44.959787+00:00,,"https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC8zNjg2ZDQ3Yy04MTg2LTRmNDYtODkxMi0zYWI1NmEyNWJkZjdcL2Q4Mjk5NmRhLThkZmQtNDc5YS04YzRmLTBhNzI5NjE2NDk4Yy5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6OTUwLCJoZWlnaHQiOjUwNSwiZml0IjoiY292ZXIifX19,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC8zNjg2ZDQ3Yy04MTg2LTRmNDYtODkxMi0zYWI1NmEyNWJkZjdcLzU1NmZlYmM4LTYyZTItNDBkNi1iNmU1LTIxYzFiMGIyM2FhNy5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MjUwLCJoZWlnaHQiOjI1MCwiZml0IjoiY292ZXIifX19,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC8zNjg2ZDQ3Yy04MTg2LTRmNDYtODkxMi0zYWI1NmEyNWJkZjdcLzU0ZDZkNGQyLTc3YTItNGI0Yy1iZDdkLTI1OTBkMzQzN2JmZS5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MjUwLCJoZWlnaHQiOjI1MCwiZml0IjoiY292ZXIifX19,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC8zNjg2ZDQ3Yy04MTg2LTRmNDYtODkxMi0zYWI1NmEyNWJkZjdcLzI4NzkzY2I3LTJhMzYtNDRjMy05YjcxLWU1MzYxYWE1ODMxNy5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MjUwLCJoZWlnaHQiOjI1MCwiZml0IjoiY292ZXIifX19,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC8zNjg2ZDQ3Yy04MTg2LTRmNDYtODkxMi0zYWI1NmEyNWJkZjdcLzJiZWNhNWY0LTg5ZmMtNDcwNC1iMWI2LWEyNGY4NzZjNzg0Ni5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MjUwLCJoZWlnaHQiOjI1MCwiZml0IjoiY292ZXIifX19",U2031530,"Bukit Katil, Melaka Tengah Central Malacca, Melaka","RM8,000",Office,Proppit,"Metra Square @ Ayer Keroh, Melaka Serviced Office For 9 pax use",https://www.fazwaz.my/property-rent/office-for-rent-in-bukit-katil-melaka-u2031530
,0,0,"It is located in Bukit Katil, Melaka. You can rent this office long term for RM6,300 per month.",2025-12-13T23:49:44.959787+00:00,,"https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC8zZWJkZmQzZi0yZmY4LTRhZTEtYTIwOC0yODc0YzBjMmUyYzJcL2YzN2UwMDFjLWZmYjYtNDhhMS1hYzRjLWIyODIyODQ4MWVhMi5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6OTUwLCJoZWlnaHQiOjUwNSwiZml0IjoiY292ZXIifX19,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC8zZWJkZmQzZi0yZmY4LTRhZTEtYTIwOC0yODc0YzBjMmUyYzJcL2YzMGUyOGFkLWY1NDEtNGE1ZC05MWMxLWQ1OWUyMDhmZDc2YS5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MjUwLCJoZWlnaHQiOjI1MCwiZml0IjoiY292ZXIifX19,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC8zZWJkZmQzZi0yZmY4LTRhZTEtYTIwOC0yODc0YzBjMmUyYzJcLzQ3OTg0MjYwLTg3MDItNDQ2Yy05YzkwLTQ5YTYwYjJmNzQ5MC5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MjUwLCJoZWlnaHQiOjI1MCwiZml0IjoiY292ZXIifX19,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC8zZWJkZmQzZi0yZmY4LTRhZTEtYTIwOC0yODc0YzBjMmUyYzJcLzUzYmNhZjgxLTQ5NjEtNDgwMy1iZWJjLTQ1YTZiZDQxMmI0NC5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MjUwLCJoZWlnaHQiOjI1MCwiZml0IjoiY292ZXIifX19,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC8zZWJkZmQzZi0yZmY4LTRhZTEtYTIwOC0yODc0YzBjMmUyYzJcLzZmZDg0YTgxLTdlOWMtNDIzMS04NzgwLTI0OTMxMTg4ZDE3My5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MjUwLCJoZWlnaHQiOjI1MCwiZml0IjoiY292ZXIifX19",U2018336,"Bukit Katil, Melaka Tengah Central Malacca, Melaka","RM6,300",Office,Proppit,"Metra Square @ Ayer Keroh, Melaka Serviced Office For 7 pax use",https://www.fazwaz.my/property-rent/office-for-rent-in-bukit-katil-melaka-u2018336
