area,bathrooms,bedrooms,description,fetched_at,furnished,images,listing_id,location,price,property_type,seller_name,title,url
620 Sqft,1,0,"This property is a 620 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Rimbun Irama @ Seremban 2 Heights project in Rasah, Negeri Sembilan and was completed in Jun 2018. You can rent this penthouse long term for RM600 per month.
Fully furnished studio
Kitchen Cabinet,Mattress,TV,A/C,Sofa,Refrigerator,Bedframe,Water Heater,Dining Table,Hood & Hub,Wardrobe,Curtain,Microwave,Washing Machine
Facilities
Security 24 Hr,Swimming,Squasy,Elevator,Mart,Restaurant,Sauna,Playground,Badminton,Gym,Covered Parking
Kindly text the owner on WhatsApp on 601162343286 for more details",2025-12-13T23:50:20.554437+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/plQE2ugpNY-tQpZnrVAP6HyHZtM/2850x1515/unit/5915146/img-0847.jpeg,https://cdn.fazwaz.com/wbr/XiA0ipjle79lDaReA-xj_rsHlEo/250x250/unit/5915146/img-0848.jpeg,https://cdn.fazwaz.com/wbr/Sv-X-PEnefPYkHNe-ZZ46NKb138/250x250/unit/5915146/img-0849.jpeg,https://cdn.fazwaz.com/wbr/Y4cwrfk_cEiTz382aQjvqx6a42k/250x250/unit/5915146/img-0850.jpeg,https://cdn.fazwaz.com/wbr/L4Jh5915j_v-lVxVtPXDTyqOMxU/250x250/unit/5915146/img-0851.jpeg",U5915146,"Rasah, Seremban, Negeri Sembilan",RM600,Penthouse,Private Owner,Studio Penthouse for rent at Rimbun Irama @ Seremban 2 Heights,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-rimbun-irama-at-seremban-2-heights-in-rasah-negeri-sembilan-u5915146
890 Sqft,1,2,"This property is a 890 Sqft penthouse with 2 bedrooms and 1 bathroom that is available for rent. It is part of the Taman Zamrud project in Kuala Jempol, Negeri Sembilan and was completed in May 2023. You can rent this penthouse long term for RM900 per month.
Private rooms attached bathroom available Good location
Private rooms attached bathroom available Good location
A condo common room with a private bathroom for the tenant's own use.
+60 10 438 2116
Looking for a happy, great tenant to make this cute and place home!
Interested tenants should Message the
landlord on WhatsApp +60 10 438 2116 direct owner",2025-12-13T23:50:20.554437+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/OsibDDB9RFoicyiwXXlNtMtHuA0/2850x1515/unit/5664479/img-0789.jpeg,https://cdn.fazwaz.com/wbr/k8Vph36YjFJ7CTCrIoMnCvRbIvc/250x250/unit/5664479/img-0790.jpeg,https://cdn.fazwaz.com/wbr/4pY76HlLf7zB7qZWX_mVDxCBWDM/250x250/unit/5664479/img-0791.jpeg,https://cdn.fazwaz.com/wbr/R2ISQE33jM_A0Eal4NJaxCJiffQ/250x250/unit/5664479/img-0792.jpeg,https://cdn.fazwaz.com/wbr/pGu1dpmVwonPMdZUs7L4l4VgHu0/250x250/unit/5664479/img-0793.jpeg",U5664479,"Kuala Jempol, Jempol, Negeri Sembilan",RM900,Penthouse,Private Owner,2 Bedroom Penthouse for rent at Taman Zamrud,https://www.fazwaz.my/property-rent/2-bedroom-penthouse-for-rent-at-taman-zamrud-in-kuala-jempol-negeri-sembilan-u5664479
790 Sqft,1,2,"This property is a 790 Sqft penthouse with 2 bedrooms and 1 bathroom that is available for rent. It is part of the Residensi KLIA project in Labu, Negeri Sembilan and was completed in Dec 2021. You can rent this penthouse long term for RM700 per month.
Master bedrooms also got private bathroom
Kindly Follow the instructions of the Unit Here🔥🔥 BY 🏡,Sending A message Via(WhatsApp)
Fully furnished non sharing Available to move in ASAP.
Got Car 🚗 park included.
Notes:You can send a message via WhatsApp for fast response.
016 219 8047",2025-12-13T23:50:20.554437+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/wimVOhZTQNt-abGKHvWsojFWddw/2850x1515/unit/5666541/y9.jpg,https://cdn.fazwaz.com/wbr/du0LjJEmFOLVSXYnJLem1ud_Z5Y/250x250/unit/5666541/y4.jpg,https://cdn.fazwaz.com/wbr/O8kYkjQjqAC13HBqiZM_2fcB82w/250x250/unit/5666541/y10.jpg,https://cdn.fazwaz.com/wbr/PXrOW9ZEN0-HuYerUFvkWn6gM_E/250x250/unit/5666541/y5.jpg,https://cdn.fazwaz.com/wbr/0G9Pe-qGxY68jKaQV7jVItltSsM/250x250/unit/5666541/y6.jpg",U5666541,"Labu, Seremban, Negeri Sembilan",RM700,Penthouse,Private Owner,2 Bedroom Penthouse for rent at Residensi KLIA,https://www.fazwaz.my/property-rent/2-bedroom-penthouse-for-rent-at-residensi-klia-in-labu-negeri-sembilan-u5666541
"1,100 Sqft",1,0,"This property is a 1,100 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Bandar Springhill project in Port Dickson, Negeri Sembilan and was completed in Jan 2018. You can rent this penthouse long term for RM500 per month.
Laguna Condominium Resort Fully Furnished 1 bed 1 Bath Apart
Kindly wa.me for appointment Viewing and also for more details on how to rent tq +60 10-438 1029",2025-12-13T23:50:20.554437+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/Sq64mSebkuEBFNeW91A2t2yBD9M/2850x1515/unit/5622397/img-6067.jpeg,https://cdn.fazwaz.com/wbr/3C5I2Jx0j_7-YM00epU7uFIL7Wg/250x250/unit/5622397/img-6069.jpeg,https://cdn.fazwaz.com/wbr/njYzxlPD9h6_3fXb5WnCDj5aNWI/250x250/unit/5622397/img-6070.jpeg,https://cdn.fazwaz.com/wbr/LfDBOlZc5R-wRgxfqd0cvAv_eMg/250x250/unit/5622397/img-6071.jpeg,https://cdn.fazwaz.com/wbr/mtNtdEMgenHNRwtu1kP55Kyu2PA/250x250/unit/5622397/img-6072.jpeg",U5622397,"Port Dickson, Port Dickson, Negeri Sembilan",RM500,Penthouse,Private Owner,Studio Penthouse for rent at Bandar Springhill,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-bandar-springhill-in-port-dickson-negeri-sembilan-u5622397
519 Sqft,1,0,"This property is a 519 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Residensi KLIA project in Labu, Negeri Sembilan and was completed in Dec 2021. You can rent this penthouse long term for RM680 per month.
Residensi KLIA - Labu, Negeri Sembilan
Kindly Follow the instructions of the Unit Here🔥🔥 BY 🏡,Serious tenant, please feel free contactVia(WhatsApp)Fully furnished non sharing Available to move in ASAP.Got Car 🚗 park included.Notes:You can send a message via WhatsApp for fast response.0143988048",2025-12-13T23:50:20.554437+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/uTn2qbiU568lYbRSUWAf4nFwNW8/2850x1515/unit/5722614/2es.jpg,https://cdn.fazwaz.com/wbr/FbRCYEgi0v5rSbPhZkZyOIccoWo/250x250/unit/5722614/676.jpg,https://cdn.fazwaz.com/wbr/COp2NoFrmDep7Bb9PdK-fLg7lkw/250x250/unit/5722614/78b.jpg,https://cdn.fazwaz.com/wbr/eatFacxWW8iv6bNz27ckeKCM1ck/250x250/unit/5722614/r5f.jpg,https://cdn.fazwaz.com/wbr/Nh3iKIw92c5mlJvuL71d-fNwoaw/250x250/unit/5722614/sdf.jpg",U5722614,"Labu, Seremban, Negeri Sembilan",RM680,Penthouse,Private Owner,Studio Penthouse for rent at Residensi KLIA,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-residensi-klia-in-labu-negeri-sembilan-u5722614
419 Sqft,1,0,"This property is a 419 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Balista project in Bandar Seremban, Negeri Sembilan and was completed in Oct 2022. You can rent this penthouse long term for RM500 per month.
Balista - Bandar Seremban, Negeri Sembilan
Kindly Follow the instructions of the Unit Here🔥🔥 BY 🏡,Serious tenant, please feel free contactVia(WhatsApp)Fully furnished non sharing Available to move in ASAP.Got Car 🚗 park included.Notes:You can send a message via WhatsApp for fast response.0143988048",2025-12-13T23:50:20.554437+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/VUm-4puYbICE810dKff8yV6CRVo/2850x1515/unit/5722691/8998.jpg,https://cdn.fazwaz.com/wbr/VgS_hjFPAFzU5ETy14Q2nASrMlM/250x250/unit/5722691/ijh.jpg,https://cdn.fazwaz.com/wbr/_vZGKc0itjcs-Y8-XWNDHYmfmnM/250x250/unit/5722691/uuo.jpg,https://cdn.fazwaz.com/wbr/5EODvz5X4KOJDHxoxXAis2prW4A/250x250/unit/5722691/yft.jpg,https://cdn.fazwaz.com/wbr/aYPgCkkw8GdQ2lgUj-UNgG6gIHY/250x250/unit/5722691/yhi.jpg",U5722691,"Bandar Seremban, Seremban, Negeri Sembilan",RM500,Penthouse,Private Owner,Studio Penthouse for rent at Balista,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-balista-in-bandar-seremban-negeri-sembilan-u5722691
770 Sqft,1,0,"This property is a 770 Sqft studio penthouse with 1.5 bathroom that is available for rent. It is part of the Dextora project in Bandar Seremban, Negeri Sembilan and was completed in Jun 2023. You can rent this penthouse long term for RM700 per month.
Private rooms attached bathroom available Good location
Private rooms attached bathroom available Good location
A condo common room with a private bathroom for the tenant's own use.
+60 11 1032 9710
Looking for a happy, great tenant to make this cute and place home!
Interested tenants should Message the
landlord on WhatsApp +60 11 1032 9710 direct owner",2025-12-13T23:50:20.554437+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/i3piw5UHa6vRen_fpKD7wD6OwXA/2850x1515/unit/5632192/img-0620.jpeg,https://cdn.fazwaz.com/wbr/3eReG-OrvCTYgbvxrWaQlElsN_8/250x250/unit/5632192/img-0621.jpeg,https://cdn.fazwaz.com/wbr/otdU8jRQBxQ7UE2GZvjAA6XQvAQ/250x250/unit/5632192/img-0622.jpeg,https://cdn.fazwaz.com/wbr/AO7YQajhWX2ltLrfJ-ioAbQl2w4/250x250/unit/5632192/img-0623.jpeg,https://cdn.fazwaz.com/wbr/B1TUFtWYYP4G1Z-VDNyR-DdNc0I/250x250/unit/5632192/img-0624.jpeg",U5632192,"Bandar Seremban, Seremban, Negeri Sembilan",RM700,Penthouse,Private Owner,Studio Penthouse for rent at Dextora,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-dextora-in-bandar-seremban-negeri-sembilan-u5632192
719 Sqft,1,1,"This property is a 719 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Residensi Seremban Sentral project in Bandar Seremban, Negeri Sembilan and was completed in Jul 2020. You can rent this penthouse long term for RM680 per month.
Residensi Seremban Sentral - Bandar Seremban, Negeri Sembila
Kindly Follow the instructions of the Unit Here🔥🔥 BY 🏡,Serious tenant, please feel free contactVia(WhatsApp)Fully furnished non sharing Available to move in ASAP.Got Car 🚗 park included.Notes:You can send a message via WhatsApp for fast response.0143988048",2025-12-13T23:50:20.554437+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/RRpfbfwJy72-PZ-UrJA-P-H1LPA/2850x1515/unit/5722713/355.jpg,https://cdn.fazwaz.com/wbr/FPHVRKzViupi4l5TGkvzLGUdd-U/250x250/unit/5722713/12o.jpg,https://cdn.fazwaz.com/wbr/S51LKolqmpn8goTaxbZh3KHeboc/250x250/unit/5722713/595.jpg,https://cdn.fazwaz.com/wbr/1EJjs-_E1eQMlremY14bvhEHJYc/250x250/unit/5722713/r46.jpg,https://cdn.fazwaz.com/wbr/QznPMMFyQbykeFBRH2DxyRji3qk/250x250/unit/5722713/u9t.jpg",U5722713,"Bandar Seremban, Seremban, Negeri Sembilan",RM680,Penthouse,Private Owner,1 Bedroom Penthouse for rent at Residensi Seremban Sentral,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-residensi-seremban-sentral-in-bandar-seremban-negeri-sembilan-u5722713
540 Sqft,1,1,"This property is a 540 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Ara Sendayan project in Rasah, Negeri Sembilan and was completed in Jun 2020. You can rent this penthouse long term for RM400 per month.
Single bedroom also got private bathroom
Serious tenant, please feel free to contact
MUHAMAD at ‪‪‪ ‪‪+60 14-284 6576
for more information and viewing arrangement. Many thanks.",2025-12-13T23:50:20.554437+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/0IfsdMtybfYYVp0svr8faYYKYy0/2850x1515/unit/5684597/img-0852.jpeg,https://cdn.fazwaz.com/wbr/TsBoa7S0-IDutIFc0L0XQCnhfTk/250x250/unit/5684597/img-0849.jpeg,https://cdn.fazwaz.com/wbr/ailf3aYqXbZ4dwvHBCrwmg2cUmo/250x250/unit/5684597/img-0850.jpeg,https://cdn.fazwaz.com/wbr/55pxW3a3bM1e5UhSE_chs71i8oI/250x250/unit/5684597/img-0851.jpeg,https://cdn.fazwaz.com/wbr/gteuGTEdfutppTvMs2l5Jee1PX8/250x250/unit/5684597/img-0854.jpeg",U5684597,"Rasah, Seremban, Negeri Sembilan",RM400,Penthouse,Private Owner,1 Bedroom Penthouse for rent at Ara Sendayan,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-ara-sendayan-in-rasah-negeri-sembilan-u5684597
659 Sqft,1,2,"This property is a 659 Sqft penthouse with 2 bedrooms and 1 bathroom that is available for rent. It is part of the Taman Zamrud project in Kuala Jempol, Negeri Sembilan and was completed in May 2023. You can rent this penthouse long term for RM650 per month.
Single bedroom also got private bathroom
Kindly Follow the instructions of the Unit Here🔥🔥 BY 🏡,Sending A message Via(WhatsApp)
Fully furnished non sharing Available to move in ASAP.
Got Car 🚗 park included.
Notes:You can send a message via WhatsApp for fast response.
016 219 8047",2025-12-13T23:50:20.554437+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/AdbsLAlCPdPR6d8TYH4XMimjbWw/2850x1515/unit/5635153/2bdroom6q.jpg,https://cdn.fazwaz.com/wbr/5ah11j9h2V63vbSS8YN2GvfXeL4/250x250/unit/5635153/2bedroom73uue.jpg,https://cdn.fazwaz.com/wbr/S-bsVOYpDEPwqvhgGssKWgtIqrc/250x250/unit/5635153/2bedroomehhye6.jpg,https://cdn.fazwaz.com/wbr/S30OfNimfmRJchGwjVSzIplJrTU/250x250/unit/5635153/2bedrooms87dc.jpg,https://cdn.fazwaz.com/wbr/bIlbADjKZLwMwyWUqzp3Ej4NnUY/250x250/unit/5635153/2bedroomtt355.jpg",U5635153,"Kuala Jempol, Jempol, Negeri Sembilan",RM650,Penthouse,Private Owner,2 Bedroom Penthouse for rent at Taman Zamrud,https://www.fazwaz.my/property-rent/2-bedroom-penthouse-for-rent-at-taman-zamrud-in-kuala-jempol-negeri-sembilan-u5635153
