area,bathrooms,bedrooms,description,fetched_at,furnished,images,listing_id,location,price,property_type,seller_name,title,url
620 Sqft,1,0,"This property is a 620 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Rimbun Irama @ Seremban 2 Heights project in Rasah, Negeri Sembilan and was completed in Jun 2018. You can rent this penthouse long term for RM600 per month.
Fully furnished studio
Kitchen Cabinet,Mattress,TV,A/C,Sofa,Refrigerator,Bedframe,Water Heater,Dining Table,Hood & Hub,Wardrobe,Curtain,Microwave,Washing Machine
Facilities
Security 24 Hr,Swimming,Squasy,Elevator,Mart,Restaurant,Sauna,Playground,Badminton,Gym,Covered Parking
Kindly text the owner on WhatsApp on 601162343286 for more details",2025-12-13T23:50:11.469199+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/plQE2ugpNY-tQpZnrVAP6HyHZtM/2850x1515/unit/5915146/img-0847.jpeg,https://cdn.fazwaz.com/wbr/XiA0ipjle79lDaReA-xj_rsHlEo/250x250/unit/5915146/img-0848.jpeg,https://cdn.fazwaz.com/wbr/Sv-X-PEnefPYkHNe-ZZ46NKb138/250x250/unit/5915146/img-0849.jpeg,https://cdn.fazwaz.com/wbr/Y4cwrfk_cEiTz382aQjvqx6a42k/250x250/unit/5915146/img-0850.jpeg,https://cdn.fazwaz.com/wbr/L4Jh5915j_v-lVxVtPXDTyqOMxU/250x250/unit/5915146/img-0851.jpeg",U5915146,"Rasah, Seremban, Negeri Sembilan",RM600,Penthouse,Private Owner,Studio Penthouse for rent at Rimbun Irama @ Seremban 2 Heights,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-rimbun-irama-at-seremban-2-heights-in-rasah-negeri-sembilan-u5915146
532 Sqft,1,1,"This property is a 532 Sqft condo with 1 bedroom and 1 bathroom that is available for rent. It is part of the Bandar Springhill project in Port Dickson, Negeri Sembilan and was completed in Jan 2018. You can rent this condo long term for RM600 per month.
Port Dickson, Port Dickson,Negeri Sembilan
Serious tenant, please feel free to contact
Muhammad on WhatsApp at ‪ ‪0 11‑6761 1953‬
/ WhatsApp 0 11‑6761 1953‬
for more information and viewing arrangement. Many thanks.",2025-12-13T23:50:11.469199+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/bJpzujRgFcrCJUnVq1IYf1NjXbY/2850x1515/unit/5807167/img-8030.jpeg,https://cdn.fazwaz.com/wbr/vLr7dw3CEptm3lcNpzSv1vtFFjw/250x250/unit/5807167/img-8031.jpeg,https://cdn.fazwaz.com/wbr/HFrl3XVYFUcHSOI-u6g4f77rtag/250x250/unit/5807167/img-8032.jpeg,https://cdn.fazwaz.com/wbr/fLjfA_go2ImQ2wU9UhJJ7kxSSnw/250x250/unit/5807167/img-8033.jpeg,https://cdn.fazwaz.com/wbr/EvvY_RU8T-TmMair7MKe_wqeNqw/250x250/unit/5807167/img-8029.jpeg",U5807167,"Port Dickson, Port Dickson, Negeri Sembilan",RM600,Condo,Private Owner,1 Bedroom Condo for rent at Bandar Springhill,https://www.fazwaz.my/property-rent/1-bedroom-condo-for-rent-at-bandar-springhill-in-port-dickson-negeri-sembilan-u5807167
980 Sqft,1,0,"This property is a 980 Sqft studio condo with 1 bathroom that is available for rent. It is part of the Bandar Ekar project in Tanjong Keling, Negeri Sembilan and was completed in May 2023. You can rent this condo long term for RM300 per month.
Studio Bedroom With Private Bathroom For Rent
(The whole unit for rent) Studio bedroom and private bathroom For rent
Please kindly text Mr Moh on WhatsApp +601127433606 If interested.
➤Studio for single or couple ➤Studio + 1 Car Park
➤ Female Can Rent✅
➤Male Can Rent✅
No sharing with other tenants
Available for both Short term and Long term tenants.
𝐑𝐌 300 per month
Book the unit now
House furnished 🏠 ➤ kitchen cabinets ➤ washing machine ➤ Induction cooker ➤ water purifier ➤ Microwave
If interested, Please kindly text Mr Moh on WhatsApp +601127433606 for more details htts:/wa.me/601127433606",2025-12-13T23:50:11.469199+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/VjOaQHjN5yr5QYL1fQijd7yu_pA/2850x1515/unit/5860807/img-0965.jpeg,https://cdn.fazwaz.com/wbr/0z9K1SKxJ8l5roa7NNhDHqqPRys/250x250/unit/5860807/img-0966.jpeg,https://cdn.fazwaz.com/wbr/S56BCTXCnwmgTO_-DyCi9teV1jk/250x250/unit/5860807/img-0967.jpeg,https://cdn.fazwaz.com/wbr/1j-OGyEfZnD05wL6IoYu2eR4G3g/250x250/unit/5860807/img-0968.jpeg,https://cdn.fazwaz.com/wbr/O0DNxZiobOI10WHiX0YFmJHVC0k/250x250/unit/5860807/img-0969.jpeg",U5860807,"Tanjong Keling, Rembau, Negeri Sembilan",RM300,Condo,Private Owner,Studio Condo for rent at Bandar Ekar,https://www.fazwaz.my/property-rent/studio-condo-for-rent-at-bandar-ekar-in-tanjong-keling-negeri-sembilan-u5860807
980 Sqft,1,0,"This property is a 980 Sqft studio condo with 1 bathroom that is available for rent. It is part of the Nilai project in Setul, Negeri Sembilan and was completed in Jul 2015. You can rent this condo long term for RM300 per month.
Studio Bedroom With Private Bathroom For Rent
(The whole unit for rent) Studio bedroom and private bathroom For rent
Please kindly text Mr Moh on WhatsApp +601127433606 If interested.
➤Studio for single or couple ➤Studio + 1 Car Park
➤ Female Can Rent✅
➤Male Can Rent✅
No sharing with other tenants
Available for both Short term and Long term tenants.
𝐑𝐌 300 per month
Book the unit now
House furnished 🏠 ➤ kitchen cabinets ➤ washing machine ➤ Induction cooker ➤ water purifier ➤ Microwave
If interested, Please kindly text Mr Moh on WhatsApp +601127433606 for more details htts:/wa.me/601127433606",2025-12-13T23:50:11.469199+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/SqDZKjitsiCOuv2S6i8RfMkYj0k/2850x1515/unit/5860817/img-0985.jpeg,https://cdn.fazwaz.com/wbr/TvyfEjW6AC2Qmw9eHgOvs-SNmog/250x250/unit/5860817/img-0986.jpeg,https://cdn.fazwaz.com/wbr/w8qvZPDsDAjNdgmyV6XOOEF7Zao/250x250/unit/5860817/img-0987.jpeg,https://cdn.fazwaz.com/wbr/d4tBGq8OLIC77SEVPcL3IuKik60/250x250/unit/5860817/img-0988.jpeg,https://cdn.fazwaz.com/wbr/8IQGDQot8RoZ2NGmyGAs0Hp9zuA/250x250/unit/5860817/img-0989.jpeg",U5860817,"Setul, Seremban, Negeri Sembilan",RM300,Condo,Private Owner,Studio Condo for rent at Nilai,https://www.fazwaz.my/property-rent/studio-condo-for-rent-at-nilai-in-setul-negeri-sembilan-u5860817
870 Sqft,1,1,"This property is a 870 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Taman Zamrud project in Kuala Jempol, Negeri Sembilan and was completed in May 2023. You can rent this penthouse long term for RM500 per month.
Single bedroom also got private bathroom
Serious tenant, please feel free to contact Muhamad at ‪ ‪60-16‑219-8047‬ ‬for more information and viewing arrangement. Many thanks",2025-12-13T23:50:11.469199+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/5uTuQGCb_AiqzkDH7i0KEV3fuck/2850x1515/unit/5888530/c64ac1b6-3e19-44df-8f8a-6de2675c97cd.jpeg,https://cdn.fazwaz.com/wbr/89N9f15x4bTsvcFu-E7lsq3k0dg/250x250/unit/5888530/666afffc-0d52-4a4a-b451-4710afe2611b.jpeg,https://cdn.fazwaz.com/wbr/fyB_H9QjCHExC5aCDSZ95g9jK8U/250x250/unit/5888530/9838c5fa-8031-4187-9ff2-069db082628e.jpeg,https://cdn.fazwaz.com/wbr/_XOMqJX88L0zf4zeOGUP7SR_4hw/250x250/unit/5888530/c3f3c59d-9b85-4567-9b13-19ebbda5a59a.jpeg,https://cdn.fazwaz.com/wbr/4Vq_FqDAjWLncBGMIdzA0AFWSj0/250x250/unit/5888530/dfb716db-c5c5-4e35-8e9a-4b882782311a.jpeg",U5888530,"Kuala Jempol, Jempol, Negeri Sembilan",RM500,Penthouse,Private Owner,1 Bedroom Penthouse for rent at Taman Zamrud,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-taman-zamrud-in-kuala-jempol-negeri-sembilan-u5888530
720 Sqft,1,1,"This property is a 720 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Bandar Ekar project in Tanjong Keling, Negeri Sembilan and was completed in May 2023. You can rent this penthouse long term for RM400 per month.
Single bedroom also got private bathroom
Serious tenant, please feel free to contact Muhamad at ‪ ‪60-16‑219-8047‬ ‬for more information and viewing arrangement. Many thanks.",2025-12-13T23:50:11.469199+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/Qf-ZjPO5iVG_nvkuRFffutN8tCk/2850x1515/unit/5885172/0bc90ac7-e2d0-4574-9626-777ba18a79ac.jpeg,https://cdn.fazwaz.com/wbr/p4FR2XCYkbqFoL6su6mSLYfnFvM/250x250/unit/5885172/05638cd8-e4e0-44be-8dfe-64ceb183b015.jpeg,https://cdn.fazwaz.com/wbr/OGO0kso9KfRVmMH4g21tz-1ZM1U/250x250/unit/5885172/2ceab3c1-9217-4f4d-be39-e6bd8d03520e.jpeg,https://cdn.fazwaz.com/wbr/pVREa93juEtsNQwsv2j0SfnRr10/250x250/unit/5885172/ac729ded-6cb2-4b1d-9e7d-521e0d844fe0.jpeg,https://cdn.fazwaz.com/wbr/MPhaE8vIDQ4FuAH4Cse5modZDyI/250x250/unit/5885172/ac951bd6-bd26-4d8b-8788-4bd7f8634e92.jpeg",U5885172,"Tanjong Keling, Rembau, Negeri Sembilan",RM400,Penthouse,Private Owner,1 Bedroom Penthouse for rent at Bandar Ekar,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-bandar-ekar-in-tanjong-keling-negeri-sembilan-u5885172
500 Sqft,1,1,"This property is a 500 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Nilai project in Setul, Negeri Sembilan and was completed in Jul 2015. You can rent this penthouse long term for RM600 per month.
A condo common room with a private bathroom for the tenant's
A condo common room with a private bathroom for the tenant's own use.
+60 10-438 1043
Looking for a happy, great tenant to make this cute and place home!
Interested tenants should Message the
landlord on WhatsApp : +60 10-438 1043 peng direct",2025-12-13T23:50:11.469199+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/4t4D2PpR4XlIX7lb0XY3tNi_veY/2850x1515/unit/5887009/img-5864.jpeg,https://cdn.fazwaz.com/wbr/CddhDMU9PqU6X0eNEIJKKiBSelU/250x250/unit/5887009/img-5865.jpeg,https://cdn.fazwaz.com/wbr/ZJ9nPndp_XZCbdU7WEL1IVBE1OM/250x250/unit/5887009/img-5866.jpeg,https://cdn.fazwaz.com/wbr/32YVnGIdHqA4oER8m09lnKjIsNA/250x250/unit/5887009/img-5867.jpeg,https://cdn.fazwaz.com/wbr/wIXVEKdwjhpcIt4QQUanrUSFTtU/250x250/unit/5887009/img-5868.jpeg",U5887009,"Setul, Seremban, Negeri Sembilan",RM600,Penthouse,Private Owner,1 Bedroom Penthouse for rent at Nilai,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-nilai-in-setul-negeri-sembilan-u5887009
980 Sqft,1,0,"This property is a 980 Sqft studio condo with 1 bathroom that is available for rent. It is part of the Dextora project in Bandar Seremban, Negeri Sembilan and was completed in Jun 2023. You can rent this condo long term for RM300 per month.
Studio Bedroom with Private bathroom for rent
(The whole unit for rent) Studio bedroom and private bathroom For rent
Please kindly text Mr Moh on WhatsApp +601127433606 If interested.
➤Studio for single or couple ➤Studio + 1 Car Park
➤ Female Can Rent✅
➤Male Can Rent✅
No sharing with other tenants
Available for both Short term and Long term tenants.
𝐑𝐌 300 per month
Book the unit now
House furnished 🏠 ➤ kitchen cabinets ➤ washing machine ➤ Induction cooker ➤ water purifier ➤ Microwave
If interested, Please kindly text Mr Moh on WhatsApp +601127433606 for more details htts:/wa.me/601127433606",2025-12-13T23:50:11.469199+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/5XXFQtKAvGhN57tIsxiV4ZuKduQ/2850x1515/unit/5860737/img-0936.jpeg,https://cdn.fazwaz.com/wbr/Qi7FLOX7BhzhkytuTqumhBu6ffk/250x250/unit/5860737/img-0937.jpeg,https://cdn.fazwaz.com/wbr/HyfSbsnV6paPG6TvYd1v42OfM7I/250x250/unit/5860737/img-0938.jpeg,https://cdn.fazwaz.com/wbr/cTn9qTWp7aCnppafVG6piz8DuS8/250x250/unit/5860737/img-0939.jpeg,https://cdn.fazwaz.com/wbr/YymvLwhCfdF8VK0ydSowC_f6xGA/250x250/unit/5860737/img-0940.jpeg",U5860737,"Bandar Seremban, Seremban, Negeri Sembilan",RM300,Condo,Private Owner,Studio Condo for rent at Dextora,https://www.fazwaz.my/property-rent/studio-condo-for-rent-at-dextora-in-bandar-seremban-negeri-sembilan-u5860737
N/A,3,4,"This property is a 1,625 Sqft townhouse with 4 bedrooms and 3 bathrooms that is available for rent. It is part of the Nilai project in Setul, Negeri Sembilan and was completed in Jul 2015. You can rent this townhouse long term for RM1,500 per month.",2025-12-13T23:50:11.469199+00:00,N/A,"https://cdn.fazwaz.com/wbr/ji2CkvgsYCG3UAXjOVuUqY81k7A/2850x1515/unit/524434/1-b218e715fd41e0f848b82570b6bc715b.jpg,https://cdn.fazwaz.com/wbr/ObAtQtVDr8MAmLx-XNktSz0Nkvc/250x250/unit/524434/3-b782d5b1ac23d2a95089e61a7d3fef7a.jpg,https://cdn.fazwaz.com/wbr/2IoueOvUVfMt1w-ilqUyeTkkAZA/250x250/unit/524434/4-c444ded69dffef87e167f6ee80a9caa8.jpg,https://cdn.fazwaz.com/wbr/XoUnb1IHj7eYQ7wF3XHH7yuh8w0/250x250/unit/524434/5-33393bd05bb62fc022aef65828d03266.jpg,https://cdn.fazwaz.com/wbr/dpRourYSG1h5iPYwzXHHFrfLzpA/250x250/unit/524434/6-92120e850dc0a334804dcc87cfadb106.jpg",U524434,"Setul, Seremban, Negeri Sembilan","RM1,500",Townhouse,Agent / Partner,4 Bedroom Townhouse for rent at Nilai,https://www.fazwaz.my/property-rent/4-bedroom-townhouse-for-rent-at-nilai-in-setul-negeri-sembilan-u524434
"5,995 Sqft",4,4,"This property is a 2,400 Sqft house with 4 bedrooms and 4 bathrooms that is available for rent. It is part of the Nilai project in Setul, Negeri Sembilan and was completed in Jul 2015. You can rent this house long term for RM2,000 per month.",2025-12-13T23:50:11.469199+00:00,N/A,"https://cdn.fazwaz.com/wbr/rvl8Nz3vY76OXv7mZzVJVcEvM0M/2850x1515/unit/524432/1-5b9d929ff0def03f4e172706644210da.jpg,https://cdn.fazwaz.com/wbr/vBIP9GYV47yPyY5Gj8NVHR8XkT8/250x250/unit/524432/3-6e482338250674e23bf7460947b61bcf.jpg,https://cdn.fazwaz.com/wbr/CfXmkleqQoQB91NMZlLxGDfLDWk/250x250/unit/524432/4-7e8661528d5ac8574d25d4306d4f0e1d.jpg,https://cdn.fazwaz.com/wbr/DQm0QMhASBqBIQhnk98kEloEEiE/250x250/unit/524432/5-7dab5f4fea7e4bb4f3266377e7aca734.jpg,https://cdn.fazwaz.com/wbr/8F5Z2k0RNFDqG10whyjHp3M7Sek/250x250/unit/524432/6-be8b88f91f7942e16494ab770b3a69ae.jpg",U524432,"Setul, Seremban, Negeri Sembilan","RM2,000",House,Agent / Partner,4 Bedroom House for rent at Nilai,https://www.fazwaz.my/property-rent/4-bedroom-house-for-rent-at-nilai-in-setul-negeri-sembilan-u524432
