area,bathrooms,bedrooms,description,fetched_at,furnished,images,listing_id,location,price,property_type,seller_name,title,url
"30,139 Sqft",3,4,"This property is a 19,375 Sqft house with 4 bedrooms and 3 bathrooms that is available for rent. It is located in Labu, Negeri Sembilan. You can rent this house long term for RM2,500 per month.",2025-12-13T23:50:17.519849+00:00,Fully Furnished,"https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC83NmI5MjNlMS02MjNiLTQ0MTAtOGI5Ny0zMTIzNTUxZjdmN2VcLzUwM2U2YTQwLTlhYjQtNDdjZi05MDU0LTgyZWUzMzFiYWU3ZC5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6OTUwLCJoZWlnaHQiOjUwNSwiZml0IjoiY292ZXIifX19,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC83NmI5MjNlMS02MjNiLTQ0MTAtOGI5Ny0zMTIzNTUxZjdmN2VcLzk3OTE2OTIwLWE2YjYtNDhhMS04ODM0LTIwODE0MzM4MjNkZS5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MjUwLCJoZWlnaHQiOjI1MCwiZml0IjoiY292ZXIifX19,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC83NmI5MjNlMS02MjNiLTQ0MTAtOGI5Ny0zMTIzNTUxZjdmN2VcLzk2ZDMxNzNlLTcxNjItNGMxNC1iNWVmLTk4MWZjM2Y0MWZmNS5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MjUwLCJoZWlnaHQiOjI1MCwiZml0IjoiY292ZXIifX19,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC83NmI5MjNlMS02MjNiLTQ0MTAtOGI5Ny0zMTIzNTUxZjdmN2VcLzFmYWIxMjMxLWM5ZmYtNGZiYS1hNzNlLWQzYWE4OTQwZTA4Zi5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MjUwLCJoZWlnaHQiOjI1MCwiZml0IjoiY292ZXIifX19,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC83NmI5MjNlMS02MjNiLTQ0MTAtOGI5Ny0zMTIzNTUxZjdmN2VcL2M2MWM0NjI1LTBlYmUtNDQzNy1iYzBkLTE2NzE5MzgyOTgzYy5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MjUwLCJoZWlnaHQiOjI1MCwiZml0IjoiY292ZXIifX19",U2033381,"Labu, Seremban, Negeri Sembilan","RM2,500",House,Proppit,2 STOREY CORNER LOT LAMAN BAKAWALI KOTA SERIEMAS N9,https://www.fazwaz.my/property-rent/4-bedroom-house-for-rent-in-labu-negeri-sembilan-u2033381
N/A,3,4,"This property is a 2,000 Sqft townhouse with 4 bedrooms and 3 bathrooms that is available for rent. It is located in Labu, Negeri Sembilan. You can rent this townhouse long term for RM1,100 per month.",2025-12-13T23:50:17.519849+00:00,N/A,"https://cdn.fazwaz.com/wbr/fPWNzBdo-Yq9olSql-nP21W0720/2850x1515/unit/483706/1-ec4ada1a154d3fcde56bb1e587292240.jpg,https://cdn.fazwaz.com/wbr/QWPVJ-Xq9owsFx0Y9llGcRVB4gs/250x250/unit/483706/3-2ca6a578fc780d3e39b2ac34822dc6ba.jpg,https://cdn.fazwaz.com/wbr/kLvwI1TSdk39F0mje7E8D5V9Cwo/250x250/unit/483706/4-3ed32d32a7319531c0033e8dc6f80b39.jpg,https://cdn.fazwaz.com/wbr/saIjiwIq7_S4eQ_2NDD02a8mCJI/250x250/unit/483706/5-800fc0ad6e2c63ac1f3b5d6c44a07749.jpg,https://cdn.fazwaz.com/wbr/sa0kABYaoa1IB-gnIrvKNbiVVR0/250x250/unit/483706/6-3d27bc727e541d9d1d31373b6b0fc3db.jpg",U483706,"Labu, Seremban, Negeri Sembilan","RM1,100",Townhouse,Agent / Partner,"Bandar Sri Sendayan, Negeri Sembilan",https://www.fazwaz.my/property-rent/4-bedroom-townhouse-for-rent-in-labu-negeri-sembilan-u483706
N/A,3,4,"This property is a 1,400 Sqft townhouse with 4 bedrooms and 3 bathrooms that is available for rent. It is part of the Nilai project in Setul, Negeri Sembilan and was completed in Jul 2015. You can rent this townhouse long term for RM1,300 per month.",2025-12-13T23:50:17.519849+00:00,N/A,"https://cdn.fazwaz.com/wbr/upNvbNc_5jwAtIkSIqqCK7MxBQg/2850x1515/unit/524430/1-034648151fab5d87ec07364e43c8ab89.jpg,https://cdn.fazwaz.com/wbr/MU6OufbfrukNhXLkbp46t4rMNqQ/250x250/unit/524430/3-3e17b9e74eaf8b8830d4376a30ea26bb.jpg,https://cdn.fazwaz.com/wbr/uTXfkIiTlyDgUWD2iduqndkccak/250x250/unit/524430/4-5f7137ebcb1221320c83f04f113ab64c.jpg,https://cdn.fazwaz.com/wbr/DE2TbtGic-6usN-0s6zzzqtF2r8/250x250/unit/524430/5-40a5a3011f0ea38dce05a3339cdb5e9a.jpg,https://cdn.fazwaz.com/wbr/67G6H7SV0tZStbxxrAqtCUD3hdw/250x250/unit/524430/6-a4c02c79aa72aa3707853cfc41b8cbc8.jpg",U524430,"Setul, Seremban, Negeri Sembilan","RM1,300",Townhouse,Agent / Partner,4 Bedroom Townhouse for rent at Nilai,https://www.fazwaz.my/property-rent/4-bedroom-townhouse-for-rent-at-nilai-in-setul-negeri-sembilan-u524430
"5,995 Sqft",4,4,"This property is a 2,400 Sqft house with 4 bedrooms and 4 bathrooms that is available for rent. It is part of the Nilai project in Setul, Negeri Sembilan and was completed in Jul 2015. You can rent this house long term for RM2,000 per month.",2025-12-13T23:50:17.519849+00:00,N/A,"https://cdn.fazwaz.com/wbr/rvl8Nz3vY76OXv7mZzVJVcEvM0M/2850x1515/unit/524432/1-5b9d929ff0def03f4e172706644210da.jpg,https://cdn.fazwaz.com/wbr/vBIP9GYV47yPyY5Gj8NVHR8XkT8/250x250/unit/524432/3-6e482338250674e23bf7460947b61bcf.jpg,https://cdn.fazwaz.com/wbr/CfXmkleqQoQB91NMZlLxGDfLDWk/250x250/unit/524432/4-7e8661528d5ac8574d25d4306d4f0e1d.jpg,https://cdn.fazwaz.com/wbr/DQm0QMhASBqBIQhnk98kEloEEiE/250x250/unit/524432/5-7dab5f4fea7e4bb4f3266377e7aca734.jpg,https://cdn.fazwaz.com/wbr/8F5Z2k0RNFDqG10whyjHp3M7Sek/250x250/unit/524432/6-be8b88f91f7942e16494ab770b3a69ae.jpg",U524432,"Setul, Seremban, Negeri Sembilan","RM2,000",House,Agent / Partner,4 Bedroom House for rent at Nilai,https://www.fazwaz.my/property-rent/4-bedroom-house-for-rent-at-nilai-in-setul-negeri-sembilan-u524432
N/A,3,4,"This property is a 1,625 Sqft townhouse with 4 bedrooms and 3 bathrooms that is available for rent. It is part of the Nilai project in Setul, Negeri Sembilan and was completed in Jul 2015. You can rent this townhouse long term for RM1,500 per month.",2025-12-13T23:50:17.519849+00:00,N/A,"https://cdn.fazwaz.com/wbr/ji2CkvgsYCG3UAXjOVuUqY81k7A/2850x1515/unit/524434/1-b218e715fd41e0f848b82570b6bc715b.jpg,https://cdn.fazwaz.com/wbr/ObAtQtVDr8MAmLx-XNktSz0Nkvc/250x250/unit/524434/3-b782d5b1ac23d2a95089e61a7d3fef7a.jpg,https://cdn.fazwaz.com/wbr/2IoueOvUVfMt1w-ilqUyeTkkAZA/250x250/unit/524434/4-c444ded69dffef87e167f6ee80a9caa8.jpg,https://cdn.fazwaz.com/wbr/XoUnb1IHj7eYQ7wF3XHH7yuh8w0/250x250/unit/524434/5-33393bd05bb62fc022aef65828d03266.jpg,https://cdn.fazwaz.com/wbr/dpRourYSG1h5iPYwzXHHFrfLzpA/250x250/unit/524434/6-92120e850dc0a334804dcc87cfadb106.jpg",U524434,"Setul, Seremban, Negeri Sembilan","RM1,500",Townhouse,Agent / Partner,4 Bedroom Townhouse for rent at Nilai,https://www.fazwaz.my/property-rent/4-bedroom-townhouse-for-rent-at-nilai-in-setul-negeri-sembilan-u524434
N/A,3,4,"This property is a 2,400 Sqft townhouse with 4 bedrooms and 3 bathrooms that is available for rent. It is part of the Nilai project in Setul, Negeri Sembilan and was completed in Jul 2015. You can rent this townhouse long term for RM1,600 per month.",2025-12-13T23:50:17.519849+00:00,N/A,"https://cdn.fazwaz.com/wbr/WqIFAW5Adeuvn6upTUiOsiDC6wM/2850x1515/unit/524436/1-fcc27d7f4d21988f582a1dae4d1ff646.jpg,https://cdn.fazwaz.com/wbr/Tz3iaFyHUuuTzqaa98laUP1aCwk/250x250/unit/524436/3-63bbcf9536ffcde2402b7e2b73024613.jpg,https://cdn.fazwaz.com/wbr/4WDSvEBYi8VU4eZJqPeRkjjO-Ck/250x250/unit/524436/4-579614d48856d2a4ba4d6067920b88c6.jpg,https://cdn.fazwaz.com/wbr/LYePWriQOSNckT8EjN-MQM-vL1U/250x250/unit/524436/5-47834ad0d919b9b7f72edac5c80f23f6.jpg,https://cdn.fazwaz.com/wbr/DQ7HcJCi9S_r6bw_7J0JxNqQp3g/250x250/unit/524436/6-f671f1bacfc536feabda3e05c9f7916c.jpg",U524436,"Setul, Seremban, Negeri Sembilan","RM1,600",Townhouse,Agent / Partner,4 Bedroom Townhouse for rent at Nilai,https://www.fazwaz.my/property-rent/4-bedroom-townhouse-for-rent-at-nilai-in-setul-negeri-sembilan-u524436
N/A,4,4,"This property is a 2,500 Sqft townhouse with 4 bedrooms and 4 bathrooms that is available for rent. It is located in Labu, Negeri Sembilan. You can rent this townhouse long term for RM1,700 per month.",2025-12-13T23:50:17.519849+00:00,N/A,"https://cdn.fazwaz.com/wbr/xK9rI8ho01JkX9qsuh6mI4u4i3g/2850x1515/unit/525090/1-8761aeccad6396e8402b08e64080e32e.jpg,https://cdn.fazwaz.com/wbr/_vk1nD4Wb6LjYM7x77nDElXHWcQ/250x250/unit/525090/3-b7992a775fdc743e460066fbaf2d82b6.jpg,https://cdn.fazwaz.com/wbr/M0pq5a8j0ZdZCI0MhJ2SyiJbxJs/250x250/unit/525090/4-1e28e6c78d75e6131d719c946f75e984.jpg,https://cdn.fazwaz.com/wbr/elpQMxI7f9bKQwEk1uetDei14Rg/250x250/unit/525090/5-0947d6ad2f4144759629da0e2dea5a50.jpg,https://cdn.fazwaz.com/wbr/Cs53XgNNs-kvMeiWBKt4K4PtnXY/250x250/unit/525090/6-aeef277d5c0448c4e20b42920b3a8784.jpg",U525090,"Labu, Seremban, Negeri Sembilan","RM1,700",Townhouse,Agent / Partner,"Bandar Sri Sendayan, Negeri Sembilan",https://www.fazwaz.my/property-rent/4-bedroom-townhouse-for-rent-in-labu-negeri-sembilan-u525090
N/A,3,4,"This property is a 2,000 Sqft townhouse with 4 bedrooms and 3 bathrooms that is available for rent. It is located in Labu, Negeri Sembilan. You can rent this townhouse long term for RM1,600 per month.",2025-12-13T23:50:17.519849+00:00,N/A,"https://cdn.fazwaz.com/wbr/Q_JGPHOFbDaDPyLkBXZerDYS11w/2850x1515/unit/525092/1-79af9bcc81967854a4976f7d0730f47c.jpg,https://cdn.fazwaz.com/wbr/9gpDtNupaP9tkdk2KGPfmbILXO0/250x250/unit/525092/3-32dbb8662f212908894455e10cb21f76.jpg,https://cdn.fazwaz.com/wbr/-gEOd3Vo6_cjoa2dSh9U6z1mA28/250x250/unit/525092/4-58b9433ef41f511cb3198c575dc25420.jpg,https://cdn.fazwaz.com/wbr/bbzAJ3QVO7gFglYNjCBEQ89omQA/250x250/unit/525092/5-a896f64d96988a3c4539742f9b43e944.jpg,https://cdn.fazwaz.com/wbr/noGxFsfoCSBIvZctxbWzvuCbpOk/250x250/unit/525092/6-92e18d16e2aa82b73525586c3adf4dd3.jpg",U525092,"Labu, Seremban, Negeri Sembilan","RM1,600",Townhouse,Agent / Partner,"Bandar Enstek, Negeri Sembilan",https://www.fazwaz.my/property-rent/4-bedroom-townhouse-for-rent-in-labu-negeri-sembilan-u525092
N/A,3,4,"This property is a 2,150 Sqft townhouse with 4 bedrooms and 3 bathrooms that is available for rent. It is part of the Nilai project in Setul, Negeri Sembilan and was completed in Jul 2015. You can rent this townhouse long term for RM1,500 per month.",2025-12-13T23:50:17.519849+00:00,N/A,"https://cdn.fazwaz.com/wbr/L-238bPAlPSUAubVKvRaIqZVHj0/2850x1515/unit/525100/1-0a77f3000219700f55c69604efe7fd58.jpg,https://cdn.fazwaz.com/wbr/iUa4JbEUw-kmWyqwkn5HRxfFq-s/250x250/unit/525100/3-5ab9558216aefdb4475c4a77429687ab.jpg,https://cdn.fazwaz.com/wbr/rb7r3as-hxdrMm9NSM6f4Ox6oMo/250x250/unit/525100/4-73cfcbae4585a9c68895941fb90c92fb.jpg,https://cdn.fazwaz.com/wbr/sKAb331qGwfZVyN43QQYAt52GCk/250x250/unit/525100/5-35a57c27f05a2b06856a93ccba63952d.jpg,https://cdn.fazwaz.com/wbr/XvFBqYbIT7zQdcsb3aE607dKczQ/250x250/unit/525100/6-94d56b9bdc789c293a3642b1608e841f.jpg",U525100,"Setul, Seremban, Negeri Sembilan","RM1,500",Townhouse,Agent / Partner,4 Bedroom Townhouse for rent at Nilai,https://www.fazwaz.my/property-rent/4-bedroom-townhouse-for-rent-at-nilai-in-setul-negeri-sembilan-u525100
N/A,3,4,"This property is a 1,800 Sqft townhouse with 4 bedrooms and 3 bathrooms that is available for rent. It is located in Rasah, Negeri Sembilan. You can rent this townhouse long term for RM1,100 per month.",2025-12-13T23:50:17.519849+00:00,N/A,"https://cdn.fazwaz.com/wbr/szHuU4ClBfOsProX1z1I-OG3Tns/2850x1515/unit/527514/1-8bd16cc72176251b591db968d04c6710.jpg,https://cdn.fazwaz.com/wbr/eOBh2lxvAGchon0Ykrm2q6u9-WE/250x250/unit/527514/3-845a4a93f9d2ec2484809dc93c3ae397.jpg,https://cdn.fazwaz.com/wbr/2OTvBsdUafucV8Q_WWY6ck7WWho/250x250/unit/527514/4-b4f56117402df134883a86e23ef7055e.jpg,https://cdn.fazwaz.com/wbr/PnZ2sYh41pJ9sA49BHhsJFQfKBE/250x250/unit/527514/5-c92b13396840950e9a75ddd68499ff0b.jpg,https://cdn.fazwaz.com/wbr/-owtQxMSgXCFcjYGN6PPJVpsa1g/250x250/unit/527514/6-a17d1826b5975de50c63f0e17744dcb2.jpg",U527514,"Rasah, Seremban, Negeri Sembilan","RM1,100",Townhouse,Agent / Partner,"Seremban 2, Negeri Sembilan",https://www.fazwaz.my/property-rent/4-bedroom-townhouse-for-rent-in-rasah-negeri-sembilan-u527514
