area,bathrooms,bedrooms,description,fetched_at,furnished,images,listing_id,location,price,property_type,seller_name,title,url
980 Sqft,1,0,"This property is a 980 Sqft studio condo with 1 bathroom that is available for rent. It is part of the Kuantan project in Kuala Kuantan, Pahang and was completed in Aug 2021. You can rent this condo long term for RM300 per month.
Studio Bedroom With Private Bathroom For Rent
(The whole unit for rent) Studio bedroom and private bathroom For rent
Please kindly text Mr Moh on WhatsApp +601127433606 If interested.
➤Studio for single or couple ➤Studio + 1 Car Park
➤ Female Can Rent✅
➤Male Can Rent✅
No sharing with other tenants
Available for both Short term and Long term tenants.
𝐑𝐌 300 per month
Book the unit now
House furnished 🏠 ➤ kitchen cabinets ➤ washing machine ➤ Induction cooker ➤ water purifier ➤ Microwave
If interested, Please kindly text Mr Moh on WhatsApp +601127433606 for more details htts:/wa.me/601127433606",2025-12-13T23:50:24.338773+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/rWyYVs1CuDSKHxbf7sW6RoWBIS4/2850x1515/unit/5861035/img-1146.jpeg,https://cdn.fazwaz.com/wbr/Dj_BV3nVy1B7qHl8G4LtEU5p-qc/250x250/unit/5861035/img-1147.jpeg,https://cdn.fazwaz.com/wbr/E6HRt4gY5T30BvZaVz7VZ68Fq8Y/250x250/unit/5861035/img-1148.jpeg,https://cdn.fazwaz.com/wbr/35-DKSnY9ULPCjrP9LOi5Em8Lnk/250x250/unit/5861035/img-1149.jpeg,https://cdn.fazwaz.com/wbr/hRu6TE_a3CDMIgDnS8tYHj3019E/250x250/unit/5861035/img-1150.jpeg",U5861035,"Kuala Kuantan, Kuantan, Pahang",RM300,Condo,Private Owner,Studio Condo for rent at Kuantan,https://www.fazwaz.my/property-rent/studio-condo-for-rent-at-kuantan-in-kuala-kuantan-pahang-u5861035
"1,113 Sqft",3,3,"This property is a 1,113 Sqft apartment with 3 bedrooms and 3 bathrooms that is available for rent. It is part of the Genting Highlands project in Bentong, Pahang and was completed in Jul 2022. You can rent this apartment long term for RM3,800 per month.",2025-12-13T23:50:24.338773+00:00,N/A,"https://cdn.fazwaz.com/wbr/XvNfVjpv3PNcgurD3KCOSfGVvFM/2850x1515/unit/527528/1-0eefa7c388831a300a3165c8fddfadf4.jpg,https://cdn.fazwaz.com/wbr/WclxUscOlQpUEW_WYrxpPCQlXt0/250x250/unit/527528/3-7e4f7d7e01d2cd10cb0da2df0b9061d2.jpg,https://cdn.fazwaz.com/wbr/i11OrmCmF3O_Foxw3W1zLrANuAQ/250x250/unit/527528/4-3e2fc065df0f349b248b01ce9a145680.jpg,https://cdn.fazwaz.com/wbr/z4NMbtABBhCTM9DfNscJkzCjs7o/250x250/unit/527528/5-859dc3a0601d7fc764acede838c5e6a3.jpg,https://cdn.fazwaz.com/wbr/rW1_rmpxNoSdm_bCddvQQTV0qqU/250x250/unit/527528/6-003fac12bd34754e8ecd1ae1f8db8fc7.jpg",U527528,"Bentong, Bentong, Pahang","RM3,800",Apartment,Agent / Partner,3 Bedroom Apartment for rent at Genting Highlands,https://www.fazwaz.my/property-rent/3-bedroom-apartment-for-rent-at-genting-highlands-in-bentong-pahang-u527528
844 Sqft,3,3,"This property is a 844 Sqft apartment with 3 bedrooms and 3 bathrooms that is available for rent. It is part of the Genting Highlands project in Bentong, Pahang and was completed in Jul 2022. You can rent this apartment long term for RM3,700 per month.",2025-12-13T23:50:24.338773+00:00,N/A,"https://cdn.fazwaz.com/wbr/ERdtjNKObLRNPWg8AacImjqdaJ8/2850x1515/unit/527522/1-95ac20f4f87c014e5c0f401a206ea856.jpg,https://cdn.fazwaz.com/wbr/lQ7YrE8uix1ID0Yt9b2Vj1WIQG0/250x250/unit/527522/3-f43c77c3b2387c397a0f0d3c84a69912.jpg,https://cdn.fazwaz.com/wbr/XfyPbgkZiQWg5VfArCHp02IUHoA/250x250/unit/527522/4-d8dae4ae905ef4fe14478817c730637a.jpg,https://cdn.fazwaz.com/wbr/_D7lYvw5iVlwXm6XFQ8pSzTCt5w/250x250/unit/527522/5-8cf8264d4a587e4dc5702c19a2b3044b.jpg,https://cdn.fazwaz.com/wbr/dQ11vih7zfMbB4L3PBpGkDqoz04/250x250/unit/527522/6-0cf9bcfe247574df069ea344958c1d92.jpg",U527522,"Bentong, Bentong, Pahang","RM3,700",Apartment,Agent / Partner,3 Bedroom Apartment for rent at Genting Highlands,https://www.fazwaz.my/property-rent/3-bedroom-apartment-for-rent-at-genting-highlands-in-bentong-pahang-u527522
"1,079 Sqft",3,3,"This property is a 1,079 Sqft apartment with 3 bedrooms and 3 bathrooms that is available for rent. It is part of the Genting Highlands project in Bentong, Pahang and was completed in Jul 2022. You can rent this apartment long term for RM3,600 per month.",2025-12-13T23:50:24.338773+00:00,N/A,"https://cdn.fazwaz.com/wbr/p_hCgTlom3mBgIcy1CdQWts37l8/2850x1515/unit/527530/1-9787c71a0b7678c4afeef5ad50005b5d.jpg,https://cdn.fazwaz.com/wbr/gu9Ri-Yo0oo4cbirt0XQIhLPsJ0/250x250/unit/527530/3-25795b149849f72a5156a88f6b2217f2.jpg,https://cdn.fazwaz.com/wbr/cNr3oNdcWluJNCPNzjcGfdkoc58/250x250/unit/527530/4-87a600d0add0808a42932015e712e0da.jpg,https://cdn.fazwaz.com/wbr/vfI1M3FgLDXPxFQ9aMSNajl_0-E/250x250/unit/527530/5-87b7f9227a58def6b2826526a5e72550.jpg,https://cdn.fazwaz.com/wbr/FyRjb_golGNdhVDe4NmPrezXL64/250x250/unit/527530/6-7a80f7f4becad3410342758863d4f97f.jpg",U527530,"Bentong, Bentong, Pahang","RM3,600",Apartment,Agent / Partner,3 Bedroom Apartment for rent at Genting Highlands,https://www.fazwaz.my/property-rent/3-bedroom-apartment-for-rent-at-genting-highlands-in-bentong-pahang-u527530
"1,200 Sqft",3,3,"This property is a 1,200 Sqft apartment with 3 bedrooms and 3 bathrooms that is available for rent. It is part of the Genting Highlands project in Bentong, Pahang and was completed in Jul 2022. You can rent this apartment long term for RM4,200 per month.",2025-12-13T23:50:24.338773+00:00,N/A,"https://cdn.fazwaz.com/wbr/bOtaHWm-yfGbxMUq6FUDnq87GwQ/2850x1515/unit/527524/1-422618c463367f173fedb90de4d23056.jpg,https://cdn.fazwaz.com/wbr/UFqDuvwz_iWad8mBC7ZBQ1SmTj4/250x250/unit/527524/3-ea85c2975c493f82ff5a32a48cc200d7.jpg,https://cdn.fazwaz.com/wbr/DeEE7ATSfYFQcpVJJ6J3L5Jl_oM/250x250/unit/527524/4-35325a3e901da9363ef7d25ac353c0f3.jpg,https://cdn.fazwaz.com/wbr/an6ywKkrM7DushbMT29nLJzoDAk/250x250/unit/527524/5-bc327d63629b3dcffab72d56c1685fb2.jpg,https://cdn.fazwaz.com/wbr/QFzgdkhleBa3cuncTJR7FWFw_Fk/250x250/unit/527524/6-3dd612b8be2951401f835058267253b1.jpg",U527524,"Bentong, Bentong, Pahang","RM4,200",Apartment,Agent / Partner,3 Bedroom Apartment for rent at Genting Highlands,https://www.fazwaz.my/property-rent/3-bedroom-apartment-for-rent-at-genting-highlands-in-bentong-pahang-u527524
844 Sqft,2,2,"This property is a 844 Sqft apartment with 2 bedrooms and 2 bathrooms that is available for rent. It is part of the Genting Highlands project in Bentong, Pahang and was completed in Jul 2022. You can rent this apartment long term for RM3,000 per month.",2025-12-13T23:50:24.338773+00:00,N/A,"https://cdn.fazwaz.com/wbr/XE0JjTglM97aw5UlBiao6O0yd14/2850x1515/unit/527520/1-95803a05d0d994c78b5acd0d4a7b2fc8.jpg,https://cdn.fazwaz.com/wbr/uQBhjuEBANs5sSZnipPG-p-qZ3M/250x250/unit/527520/3-8cf8264d4a587e4dc5702c19a2b3044b.jpg,https://cdn.fazwaz.com/wbr/qVq-pJ9Eu9JWvsvGt2hbbXb9dAI/250x250/unit/527520/4-9b15e0ee72802744a207cd72f7c14080.jpg,https://cdn.fazwaz.com/wbr/lSUivufPxrquNM4HpRuSOjayAHA/250x250/unit/527520/5-d8dae4ae905ef4fe14478817c730637a.jpg,https://cdn.fazwaz.com/wbr/V4CyyFZfUsWYfgyYDZlgHvOanvg/250x250/unit/527520/6-95ac20f4f87c014e5c0f401a206ea856.jpg",U527520,"Bentong, Bentong, Pahang","RM3,000",Apartment,Agent / Partner,2 Bedroom Apartment for rent at Genting Highlands,https://www.fazwaz.my/property-rent/2-bedroom-apartment-for-rent-at-genting-highlands-in-bentong-pahang-u527520
642 Sqft,1,1,"This property is a 642 Sqft apartment with 1 bedroom and 1 bathroom that is available for rent. It is part of the Genting Highlands project in Bentong, Pahang and was completed in Jul 2022. You can rent this apartment long term for RM1,300 per month.",2025-12-13T23:50:24.338773+00:00,N/A,"https://cdn.fazwaz.com/wbr/mYA-6GvFhGWal8LdBNIvL501ze4/2850x1515/unit/527526/1-78bd7896eae639115da7116cb428844a.jpg,https://cdn.fazwaz.com/wbr/73nqb0lclZoUk9Z_nBDLCyEUMUg/250x250/unit/527526/3-0e1243bcc8fb506978d3b150a78ad43e.jpg,https://cdn.fazwaz.com/wbr/44eufOofgpOtQiOvmKrbRwedJ24/250x250/unit/527526/4-7438a906a38fc5d064a2593069038f8f.jpg,https://cdn.fazwaz.com/wbr/zIxSsW0QilU-YYhlK_7f37usQ3U/250x250/unit/527526/5-f99637d68b3a77fa7aad1132864705bd.jpg,https://cdn.fazwaz.com/wbr/_TjaojPNyRalc_O8dTaW-jO8UEw/250x250/unit/527526/6-b31a08353952142efc79818ed0fed04a.jpg",U527526,"Bentong, Bentong, Pahang","RM1,300",Apartment,Agent / Partner,1 Bedroom Apartment for rent at Genting Highlands,https://www.fazwaz.my/property-rent/1-bedroom-apartment-for-rent-at-genting-highlands-in-bentong-pahang-u527526
642 Sqft,1,1,"This property is a 642 Sqft apartment with 1 bedroom and 1 bathroom that is available for rent. It is part of the Genting Highlands project in Bentong, Pahang and was completed in Jul 2022. You can rent this apartment long term for RM1,250 per month.",2025-12-13T23:50:24.338773+00:00,N/A,"https://cdn.fazwaz.com/wbr/2tYJW9v3btRxepCZm-U5DffUxgQ/2850x1515/unit/504286/1-78bd7896eae639115da7116cb428844a.jpg,https://cdn.fazwaz.com/wbr/IFbxtVNgh7L95g-iYg2aqWDCgbY/250x250/unit/504286/3-3363bc1de2092d017fb0682a188ea56f.jpg,https://cdn.fazwaz.com/wbr/yJBmTUS58iApSm9Ir6hXMYc2HaU/250x250/unit/504286/4-4cddd25e51f8e3bbfe87d93c174a36ca.jpg,https://cdn.fazwaz.com/wbr/eDzHuGX9ngA7en86vlbkc2k6l7M/250x250/unit/504286/5-b45a15641732805b1984e4bacdd8203c.jpg,https://cdn.fazwaz.com/wbr/H8i5v2OjUpfjXUN98zQEye-PPvg/250x250/unit/504286/6-6b60fdad153fdef51996f53019d3f09c.jpg",U504286,"Bentong, Bentong, Pahang","RM1,250",Apartment,Agent / Partner,1 Bedroom Apartment for rent at Genting Highlands,https://www.fazwaz.my/property-rent/1-bedroom-apartment-for-rent-at-genting-highlands-in-bentong-pahang-u504286
642 Sqft,1,1,"This property is a 642 Sqft apartment with 1 bedroom and 1 bathroom that is available for rent. It is part of the Genting Highlands project in Bentong, Pahang and was completed in Jul 2022. You can rent this apartment long term for RM1,200 per month.",2025-12-13T23:50:24.338773+00:00,N/A,"https://cdn.fazwaz.com/wbr/jflNjUQCS2wchsSfHlVag3dRCik/2850x1515/unit/527518/1-78bd7896eae639115da7116cb428844a.jpg,https://cdn.fazwaz.com/wbr/NjhUSb909tk8NwTXN6SDBhgUlcw/250x250/unit/527518/3-3363bc1de2092d017fb0682a188ea56f.jpg,https://cdn.fazwaz.com/wbr/D1i2JHhosxvpzsLRVuJ9_VLb-s8/250x250/unit/527518/4-4cddd25e51f8e3bbfe87d93c174a36ca.jpg,https://cdn.fazwaz.com/wbr/Wl8ju2aUN-iG4V12gfCWuWJzDuk/250x250/unit/527518/5-b31a08353952142efc79818ed0fed04a.jpg,https://cdn.fazwaz.com/wbr/3bq4YssyiuKn9BOPPck8p1Y0ul0/250x250/unit/527518/6-3dcda2b725b5adb22342020cc42cff3d.jpg",U527518,"Bentong, Bentong, Pahang","RM1,200",Apartment,Agent / Partner,1 Bedroom Apartment for rent at Genting Highlands,https://www.fazwaz.my/property-rent/1-bedroom-apartment-for-rent-at-genting-highlands-in-bentong-pahang-u527518
"1,000 Sqft",2,3,"This property is a 1,000 Sqft apartment with 3 bedrooms and 2 bathrooms that is available for rent. It is part of the Kuantan project in Kuala Kuantan, Pahang and was completed in Aug 2021. You can rent this apartment long term for RM1,600 per month.",2025-12-13T23:50:24.338773+00:00,N/A,"https://cdn.fazwaz.com/wbr/BgjJX2nn4xv5hOkBwpRqPCSj9sE/2850x1515/unit/509452/1-0e27e6e2626e7f504d5591f21b73b62b.jpg,https://cdn.fazwaz.com/wbr/E31PDsT-xVngIM9EaVPvSl2vjgY/250x250/unit/509452/3-b5cfc0bec316d4304f816d6564016920.jpg,https://cdn.fazwaz.com/wbr/XhPkHGtIAgWwmJPr6WXvC_HvSYE/250x250/unit/509452/4-984c9c1984b603087aab4a5453c0ad65.jpg,https://cdn.fazwaz.com/wbr/yavyI6cpk4Y_LbjWCwqB8sfa-Bk/250x250/unit/509452/5-65c1b73fdeaafb09b21bc8978d64c216.jpg,https://cdn.fazwaz.com/wbr/eyx_1QDhpBuywbEFBJx6zMvja_Y/250x250/unit/509452/6-d3a7e9c3b1c5af1232d6f4422b02fa57.jpg",U509452,"Kuala Kuantan, Kuantan, Pahang","RM1,600",Apartment,Agent / Partner,3 Bedroom Apartment for rent at Kuantan,https://www.fazwaz.my/property-rent/3-bedroom-apartment-for-rent-at-kuantan-in-kuala-kuantan-pahang-u509452
