area,bathrooms,bedrooms,description,fetched_at,furnished,images,listing_id,location,price,property_type,seller_name,title,url
503 Sqft,1,0,"This property is a 503 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Gurney Paragon Residences project in Bandaraya Georgetown, Penang and was completed in Nov 2010. You can rent this penthouse long term for RM600 per month.
FULLY FURNISHED Studio FOR RENT
💥Fully Furnished
✅Free Wifi
✅Washing Machine
✅Water Filter
✅Kettle
✅Kitchen for cook
✅Refrigerator
✅Cleaning service
.
⚡No Agent Fees
⚡FREE utilities (water & electricity)
Studio unit come with air-conditioner, fan, study table, chair & wardrobe
.
Message the owner on Whatsapp For more details 601161903950",2025-12-13T23:43:03.509207+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/s-XXuu4rsihqBpUzlLC0JjZgFSc/2850x1515/unit/5915564/img-0849.jpeg,https://cdn.fazwaz.com/wbr/_2S9O5DgKMxnrC8bZOuhxgE_E4E/250x250/unit/5915564/img-0850.jpeg,https://cdn.fazwaz.com/wbr/7A8cNTAU_tXCEwmTorLA4SNOSsc/250x250/unit/5915564/img-0851.jpeg,https://cdn.fazwaz.com/wbr/FUlx65hk6T2mvoXPyPOXEThk1Xw/250x250/unit/5915564/img-0852.jpeg,https://cdn.fazwaz.com/wbr/jsT6Zqo8T15aNgiCZAdqhU_cVwA/250x250/unit/5915564/img-0853.jpeg",U5915564,"Bandaraya Georgetown, Timur Laut Northeast Penang, Penang",RM600,Penthouse,Private Owner,Studio Penthouse for rent at Gurney Paragon Residences,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-gurney-paragon-residences-in-bandaraya-georgetown-penang-u5915564
550 Sqft,1,1,"This property is a 550 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Bukit Residence @ Taman Bukit, Bm project in Mukim 10, Penang and was completed in Jul 2021. You can rent this penthouse long term for RM550 per month.
Fully Furnished Studio
KitchenCabinet, Mattress, TV, AC, Sofa, Refrigerator, Bed-frame, Water Heater, Dining Table, Hood&Hub, Wardrobe, Curtain,
Microwave, Washing Machine
Facilities, Security24Hr, Swimming, Squashy,Elevator, Mart, Restaurant, Sauna, Playground, Badminton, Gym, Covered Parking lot
Serious renter only kindly text the landlord on WhatsApp ‪at +60143683902 for more information",2025-12-13T23:43:03.509207+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/FW9Y_bWScp9T5FMsiGtZRj8Jqak/2850x1515/unit/5924499/img-7028.jpeg,https://cdn.fazwaz.com/wbr/s1X5mr-mFRemqq2_1IMAEAsO_mg/250x250/unit/5924499/img-7029.jpeg,https://cdn.fazwaz.com/wbr/qPPcEqKiIr0DpFWUkP9ONj5vV-c/250x250/unit/5924499/img-7030.jpeg,https://cdn.fazwaz.com/wbr/UAeNDEtNI0FIebmxxviLoLGgbT0/250x250/unit/5924499/img-7031.jpeg,https://cdn.fazwaz.com/wbr/RLSh_HyWdFmChyr-oM84GW_8Qrc/250x250/unit/5924499/img-7032.jpeg",U5924499,"Mukim 10, Central Seberang Perai, Penang",RM550,Penthouse,Private Owner,"1 Bedroom Penthouse for rent at Bukit Residence @ Taman Bukit, Bm",https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-bukit-residence-at-taman-bukit-bm-in-mukim-10-penang-u5924499
980 Sqft,1,0,"This property is a 980 Sqft studio condo with 1 bathroom that is available for rent. It is part of the Trehaus @ Bukit Jambul Penang project in Paya Terubong, Penang and was completed in Sep 2010. You can rent this condo long term for RM700 per month.
Trehasu Bukit Jambul Penang
Text the landlord on WhatsApp for more information about the house for rent +60 1163623005
My Unit Includes all Utilities Intact such as Refrigerator, Dry, Washing Machine, Electric Stove and gas, Air cond, Sewage, Trash, Tv set, Furnitures and cabinet. Plus Electricity and Water bills are also Included in the Rent with 1 car park and Free wifi",2025-12-13T23:43:03.509207+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/VK3a_gZEosFwHIAm_V4L1r-nrIc/2850x1515/unit/5925211/img-9211.jpeg,https://cdn.fazwaz.com/wbr/t2FhVZSt6Y4g-pCqYLOWLtYl_tw/250x250/unit/5925211/img-9212.jpeg,https://cdn.fazwaz.com/wbr/v6H_CWvFS6CNZzcn6qrHTf3DCfg/250x250/unit/5925211/img-9213.jpeg,https://cdn.fazwaz.com/wbr/8bQL0JDhnGXflyB_fr8JtXpcruQ/250x250/unit/5925211/img-9209.jpeg,https://cdn.fazwaz.com/wbr/dZft0YAOs7NOhGi1l1oUkZ8rkjI/250x250/unit/5925211/img-9211_1.jpeg",U5925211,"Paya Terubong, Timur Laut Northeast Penang, Penang",RM700,Condo,Private Owner,Studio Condo for rent at Trehaus @ Bukit Jambul Penang,https://www.fazwaz.my/property-rent/studio-condo-for-rent-at-trehaus-at-bukit-jambul-penang-in-paya-terubong-penang-u5925211
500 Sqft,1,0,"This property is a 500 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Icon Residence - Penang project in Bandaraya Georgetown, Penang and was completed in Mar 2022. You can rent this penthouse long term for RM300 per month.
Looking for a happy, great tenant to make this cute!
IF YOU ARE INTERESTED IN RENTING THE CONDO/APARTMENT 🏠,KINDLY GET IN TOUCH WITH THE LANDLORD ON WHATSAPP:+60 10-438 1043
Apartment Features:
Modern kitchen equipped with refrigerator, oven, microwave, and complete cookware
Cozy living room with sofa, coffee table, and television
Facilities:
•-hour security
• Fully-equipped gymnasium
• Mini market
• Children’s playground
• Cafeteria
• Swimming pool
• Barbecue area
• Sky lounge
• Function room and more…
WhatsApp : +60 10-438 1043 Yeong",2025-12-13T23:43:03.509207+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/gHoiY8NtOWjpA4z4bDfN-__Ufbw/2850x1515/unit/5891364/img-0890.jpeg,https://cdn.fazwaz.com/wbr/rLdzoAvLievO9PyNxvdYFPa9lco/250x250/unit/5891364/img-0891.jpeg,https://cdn.fazwaz.com/wbr/bXlp97eh4GeVDcJtx3Gfof9_nJs/250x250/unit/5891364/img-0892.jpeg,https://cdn.fazwaz.com/wbr/pC_9k0EJzFq4GjHMHPZscu2Affc/250x250/unit/5891364/img-0893.jpeg,https://cdn.fazwaz.com/wbr/i8XZvfw74F2cnEn74RM09U8aYd0/250x250/unit/5891364/img-0894.jpeg",U5891364,"Bandaraya Georgetown, Timur Laut Northeast Penang, Penang",RM300,Penthouse,Private Owner,Studio Penthouse for rent at Icon Residence - Penang,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-icon-residence-penang-in-bandaraya-georgetown-penang-u5891364
980 Sqft,1,0,"This property is a 980 Sqft studio condo with 1 bathroom that is available for rent. It is part of the Mont Residence @ Penang project in Bandaraya Georgetown, Penang and was completed in Mar 2022. You can rent this condo long term for RM800 per month.
Mont Residence @ Penang - Bandaraya Georgetown, Penang
Text the landlord on WhatsApp for more information about the house for rent 01162619504
My Unit Includes all Utilities Intact such as Refrigerator, Dry, Washing Machine, Electric Stove and gas, Air cond, Sewage, Trash, Tv set, Furnitures and cabinet. Plus Electricity and Water bills are also Included in the Rent with 1 car park and Free wifi",2025-12-13T23:43:03.509207+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/FVYcO4WT6DvQ_AYhxxin382rKFc/2850x1515/unit/5914470/img-2339.jpeg,https://cdn.fazwaz.com/wbr/eCtO6EssZVFFGtIEy5Tpj0l5vpA/250x250/unit/5914470/img-2340.jpeg,https://cdn.fazwaz.com/wbr/UkszfL33ShX1g0Hlb7_PxlNMpeI/250x250/unit/5914470/img-2342.jpeg,https://cdn.fazwaz.com/wbr/logFA3DWLbRDVDBMXYeMGhHc2AQ/250x250/unit/5914470/img-2343.jpeg,https://cdn.fazwaz.com/wbr/4eNTVpLXEcxtkBmE4Yq_yU3fIIo/250x250/unit/5914470/img-2344.jpeg",U5914470,"Bandaraya Georgetown, Timur Laut Northeast Penang, Penang",RM800,Condo,Private Owner,Studio Condo for rent at Mont Residence @ Penang,https://www.fazwaz.my/property-rent/studio-condo-for-rent-at-mont-residence-at-penang-in-bandaraya-georgetown-penang-u5914470
980 Sqft,1,0,"This property is a 980 Sqft studio condo with 1 bathroom that is available for rent. It is part of the Straits Garden Condominium @ Jelutong project in Telok Kumbar, Penang and was completed in Jun 2018. You can rent this condo long term for RM800 per month.
Straits Garden Condominium @ Jelutong - Telok Kumbar, Penang
Text the landlord on WhatsApp for more information about the house for rent +60 1163623005
My Unit Includes all Utilities Intact such as Refrigerator, Dry, Washing Machine, Electric Stove and gas, Air cond, Sewage, Trash, Tv set, Furnitures and cabinet. Plus Electricity and Water bills are also Included in the Rent with 1 car park and Free wifi",2025-12-13T23:43:03.509207+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/sA0ArLjC9pBi_IjRl8P-k_0XNMo/2850x1515/unit/5928516/img-4242.jpeg,https://cdn.fazwaz.com/wbr/UckE7AATY41GXKxOytUIk3z-am8/250x250/unit/5928516/img-4243.jpeg,https://cdn.fazwaz.com/wbr/eqgalcPjIrWq00Ph9ZqpWHeivNY/250x250/unit/5928516/img-4244.jpeg,https://cdn.fazwaz.com/wbr/BSYwonirbvwVuxpuQburVMABtXw/250x250/unit/5928516/img-4245.jpeg,https://cdn.fazwaz.com/wbr/ZB93c4i7J3y5_Xs0ksGbkldki-E/250x250/unit/5928516/img-4246.jpeg",U5928516,"Telok Kumbar, Barat Daya Southwest Penang, Penang",RM800,Condo,Private Owner,Studio Condo for rent at Straits Garden Condominium @ Jelutong,https://www.fazwaz.my/property-rent/studio-condo-for-rent-at-straits-garden-condominium-at-jelutong-in-telok-kumbar-penang-u5928516
640 Sqft,1,0,"This property is a 640 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Middleton project in Bandaraya Georgetown, Penang and was completed in Apr 2022. You can rent this penthouse long term for RM550 per month.
Fully furnished studio
Kitchen Cabinet,Mattress,TV,A/C,Sofa,Refrigerator,Bedframe,Water Heater,Dining Table,Hood & Hub,Wardrobe,Curtain,Microwave,Washing Machine
Facilities
Security 24 Hr,Swimming,Squasy,Elevator,Mart,Restaurant,Sauna,Playground,Badminton,Gym,Covered Parking
Kindly text the owner on WhatsApp on 601162343286 for more details",2025-12-13T23:43:03.509207+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/ugyDlG4tAJW_j0-mFnR3cE5VQMc/2850x1515/unit/5916284/img-0665.jpeg,https://cdn.fazwaz.com/wbr/-pg0jYoyAboasN-wsEved5g_YBg/250x250/unit/5916284/img-0666.jpeg,https://cdn.fazwaz.com/wbr/8laC39coYeyjuIQ8UFgX1EwhMU4/250x250/unit/5916284/img-0667.jpeg,https://cdn.fazwaz.com/wbr/SkuJm41rXix0LSOC25dw0J_D4W0/250x250/unit/5916284/img-0668.jpeg,https://cdn.fazwaz.com/wbr/b1G-nGFT7zYt4aoFf6AFeh_27-Q/250x250/unit/5916284/img-0669.jpeg",U5916284,"Bandaraya Georgetown, Timur Laut Northeast Penang, Penang",RM550,Penthouse,Private Owner,Studio Penthouse for rent at Middleton,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-middleton-in-bandaraya-georgetown-penang-u5916284
875 Sqft,1,0,"This property is a 875 Sqft studio condo with 1 bathroom that is available for rent. It is part of the Setia Sky Vista project in Telok Kumbar, Penang and was completed in Dec 2022. You can rent this condo long term for RM700 per month.
Setia Sky Vista - Telok Kumbar, Penang
Text the landlord on WhatsApp for more information about the house for rent +60 1163623005
My Unit Includes all Utilities Intact such as Refrigerator, Dry, Washing Machine, Electric Stove and gas, Air cond, Sewage, Trash, Tv set, Furnitures and cabinet. Plus Electricity and Water bills are also Included in the Rent with 1 car park and Free wifi",2025-12-13T23:43:03.509207+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/gQYKpJIGvrmhQCdGqHTe_OS824s/2850x1515/unit/5925194/img-2288.jpeg,https://cdn.fazwaz.com/wbr/CJWpzCX656B7LH16TwG2LuyuWi0/250x250/unit/5925194/img-2289.jpeg,https://cdn.fazwaz.com/wbr/YDR2i2cUi7DuQ42qFFmVrP6NiXc/250x250/unit/5925194/img-2290.jpeg,https://cdn.fazwaz.com/wbr/_khOwNZbYFg7zjdtbVqPSgR8AEc/250x250/unit/5925194/img-2291.jpeg,https://cdn.fazwaz.com/wbr/YaH-FiccT_xTi6-wDW-RstgL-nM/250x250/unit/5925194/img-2292.jpeg",U5925194,"Telok Kumbar, Barat Daya Southwest Penang, Penang",RM700,Condo,Private Owner,Studio Condo for rent at Setia Sky Vista,https://www.fazwaz.my/property-rent/studio-condo-for-rent-at-setia-sky-vista-in-telok-kumbar-penang-u5925194
600 Sqft,1,1,"This property is a 600 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Woodsbury Suites project in Mukim 14, Penang and was completed in Apr 2017. You can rent this penthouse long term for RM420 per month.
studio cute room with a private bathroom for the tenant use!
IF YOU ARE INTERESTED IN RENTING THE CONDO/APARTMENT 🏠,KINDLY GET IN TOUCH WITH THE LANDLORD ON WHATSAPP: +60 11-5930 2298
Apartment Features:
Modern kitchen equipped with refrigerator, oven, microwave, and complete cookware
Cozy living room with sofa, coffee table, and television
Facilities:
•-hour security
• Fully-equipped gymnasium
• Mini market
• Children’s playground
• Cafeteria
• Swimming pool
• Barbecue area
• Sky lounge
• Function room and more…
WhatsApp : +60 11-5930 2298",2025-12-13T23:43:03.509207+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/Qu79A_LGVB7agBQh_cukSEpVxKE/2850x1515/unit/5902794/img-0261.jpeg,https://cdn.fazwaz.com/wbr/_huoKKhU7PMfQC9j-VpINRabqag/250x250/unit/5902794/img-0262.jpeg,https://cdn.fazwaz.com/wbr/6RvFhDe0Gq4Sc95Ve6ZvfM8jj0M/250x250/unit/5902794/img-0263.jpeg,https://cdn.fazwaz.com/wbr/9mkdLOo5qCX1a7BbTywZYwdhxrU/250x250/unit/5902794/img-0264.jpeg,https://cdn.fazwaz.com/wbr/6WlG6wjB-OMXcseKlvEU28Tltv4/250x250/unit/5902794/img-0265.jpeg",U5902794,"Mukim 14, North Seberang Perai, Penang",RM420,Penthouse,Private Owner,1 Bedroom Penthouse for rent at Woodsbury Suites,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-woodsbury-suites-in-mukim-14-penang-u5902794
980 Sqft,1,0,"This property is a 980 Sqft studio condo with 1 bathroom that is available for rent. It is part of the Batu Uban project in Paya Terubong, Penang and was completed in May 2023. You can rent this condo long term for RM600 per month.
Studio unit for rent @ E-Park condominium
Furnishing
Kitchen Cabinet,Mattress, TV,Sofa,A/C,Refrigerator,Water Heater, Bedframe,Dining Table, Hood & Hub, Wardrobe,Microwave, Curtain,Washing Machine
Facilities
Security 24Hr, Swimming, Elevator, Sauna, Playground, Gym, Covered Parking
Serious renter only kindly text the landlord on WhatsApp at +60179683017 for more details",2025-12-13T23:43:03.509207+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/4AbmNOnHDvvlBWiJBor0SoO30oQ/2850x1515/unit/5887466/img-5300.jpeg,https://cdn.fazwaz.com/wbr/QPHpWrhwsNgDikzfioggWYD8Asc/250x250/unit/5887466/img-5302.jpeg,https://cdn.fazwaz.com/wbr/WQfmW9DyWoWvTp049Gq5awQznoI/250x250/unit/5887466/img-5304.jpeg,https://cdn.fazwaz.com/wbr/eg3KAMEn791AAxO7rCtl_4PQg64/250x250/unit/5887466/img-5305.jpeg,https://cdn.fazwaz.com/wbr/fvZBnJiic62TPFby1mqvLt2KYJ8/250x250/unit/5887466/img-5306.jpeg",U5887466,"Paya Terubong, Timur Laut Northeast Penang, Penang",RM600,Condo,Private Owner,Studio Condo for rent at Batu Uban,https://www.fazwaz.my/property-rent/studio-condo-for-rent-at-batu-uban-in-paya-terubong-penang-u5887466
