area,bathrooms,bedrooms,description,fetched_at,furnished,images,listing_id,location,price,property_type,seller_name,title,url
503 Sqft,1,0,"This property is a 503 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Gurney Paragon Residences project in Bandaraya Georgetown, Penang and was completed in Nov 2010. You can rent this penthouse long term for RM600 per month.
FULLY FURNISHED Studio FOR RENT
💥Fully Furnished
✅Free Wifi
✅Washing Machine
✅Water Filter
✅Kettle
✅Kitchen for cook
✅Refrigerator
✅Cleaning service
.
⚡No Agent Fees
⚡FREE utilities (water & electricity)
Studio unit come with air-conditioner, fan, study table, chair & wardrobe
.
Message the owner on Whatsapp For more details 601161903950",2025-12-13T23:44:25.905404+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/s-XXuu4rsihqBpUzlLC0JjZgFSc/2850x1515/unit/5915564/img-0849.jpeg,https://cdn.fazwaz.com/wbr/_2S9O5DgKMxnrC8bZOuhxgE_E4E/250x250/unit/5915564/img-0850.jpeg,https://cdn.fazwaz.com/wbr/7A8cNTAU_tXCEwmTorLA4SNOSsc/250x250/unit/5915564/img-0851.jpeg,https://cdn.fazwaz.com/wbr/FUlx65hk6T2mvoXPyPOXEThk1Xw/250x250/unit/5915564/img-0852.jpeg,https://cdn.fazwaz.com/wbr/jsT6Zqo8T15aNgiCZAdqhU_cVwA/250x250/unit/5915564/img-0853.jpeg",U5915564,"Bandaraya Georgetown, Timur Laut Northeast Penang, Penang",RM600,Penthouse,Private Owner,Studio Penthouse for rent at Gurney Paragon Residences,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-gurney-paragon-residences-in-bandaraya-georgetown-penang-u5915564
256 Sqft,1,0,"This property is a 256 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Georgetown project in Bandaraya Georgetown, Penang and was completed in Dec 2022. You can rent this penthouse long term for RM500 per month.
Studio unit for rent in Bandaraya Georgetown, Timur Laut Nor
📍 Address:: ➤𝐒𝐭𝐮𝐝𝐢𝐨 𝐟𝐨𝐫 𝐒𝐢𝐧𝐠𝐥𝐞 𝐨𝐫 𝐂𝐨𝐮𝐩𝐥𝐞 ➤𝐒𝐭𝐮𝐝𝐢𝐨 + 𝟏 𝐂𝐚𝐫 𝐏𝐚𝐫𝐤 That’s the actual picture of the unit Fully Furnished Rm 500 per month 1 month deposit and 1 month deposit advance Booking is available now ✅ Master bedroom with private toilet and aircond ✅ Fully furnished ✅ Bed frame with mattress 🛏️ ✅ WIFI 📡 ✅ Study table and chair 🪑 ✅ Washing Machine ✅ Refrigerator ✅ Sofa and table 🛋️ ✅ Induction Cooker ✅ Autogate ✅ Aircond ✅ Kitchen Hood and Hob, induction stove ✅ Kitchen Cabinet ✅ Water Heaters ✅ Lighting & Fans ✅ Cupboard & Side tables 👮🏻‍♂️24hours Security Interested renter messages the landlord on WhatsApp for more details +60 +60 1161207356",2025-12-13T23:44:25.905404+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/UeWuKttBpk_g0gmZYX2D5sBxEk4/2850x1515/unit/5638846/img-3754.jpeg,https://cdn.fazwaz.com/wbr/dsQ6QllWaf9RGenatdjTD-0uDv8/250x250/unit/5638846/img-3755.jpeg,https://cdn.fazwaz.com/wbr/T-nzjPfBio_c-cNz54Z6ht1I7Kg/250x250/unit/5638846/img-3756.jpeg,https://cdn.fazwaz.com/wbr/6Jr6tzr55kJTZ2cpA0ZXy5qSHFE/250x250/unit/5638846/img-3757.jpeg,https://cdn.fazwaz.com/wbr/QkHucCypnAMLMLz-TULBi91trF0/250x250/unit/5638846/img-3758.jpeg",U5638846,"Bandaraya Georgetown, Timur Laut Northeast Penang, Penang",RM500,Penthouse,Private Owner,Studio Penthouse for rent at Georgetown,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-georgetown-in-bandaraya-georgetown-penang-u5638846
700 Sqft,1,1,"This property is a 700 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Mont Residence @ Penang project in Bandaraya Georgetown, Penang and was completed in Mar 2022. You can rent this penthouse long term for RM400 per month.
Single bedroom also got private bathroom
Serious tenant, please feel free to contact Muhamad at ‪ ‪60-16‑219-8047‬ ‬for more information and viewing arrangement. Many thanks.",2025-12-13T23:44:25.905404+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/bQK7NSeefCodhPPYrP7JRbV6PiM/2850x1515/unit/5883863/103448bb-d5ae-4895-a597-f4728206f7fe.jpeg,https://cdn.fazwaz.com/wbr/2cS0jYjIZH9WBhLjg6alIVqVCZg/250x250/unit/5883863/18c13f95-5a3f-458c-a39b-ac1e09311541.jpeg,https://cdn.fazwaz.com/wbr/_-jv19V6qDl3Ow3sr1VMzQwL3Oc/250x250/unit/5883863/2673b1d2-18c8-42a4-95c2-b09675ecaaac.jpeg,https://cdn.fazwaz.com/wbr/UVBnkB-fpP1PXRRgtwSekaFbGaU/250x250/unit/5883863/91d4769b-9690-4c8b-abf7-30748ab4b314.jpeg,https://cdn.fazwaz.com/wbr/pcMaJNaMw1DPe-2msGf7kNPmP4k/250x250/unit/5883863/c0bd6386-ae80-445d-8ceb-c9c705b9e40d.jpeg",U5883863,"Bandaraya Georgetown, Timur Laut Northeast Penang, Penang",RM400,Penthouse,Private Owner,1 Bedroom Penthouse for rent at Mont Residence @ Penang,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-mont-residence-at-penang-in-bandaraya-georgetown-penang-u5883863
680 Sqft,1,0,"This property is a 680 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Stramax Residences project in Mukim 11, Penang and was completed in Feb 2022. You can rent this penthouse long term for RM550 per month.
Fully furnished studio
Kitchen Cabinet,Mattress,TV,A/C,Sofa,Refrigerator,Bedframe,Water Heater,Dining Table,Hood & Hub,Wardrobe,Curtain,Microwave,Washing Machine
Facilities
Security 24 Hr,Swimming,Squasy,Elevator,Mart,Restaurant,Sauna,Playground,Badminton,Gym,Covered Parking
Kindly text the owner on WhatsApp on 601162343286 for more details",2025-12-13T23:44:25.905404+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/_abZNtWZv9KaVc9LviOaRsGvoRU/2850x1515/unit/5913705/img-2941.jpeg,https://cdn.fazwaz.com/wbr/N71xdR2DpFENJWviJOW3Qz61ArQ/250x250/unit/5913705/img-2942.jpeg,https://cdn.fazwaz.com/wbr/CyBW9VIm4NpILcxjYRGv89mk6-4/250x250/unit/5913705/img-2943.jpeg,https://cdn.fazwaz.com/wbr/4yYVWzACWFJEkwT8u4EmOxNb4ic/250x250/unit/5913705/img-2944.jpeg,https://cdn.fazwaz.com/wbr/m7DsBaG--dM2C7BYBr317kVPgM8/250x250/unit/5913705/img-2945.jpeg",U5913705,"Mukim 11, South Seberang Perai, Penang",RM550,Penthouse,Private Owner,Studio Penthouse for rent at Stramax Residences,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-stramax-residences-in-mukim-11-penang-u5913705
860 Sqft,1,2,"This property is a 860 Sqft penthouse with 2 bedrooms and 1 bathroom that is available for rent. It is part of the Mont Residence @ Penang project in Bandaraya Georgetown, Penang and was completed in Mar 2022. You can rent this penthouse long term for RM700 per month.
Master bedrooms also got private bathroom
Serious tenant, please feel free to contact Muhamad at ‪ ‪60-16‑219-8047‬ ‬for more information and viewing arrangement. Many thanks",2025-12-13T23:44:25.905404+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/t57XqynLUeQgNO_KTlHc-nnKrOw/2850x1515/unit/5888533/img-3242.jpeg,https://cdn.fazwaz.com/wbr/BWqyQkJuzY2MwnxLW0HReRERkNs/250x250/unit/5888533/img-3241.jpeg,https://cdn.fazwaz.com/wbr/65T3UTTOM4uI_U1qPD_ZJkHe3WM/250x250/unit/5888533/img-3243.jpeg,https://cdn.fazwaz.com/wbr/JkeNwqWm4cfmgkkRVcZtPdMDiZ8/250x250/unit/5888533/img-3244.jpeg,https://cdn.fazwaz.com/wbr/uhGo4H5qj3KF7D8DtCxgYXP6D14/250x250/unit/5888533/img-3245.jpeg",U5888533,"Bandaraya Georgetown, Timur Laut Northeast Penang, Penang",RM700,Penthouse,Private Owner,2 Bedroom Penthouse for rent at Mont Residence @ Penang,https://www.fazwaz.my/property-rent/2-bedroom-penthouse-for-rent-at-mont-residence-at-penang-in-bandaraya-georgetown-penang-u5888533
648 Sqft,1,0,"This property is a 648 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Batu Uban project in Paya Terubong, Penang and was completed in May 2023. You can rent this penthouse long term for RM500 per month.
Fully furnished studio
Kitchen Cabinet,Mattress,TV,A/C,Sofa,Refrigerator,Bedframe,Water Heater,Dining Table,Hood & Hub,Wardrobe,Curtain,Microwave,Washing Machine
Facilities
Security 24 Hr,Swimming,Squasy,Elevator,Mart,Restaurant,Sauna,Playground,Badminton,Gym,Covered Parking
Kindly text the owner on WhatsApp on 601162343286 for more details",2025-12-13T23:44:25.905404+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/TPDJ7XH8le8p7mCPrJk1qPBpywo/2850x1515/unit/5913626/img-0176.jpeg,https://cdn.fazwaz.com/wbr/ZoQYYkKsJHRP6VbQjYrrHxaN30E/250x250/unit/5913626/img-0177.jpeg,https://cdn.fazwaz.com/wbr/AyCV3dr2ncaObmr4VRN_LDhWjl4/250x250/unit/5913626/img-0178.jpeg,https://cdn.fazwaz.com/wbr/C59Y84bTVeXuqlzUv03iCeVEaEo/250x250/unit/5913626/img-0179.jpeg,https://cdn.fazwaz.com/wbr/wftZFf47x77Ja-CCD2uvHebnC70/250x250/unit/5913626/img-0181.jpeg",U5913626,"Paya Terubong, Timur Laut Northeast Penang, Penang",RM500,Penthouse,Private Owner,Studio Penthouse for rent at Batu Uban,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-batu-uban-in-paya-terubong-penang-u5913626
80 Sqft,1,0,"This property is a 80 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Summit 191 project in Bandaraya Georgetown, Penang and was completed in Sep 2004. You can rent this penthouse long term for RM450 per month.
Spacious Condo Room Available
IF YOU ARE INTERESTED IN RENTING THE CONDO/APARTMENT 🏠,KINDLY GET IN TOUCH WITH THE LANDLORD ON WHATSAPP:+ +62 895-4287-97770
Apartment Features:
Modern kitchen equipped with refrigerator, oven, microwave, and complete cookware
Cozy living room with sofa, coffee table, and television
Facilities:
•-hour security
• Fully-equipped gymnasium
• Mini market
• Children’s playground
• Cafeteria
• Swimming pool
• Barbecue area
• Sky lounge
• Function room and more…
WhatsApp : +62 895-4287-97770",2025-12-13T23:44:25.905404+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/-iJ4Q8AMYPZwV1lBaihUlz4TY6o/2850x1515/unit/5895138/img-3681.jpeg,https://cdn.fazwaz.com/wbr/mw2Eie4kNbspev2y82N-Sr-6EcA/250x250/unit/5895138/img-3682.jpeg,https://cdn.fazwaz.com/wbr/rYysu3RIFU4QktbpsKESQJT9Pg0/250x250/unit/5895138/img-3683.jpeg,https://cdn.fazwaz.com/wbr/jP9cPxfHXbZtA9HQsTP4UxnBLT8/250x250/unit/5895138/img-3684.jpeg,https://cdn.fazwaz.com/wbr/54ZrViRBYe1pHIKojks3mEZFY7k/250x250/unit/5895138/img-3685.jpeg",U5895138,"Bandaraya Georgetown, Timur Laut Northeast Penang, Penang",RM450,Penthouse,Private Owner,Studio Penthouse for rent at Summit 191,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-summit-191-in-bandaraya-georgetown-penang-u5895138
400 Sqft,1,1,"This property is a 400 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Mont Residence @ Penang project in Bandaraya Georgetown, Penang and was completed in Mar 2022. You can rent this penthouse long term for RM450 per month.
Single bedroom also got private bathroom
The whole Unit For Rent Private Bedroom 🛏 and Toilet 🚽
Serious tenant, please feel free to contact
Muhamad Anuar 011 6825 9632
for more information and viewing arrangement. Many thanks.",2025-12-13T23:44:25.905404+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/HId3RxV4wyGfEicCijuXOniyhm0/2850x1515/unit/5807060/single-bedroom9999.jpg,https://cdn.fazwaz.com/wbr/TF1W0ooyKRIFri2nA9rcgwp_Xds/250x250/unit/5807060/single-bedroom91000.jpg,https://cdn.fazwaz.com/wbr/Vb85TwcNLmcjbSAMSZyLAS8HEKY/250x250/unit/5807060/single-bedroom99909.jpg,https://cdn.fazwaz.com/wbr/pvR7G_gIo5YAJDUhc3l4Hnmv2B4/250x250/unit/5807060/singke-bedoom99887.jpg,https://cdn.fazwaz.com/wbr/Lh-MK6wLVl5f5F7Ur1CQ66BX5ik/250x250/unit/5807060/single-bedroom9077.jpg",U5807060,"Bandaraya Georgetown, Timur Laut Northeast Penang, Penang",RM450,Penthouse,Agent / Partner,1 Bedroom Penthouse for rent at Mont Residence @ Penang,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-mont-residence-at-penang-in-bandaraya-georgetown-penang-u5807060
900 Sqft,1,1,"This property is a 900 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Bm Permai Phase 2 project in Mukim 14, Penang and was completed in Oct 2024. You can rent this penthouse long term for RM600 per month.
Private rooms attached bathroom available Good location
Facilities:
•-hour security
• Fully-equipped gymnasium
• Mini market
• Children’s playground
• Cafeteria
• Swimming pool
• Barbecue area
• Sky lounge
• Function room
WTSPp : +60 10-438 1043 Peng",2025-12-13T23:44:25.905404+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/3qTEoO0lw42CNLcXhBONVWQBBSA/2850x1515/unit/5881544/img-5843.jpeg,https://cdn.fazwaz.com/wbr/4sLkoJRqlJ35EZYJPBzwAGZFUR8/250x250/unit/5881544/img-5844.jpeg,https://cdn.fazwaz.com/wbr/1ewr2qrnQSHwRpE8C-ytD8KDxyA/250x250/unit/5881544/img-5845.jpeg,https://cdn.fazwaz.com/wbr/HZmP-tm8_pfK4k0XaFhe7ua5HIU/250x250/unit/5881544/img-5846.jpeg,https://cdn.fazwaz.com/wbr/Q1oUul8PB6QhqW5Cswka3SI2Qc8/250x250/unit/5881544/img-5848.jpeg",U5881544,"Mukim 14, Central Seberang Perai, Penang",RM600,Penthouse,Private Owner,1 Bedroom Penthouse for rent at Bm Permai Phase 2,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-bm-permai-phase-2-in-mukim-14-penang-u5881544
500 Sqft,1,1,"This property is a 500 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Summerton Bayan Indah project in Bayan Lepas, Penang and was completed in Jan 2017. You can rent this penthouse long term for RM600 per month.
Stunning Bedroom Home A Perfect Blend of Comfort and Style
WhatsApp : +60 10-438 1043 Yeong
Conveniently located near top-rated schools, parks, shopping, and dining, this home combines modern living with a prime location. Don’t miss the opportunity to own this stunning property – schedule your showing today!
IF YOU ARE INTERESTED IN RENTING THE CONDO/APARTMENT 🏠,KINDLY GET IN TOUCH WITH THE LANDLORD ON ..…WHATSAPP:+60 10-438 1043",2025-12-13T23:44:25.905404+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/vzFAg0xu6XZxTZE8IqPgEEiP31w/2850x1515/unit/5731344/img-0954.jpeg,https://cdn.fazwaz.com/wbr/bu9NP1eHwkuvh5zKNPViRNX0U7Q/250x250/unit/5731344/img-0955.jpeg,https://cdn.fazwaz.com/wbr/keKXQowLelSvQix5PLZlGx-AiN0/250x250/unit/5731344/img-0956.jpeg,https://cdn.fazwaz.com/wbr/ADmp7NhxMMAa2UBFKjf3x5qBauI/250x250/unit/5731344/img-0957.jpeg,https://cdn.fazwaz.com/wbr/ETdoVj9mQ4KELlIsrewFI5MsLm8/250x250/unit/5731344/img-0958.jpeg",U5731344,"Bayan Lepas, Barat Daya Southwest Penang, Penang",RM600,Penthouse,Developer,1 Bedroom Penthouse for rent at Summerton Bayan Indah,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-summerton-bayan-indah-in-bayan-lepas-penang-u5731344
