area,bathrooms,bedrooms,description,fetched_at,furnished,images,listing_id,location,price,property_type,seller_name,title,url
664 Sqft,1,0,"This property is a 664 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Bernam Perdana project in Ulu Bernam Timor dan Barat, Perak and was completed in Jun 2021. You can rent this penthouse long term for RM600 per month.
Fully furnished studio
Kitchen Cabinet,Mattress,TV,A/C,Sofa,Refrigerator,Bedframe,Water Heater,Dining Table,Hood & Hub,Wardrobe,Curtain,Microwave,Washing Machine
Facilities
Security 24 Hr,Swimming,Squasy,Elevator,Mart,Restaurant,Sauna,Playground,Badminton,Gym,Covered Parking
Kindly text the owner on WhatsApp on 601162343286 for more details",2025-12-13T23:51:14.320209+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/XJfNFxqPOJe4mudjTUaNnEvmeME/2850x1515/unit/5924656/img-0982.jpeg,https://cdn.fazwaz.com/wbr/AqlnRkYydJ3FS3JAReb23Hw1nO8/250x250/unit/5924656/img-0983.jpeg,https://cdn.fazwaz.com/wbr/kXCaSagF34lH1Vblq2l0Mv_pCpU/250x250/unit/5924656/img-0984.jpeg,https://cdn.fazwaz.com/wbr/v-lUPwiXBjqccPbt9NKCtCo-S2I/250x250/unit/5924656/img-0985.jpeg,https://cdn.fazwaz.com/wbr/gVh9FELLCTJnYePqEvjWSI7RxdY/250x250/unit/5924656/img-0986.jpeg",U5924656,"Ulu Bernam Timor dan Barat, Muallim, Perak",RM600,Penthouse,Private Owner,Studio Penthouse for rent at Bernam Perdana,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-bernam-perdana-in-ulu-bernam-timor-dan-barat-perak-u5924656
709 Sqft,1,0,"This property is a 709 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Bernam Perdana project in Ulu Bernam Timor dan Barat, Perak and was completed in Jun 2021. You can rent this penthouse long term for RM700 per month.
Private rooms attached bathroom available Good location
Private rooms attached bathroom available Good location
A condo common room with a private bathroom for the tenant's own use.
+60 11 1032 9710
Looking for a happy, great tenant to make this cute and place home!
Interested tenants should Message the
landlord on WhatsApp +60 11 1032 9710 direct owner",2025-12-13T23:51:14.320209+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/TRmUC3N30yUPRbZfnbVRAaqZrz0/2850x1515/unit/5632163/img-0587.jpeg,https://cdn.fazwaz.com/wbr/E7xVkmfa1O1rSU9qutmxcOVxSQg/250x250/unit/5632163/img-0588.jpeg,https://cdn.fazwaz.com/wbr/wBx8WVEK0lGwNLEsssB6uqYmq88/250x250/unit/5632163/img-0589.jpeg,https://cdn.fazwaz.com/wbr/bWgzL9xpWwoWqZs4wt4V6K7j5MM/250x250/unit/5632163/img-0590.jpeg,https://cdn.fazwaz.com/wbr/u0RnXm5JgjJggExN3ys-2qsRy58/250x250/unit/5632163/img-0591.jpeg",U5632163,"Ulu Bernam Timor dan Barat, Muallim, Perak",RM700,Penthouse,Private Owner,Studio Penthouse for rent at Bernam Perdana,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-bernam-perdana-in-ulu-bernam-timor-dan-barat-perak-u5632163
699 Sqft,1,0,"This property is a 699 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Meru Mutiara project in Ulu Kinta, Perak and was completed in Aug 2022. You can rent this penthouse long term for RM680 per month.
Meru Mutiara - Ulu Kinta, Perak
Kindly Follow the instructions of the Unit Here🔥🔥 BY 🏡,
Serious tenant, please feel free contact
Via(WhatsApp)
Fully furnished non sharing Available to move in ASAP.
Got Car 🚗 park included.
Notes:You can send a message via WhatsApp for fast response.
0143988048",2025-12-13T23:51:14.320209+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/T4V8k-_sba0XcGomSeun_N7PJiU/2850x1515/unit/5705827/ee3.jpg,https://cdn.fazwaz.com/wbr/AFsfcnsGLTtijxsouX1vsCnJjC8/250x250/unit/5705827/ee4.jpg,https://cdn.fazwaz.com/wbr/qxoFblok8g8uUhxJGZhu9CNqKl0/250x250/unit/5705827/ee5.jpg,https://cdn.fazwaz.com/wbr/G_KdnwmE2-vJ9nU0y2fSz8_XwGo/250x250/unit/5705827/ee6.jpg,https://cdn.fazwaz.com/wbr/puW8lyqNlPVE-5ou7uq0JBFdK9w/250x250/unit/5705827/ee7.jpg",U5705827,"Ulu Kinta, Kinta, Perak",RM680,Penthouse,Private Owner,Studio Penthouse for rent at Meru Mutiara,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-meru-mutiara-in-ulu-kinta-perak-u5705827
540 Sqft,1,2,"This property is a 540 Sqft penthouse with 2 bedrooms and 1 bathroom that is available for rent. It is part of the Ipoh South Precinct Residences project in Ulu Kinta, Perak and was completed in Nov 2023. You can rent this penthouse long term for RM650 per month.
Master bedrooms also got private bathroom
The whole Unit For Rent Private Bedroom 🛏 and Toilet 🚽 Serious tenant, please feel free to contact Muhamad at ‪ ‪60-16‑219-8047‬ ‬for more information and viewing arrangement. Many thanks.",2025-12-13T23:51:14.320209+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/D0czYZbaqVkN-JzR1rdnb1mOE6w/2850x1515/unit/5679751/img-0951.jpeg,https://cdn.fazwaz.com/wbr/Qxleu5Yb7cRxRgQ-dvMVnZXopLM/250x250/unit/5679751/img-0947.jpeg,https://cdn.fazwaz.com/wbr/HoONA1Y62MOXpCMPw-r_EyRbpF0/250x250/unit/5679751/img-0949.jpeg,https://cdn.fazwaz.com/wbr/7AspgibKeCwV1p8Eqi8YGI7WsNA/250x250/unit/5679751/img-0950.jpeg,https://cdn.fazwaz.com/wbr/G2p3dTYPGmuf8QMVtYGZTKDgLyM/250x250/unit/5679751/img-0952.jpeg",U5679751,"Ulu Kinta, Kinta, Perak",RM650,Penthouse,Private Owner,2 Bedroom Penthouse for rent at Ipoh South Precinct Residences,https://www.fazwaz.my/property-rent/2-bedroom-penthouse-for-rent-at-ipoh-south-precinct-residences-in-ulu-kinta-perak-u5679751
609 Sqft,1,0,"This property is a 609 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Uplands Ii project in Ulu Kinta, Perak and was completed in Nov 2013. You can rent this penthouse long term for RM500 per month.
1bedroom unit for rent at Ulu Kinta, Kinta, Perak
Facilities Provided tor you:
High-Speed Wifi
Washing Machine
Dryer
Water Heater
Water dispenser
Hotel Lock
Benefits of Renting with us.
Cleaning Service
High-Speed WIFI
Maintenance Service
Careline Customer Serviceplease feel free to contact the landlord via WhatsApp ‎‪601161903950",2025-12-13T23:51:14.320209+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/svj6LUmxIErQQ8Rm9_YEQw4z0f4/2850x1515/unit/5635382/516508730-1152252366663410-3191038683749323952-n.jpg,https://cdn.fazwaz.com/wbr/Rl33J02kmi0FOnIHR8_Gl_Fi3vo/250x250/unit/5635382/516609589-1152252406663406-8418851783883298500-n.jpg,https://cdn.fazwaz.com/wbr/7Ge4HNJyUEwLLWZ_8gH6LYAeJxY/250x250/unit/5635382/516642830-1152252386663408-3832475797586614819-n.jpg,https://cdn.fazwaz.com/wbr/_Iaq1WrA89AzwktSJYp9SvX6yf4/250x250/unit/5635382/516696839-1152252359996744-2449286250246058742-n.jpg,https://cdn.fazwaz.com/wbr/o_7TKJr0uvylHQiUiLxTd8g05jY/250x250/unit/5635382/studio-selangor.jpg",U5635382,"Ulu Kinta, Kinta, Perak",RM500,Penthouse,Private Owner,Studio Penthouse for rent at Uplands Ii,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-uplands-ii-in-ulu-kinta-perak-u5635382
700 Sqft,1,2,"This property is a 700 Sqft penthouse with 2 bedrooms and 1 bathroom that is available for rent. It is part of the Ipoh South Precinct Residences project in Ulu Kinta, Perak and was completed in Nov 2023. You can rent this penthouse long term for RM700 per month.
Master bedrooms also got private bathroom
The whole Unit For Rent Private Bedroom 🛏 and Toilet 🚽 Serious tenant, please feel free to contact Muhamad at ‪ ‪60-16‑219-8047‬ ‬for more information and viewing arrangement. Many thanks.",2025-12-13T23:51:14.320209+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/MQdY1gkt25oU9u6nPs6y6UwDYBU/2850x1515/unit/5677370/img-4362.jpeg,https://cdn.fazwaz.com/wbr/HSx9uMnO4gkBE6AS5Tx8mZKgIZ4/250x250/unit/5677370/img-4363.jpeg,https://cdn.fazwaz.com/wbr/7rBxIieaeOYMbSHrd0bYrvKlMfk/250x250/unit/5677370/img-4364.jpeg,https://cdn.fazwaz.com/wbr/7fM9x1p6uUgWo3YTsnh08Od83vM/250x250/unit/5677370/img-4365.jpeg,https://cdn.fazwaz.com/wbr/RuyZecT3Izww-JeyoyfvFUSPK_Q/250x250/unit/5677370/img-4366.jpeg",U5677370,"Ulu Kinta, Kinta, Perak",RM700,Penthouse,Private Owner,2 Bedroom Penthouse for rent at Ipoh South Precinct Residences,https://www.fazwaz.my/property-rent/2-bedroom-penthouse-for-rent-at-ipoh-south-precinct-residences-in-ulu-kinta-perak-u5677370
760 Sqft,1,2,"This property is a 760 Sqft penthouse with 2 bedrooms and 1 bathroom that is available for rent. It is part of the Maple project in Ulu Kinta, Perak and was completed in Apr 2020. You can rent this penthouse long term for RM700 per month.
2 bedroom 1 bathroom
The whole Unit For Rent Private Bedroom 🛏 and Toilet 🚽
Serious tenant, please feel free to contact
Mr bin Muhamad 011 6578 2103
for more information and viewing arrangement. Many thanks.",2025-12-13T23:51:14.320209+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/RA6jAXm2pKXvD9NmGPdtrvUlBzw/2850x1515/unit/5630923/22bedroomh.jpg,https://cdn.fazwaz.com/wbr/F4K0UGHe23FrHOj3X3lHpx210W0/250x250/unit/5630923/2bedr44444.jpg,https://cdn.fazwaz.com/wbr/pi7MOaa8JKOyDVbvdl7whVrjXGA/250x250/unit/5630923/2bedrr44.jpg,https://cdn.fazwaz.com/wbr/w-oBWIVP7OK9c7jspfE-7rDx0XU/250x250/unit/5630923/2bedrr444.jpg,https://cdn.fazwaz.com/wbr/o5smcotqbrEnVzwuQDYXY9XoZSs/250x250/unit/5630923/2bedrrd.jpg",U5630923,"Ulu Kinta, Kinta, Perak",RM700,Penthouse,Private Owner,2 Bedroom Penthouse for rent at Maple,https://www.fazwaz.my/property-rent/2-bedroom-penthouse-for-rent-at-maple-in-ulu-kinta-perak-u5630923
760 Sqft,1,0,"This property is a 760 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Maple project in Ulu Kinta, Perak and was completed in Apr 2020. You can rent this penthouse long term for RM700 per month.
Studio room with private bathroom
The whole Unit For Rent Private Bedroom 🛏 and Toilet 🚽
Serious tenant, please feel free to contact
Mr bin Muhamad 011 6578 2103
for more information and viewing arrangement. Many thanks.",2025-12-13T23:51:14.320209+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/N8T7HbbqzDujtxX-cPrlo2m3yz0/2850x1515/unit/5630917/studio009.jpg,https://cdn.fazwaz.com/wbr/CBrQWRxGmJJMJmM_I5hF1pZTSsg/250x250/unit/5630917/studio211.jpg,https://cdn.fazwaz.com/wbr/TIvDDPZdCAf3oMPOp-KLEa5mXX0/250x250/unit/5630917/studio221.jpg,https://cdn.fazwaz.com/wbr/pHCLltVhW52hmXfPO3Xb4dDQh8o/250x250/unit/5630917/studio44.jpg,https://cdn.fazwaz.com/wbr/s9qZmaeYugA8dOrw76tWV5T5O-c/250x250/unit/5630917/studio4433.jpg",U5630917,"Ulu Kinta, Kinta, Perak",RM700,Penthouse,Private Owner,Studio Penthouse for rent at Maple,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-maple-in-ulu-kinta-perak-u5630917
500 Sqft,1,1,"This property is a 500 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Maple project in Ulu Kinta, Perak and was completed in Apr 2020. You can rent this penthouse long term for RM500 per month.
Single bedroom also got private bathroom
Kindly Follow the instructions of the Unit Here🔥🔥 BY 🏡,Sending A message Via(WhatsApp)
Fully furnished non sharing Available to move in ASAP.
Got Car 🚗 park included.
Notes:You can send a message via WhatsApp for fast response.
014 284 6576",2025-12-13T23:51:14.320209+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/Z3E0_Tt0WvcTBzvxdGcgbzRQ3TA/2850x1515/unit/5664576/single-bedroom33.jpg,https://cdn.fazwaz.com/wbr/scDjcsmG4lvW2PbFnafO0ySL200/250x250/unit/5664576/single-bedroom44.jpg,https://cdn.fazwaz.com/wbr/nPIA9o1eIhe4ChRvYo_bNc_FN5U/250x250/unit/5664576/single-bedroom44-copy.jpg,https://cdn.fazwaz.com/wbr/9TWoAUzppY5hjtdlmE3ea3gpToI/250x250/unit/5664576/single-bedroom866.jpg,https://cdn.fazwaz.com/wbr/eaur6twSVL9oRcJv3JXD3Y7nKvk/250x250/unit/5664576/single-bedroom99-copy.jpg",U5664576,"Ulu Kinta, Kinta, Perak",RM500,Penthouse,Private Owner,1 Bedroom Penthouse for rent at Maple,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-maple-in-ulu-kinta-perak-u5664576
450 Sqft,1,0,"This property is a 450 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Meru Mutiara project in Ulu Kinta, Perak and was completed in Aug 2022. You can rent this penthouse long term for RM600 per month.
Stylish Move-In Ready Condo with Great Amenities
IF YOU ARE INTERESTED IN RENTING THE CONDO/APARTMENT 🏠,KINDLY GET IN TOUCH WITH THE LANDLORD ON WHATSAPP:+60 11‑6150 2564‬
From the moment you step inside, you’ll be captivated by its spacious and inviting open floor plan, designed with both elegance and practicality in mind. The living room is bathed in natural light, creating a warm and welcoming space perfect for relaxing or entertaining guests.",2025-12-13T23:51:14.320209+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/o6BIRyMpkz9TOAjMJ0Fft928_OY/2850x1515/unit/5891152/img-7099.jpeg,https://cdn.fazwaz.com/wbr/ma7-UahKeIqk6pKG3JE93fwEkes/250x250/unit/5891152/img-7102.jpeg,https://cdn.fazwaz.com/wbr/zgG2v2Nv1j3UiCxNCq_5atoedmw/250x250/unit/5891152/img-7101.jpeg,https://cdn.fazwaz.com/wbr/DDzdhVEsPuVWxzw9T7j07WEfkdo/250x250/unit/5891152/img-7103.jpeg,https://cdn.fazwaz.com/wbr/KUCcDHL3YyrTPE9g7I-sE72sOsU/250x250/unit/5891152/img-7104.jpeg",U5891152,"Ulu Kinta, Kinta, Perak",RM600,Penthouse,Agent / Partner,Studio Penthouse for rent at Meru Mutiara,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-meru-mutiara-in-ulu-kinta-perak-u5891152
