area,bathrooms,bedrooms,description,fetched_at,furnished,images,listing_id,location,price,property_type,seller_name,title,url
601 Sqft,1,1,"This property is a 601 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Delta-Lcda Phase 2 project in Sibu, Sarawak and was completed in Jun 2025. You can rent this penthouse long term for RM500 per month.
1 Bedroom Penthouse for rent at Icon Residence - Penang
This property is a 601 Sqft penthouse with 1 bedrooms and 1 bathroom that is available for rent. It is part of the Icon Residence - Penang project in Bandaraya Georgetown, Penang and was completed in Mar 2022. You can rent this penthouse long term for RM500 per month.➤𝐒𝐭𝐮𝐝𝐢𝐨 𝐟𝐨𝐫 𝐒𝐢𝐧𝐠𝐥𝐞 𝐨𝐫 𝐂𝐨𝐮𝐩𝐥𝐞➤𝐒𝐭𝐮𝐝𝐢𝐨 + 𝟏 𝐂𝐚𝐫 𝐏𝐚𝐫𝐤That’s the actual picture of the unit Fully FurnishedRm 500 per month1 month deposit and 1 month deposit advance✅ Master bedroom with private toilet and aircond✅ Fully furnished✅ Bed frame with mattress 🛏️✅ WIFI 📡✅ Study table and chair 🪑✅ Washing Machine✅ Refrigerator✅ Sofa and table 🛋️✅ Induction Cooker✅ Autogate✅ Aircond✅ Kitchen Hood and Hob, induction stove✅ Kitchen Cabinet✅ Water Heaters✅ Lighting & Fans✅ Cupboard & Side tables👮🏻‍♂️24hours SecurityInterested Renter WhatsApp the landlord for more details + 60 1135204485",2025-12-13T23:51:53.258793+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/UCyW_f3FvtVRTGOybvzs_ejs684/2850x1515/unit/5926814/1000046883.jpg,https://cdn.fazwaz.com/wbr/WYMV6wCUhwpR6Isf1wSn-ZAVNdQ/250x250/unit/5926814/1000046885.jpg,https://cdn.fazwaz.com/wbr/mpoLUG5hRMmKAjkkNMLmYt7rjig/250x250/unit/5926814/1000046887.jpg,https://cdn.fazwaz.com/wbr/qH6T7O_TrGaiKvRamEVRVn5lGP0/250x250/unit/5926814/1000046889.jpg,https://cdn.fazwaz.com/wbr/VmCUFjGvRBjylLLFxMsPuQHqfM8/250x250/unit/5926814/1000046891.jpg",U5926814,"Sibu, Sibu, Sarawak",RM500,Penthouse,Private Owner,1 Bedroom Penthouse for rent at Delta-Lcda Phase 2,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-delta-lcda-phase-2-in-sibu-sarawak-u5926814
264 Sqft,1,1,"This property is a 264 Sqft condo with 1 bedroom and 1 bathroom that is available for rent. It is located in Kuching, Sarawak. You can rent this condo for RM3,810 per month and it is also available for sale for RM559,000.",2025-12-13T23:51:53.258793+00:00,N/A,"https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC9iMjgzYmY4OS1lOTJiLTQ0ZDktYTQ2OS03NzNmZjMxOGY5NWJcLzEyMWZkOTNjLWFmNTAtNDg3MC04Nzk5LWM0OTQ5MTRlMjY0YS5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6OTUwLCJoZWlnaHQiOjUwNSwiZml0IjoiY292ZXIifX19,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC9iMjgzYmY4OS1lOTJiLTQ0ZDktYTQ2OS03NzNmZjMxOGY5NWJcLzc4NjQ0MTkyLTI2ZWUtNDRmYi1iY2JjLTJmMmJjN2QwYjE1NC5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MjUwLCJoZWlnaHQiOjI1MCwiZml0IjoiY292ZXIifX19,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC9iMjgzYmY4OS1lOTJiLTQ0ZDktYTQ2OS03NzNmZjMxOGY5NWJcL2RlNzAxYTRkLTAzNTctNDEzMS1iMzA5LWRlZTZkYWM4MmQ1NS5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MjUwLCJoZWlnaHQiOjI1MCwiZml0IjoiY292ZXIifX19,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC9iMjgzYmY4OS1lOTJiLTQ0ZDktYTQ2OS03NzNmZjMxOGY5NWJcL2QwYTA3YzA4LTc4ODktNDk2OS04MjU5LWI3NThhZmE5ZjVkZi5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MjUwLCJoZWlnaHQiOjI1MCwiZml0IjoiY292ZXIifX19,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC9iMjgzYmY4OS1lOTJiLTQ0ZDktYTQ2OS03NzNmZjMxOGY5NWJcLzc5YjRlZGY1LTRjYTItNDYyMC1iMTEzLTk2ODJiZTAyN2YyZC5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MjUwLCJoZWlnaHQiOjI1MCwiZml0IjoiY292ZXIifX19",U2323683,"Kuching, Kuching, Sarawak","RM3,810",Condo,Proppit,1 BEDROOM CONDO IN MAKATI NEAR LRT AND BGC,https://www.fazwaz.my/property-rent/1-bedroom-condo-for-rent-in-kuching-sarawak-u2323683
405 Sqft,1,0,"This property is a 405 Sqft studio condo with 1 bathroom that is available for rent. It is part of the Ben Law Residence project in Kuching, Sarawak and was completed in Jul 2024. You can rent this condo long term for RM500 per month.
A fully furnished studio room for rent at Ben Law Residence
Facilities Provided for you
* High-Speed Wifi
* Washing Machine
* Dryer
* Water Heater
* Water dispenser
* Hotel Lock
* Allow Cooking
C Benefits you can enjoy ~ Cleaning Service
~ Maintenance Service
~ Utilities Included (Common Area)
~ Friendly Customer Service
Call Now !! Rooms are LIMITED !8
No Hidden Charges and Free of Charges for Viewingplease feel free to contact the landlord via WhatsApp ‎‪601161903950",2025-12-13T23:51:53.258793+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/DXt0hPyXzc4-oFp_Vj78UH7yJ-E/2850x1515/unit/5639938/518881280-1235911001077936-5368110107943721970-n.jpg,https://cdn.fazwaz.com/wbr/tim91mFnayekqTzETPWWuGRsnWE/250x250/unit/5639938/518848557-1245856253997069-3505448513217762519-n.jpg,https://cdn.fazwaz.com/wbr/1XJlqeSW3QHwM8-XCKZ8hzPrXy4/250x250/unit/5639938/520225588-757562876649516-8437408303975254037-n.jpg,https://cdn.fazwaz.com/wbr/684HDiqUMBa1JlOFvuW-5BNFjhs/250x250/unit/5639938/520226151-1079993260251378-8360536825937363816-n.jpg,https://cdn.fazwaz.com/wbr/-0T9gCSohCzDuFt5JQVdvxB8kz8/250x250/unit/5639938/klang-room.jpg",U5639938,"Kuching, Kuching, Sarawak",RM500,Condo,Private Owner,Studio Condo for rent at Ben Law Residence,https://www.fazwaz.my/property-rent/studio-condo-for-rent-at-ben-law-residence-in-kuching-sarawak-u5639938
264 Sqft,1,0,"This property is a 264 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Ben Law Residence project in Kuching, Sarawak and was completed in Jul 2024. You can rent this penthouse long term for RM500 per month.
Studio unit for rent in Ben Law Residence
📍 Address:: ➤𝐒𝐭𝐮𝐝𝐢𝐨 𝐟𝐨𝐫 𝐒𝐢𝐧𝐠𝐥𝐞 𝐨𝐫 𝐂𝐨𝐮𝐩𝐥𝐞 ➤𝐒𝐭𝐮𝐝𝐢𝐨 + 𝟏 𝐂𝐚𝐫 𝐏𝐚𝐫𝐤 That’s the actual picture of the unit Fully Furnished Rm 500 per month 1 month deposit and 1 month deposit advance Booking is available now ✅ Master bedroom with private toilet and aircond ✅ Fully furnished ✅ Bed frame with mattress 🛏️ ✅ WIFI 📡 ✅ Study table and chair 🪑 ✅ Washing Machine ✅ Refrigerator ✅ Sofa and table 🛋️ ✅ Induction Cooker ✅ Autogate ✅ Aircond ✅ Kitchen Hood and Hob, induction stove ✅ Kitchen Cabinet ✅ Water Heaters ✅ Lighting & Fans ✅ Cupboard & Side tables 👮🏻‍♂️24hours Security Interested renter messages the landlord on WhatsApp for more details +60 1169483138",2025-12-13T23:51:53.258793+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/n53ksPAsTrcgXHfwymJvBJyE7yc/2850x1515/unit/5639942/img-3770.jpeg,https://cdn.fazwaz.com/wbr/X4KIwbl9AVAvYg3hJNgr4gpkbbU/250x250/unit/5639942/img-3771.jpeg,https://cdn.fazwaz.com/wbr/-1Ep-3RMRb1UFIONxWKynZsf-rI/250x250/unit/5639942/img-3772.jpeg,https://cdn.fazwaz.com/wbr/BA4XEb7atBO1fk9FVTw6zpTtpgw/250x250/unit/5639942/img-3773.jpeg,https://cdn.fazwaz.com/wbr/B2XOj9RrosGJKotyWNVVmk9qsvw/250x250/unit/5639942/img-3775.jpeg",U5639942,"Kuching, Kuching, Sarawak",RM500,Penthouse,Private Owner,Studio Penthouse for rent at Ben Law Residence,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-ben-law-residence-in-kuching-sarawak-u5639942
253 Sqft,1,0,"This property is a 253 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Khoon House project in Kuching, Sarawak and was completed in Jun 2023. You can rent this penthouse long term for RM500 per month.
Studio unit for rent in Kuching, Kuching,Sarawak
📍 Address:: ➤𝐒𝐭𝐮𝐝𝐢𝐨 𝐟𝐨𝐫 𝐒𝐢𝐧𝐠𝐥𝐞 𝐨𝐫 𝐂𝐨𝐮𝐩𝐥𝐞 ➤𝐒𝐭𝐮𝐝𝐢𝐨 + 𝟏 𝐂𝐚𝐫 𝐏𝐚𝐫𝐤 That’s the actual picture of the unit Fully Furnished Rm 500 per month 1 month deposit and 1 month deposit advance Booking is available now ✅ Master bedroom with private toilet and aircond ✅ Fully furnished ✅ Bed frame with mattress 🛏️ ✅ WIFI 📡 ✅ Study table and chair 🪑 ✅ Washing Machine ✅ Refrigerator ✅ Sofa and table 🛋️ ✅ Induction Cooker ✅ Autogate ✅ Aircond ✅ Kitchen Hood and Hob, induction stove ✅ Kitchen Cabinet ✅ Water Heaters ✅ Lighting & Fans ✅ Cupboard & Side tables 👮🏻‍♂️24hours Security Interested renter messages the landlord on WhatsApp for more details +60 1169483138",2025-12-13T23:51:53.258793+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/hyZnvy0rSNDIW1q0HczLIDoqWrc/2850x1515/unit/5639955/img-3760.jpeg,https://cdn.fazwaz.com/wbr/WZrjaQYwcjKYcyA5qbesfLqGQMk/250x250/unit/5639955/img-3761.jpeg,https://cdn.fazwaz.com/wbr/NyzzqmI4WF4xbmcoPdLMbPx4d5M/250x250/unit/5639955/img-3762.jpeg,https://cdn.fazwaz.com/wbr/1KdspWac78tNxq76jo7s0edPwBQ/250x250/unit/5639955/img-3763.jpeg,https://cdn.fazwaz.com/wbr/7AzMakOqPILxMY_y9sWi7cY4bNI/250x250/unit/5639955/img-3764.jpeg",U5639955,"Kuching, Kuching, Sarawak",RM500,Penthouse,Private Owner,Studio Penthouse for rent at Khoon House,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-khoon-house-in-kuching-sarawak-u5639955
650 Sqft,1,1,"This property is a 650 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Sun House project in Kuching, Sarawak and was completed in May 2022. You can rent this penthouse long term for RM450 per month.
Single bedroom also got private bathroom
Kindly Follow the instructions of the Unit Here🔥🔥 BY 🏡,Sending A message Via(WhatsApp)
Fully furnished non sharing Available to move in ASAP.
Got Car 🚗 park included.
Notes:You can send a message via WhatsApp for fast response.
016 219 8047",2025-12-13T23:51:53.258793+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/TmLD3GPmUYLj4-f_ZGA5zecW3ls/2850x1515/unit/5643445/whatsapp-image-2024-07-16-at-182545-c3cf65e5.jpg,https://cdn.fazwaz.com/wbr/dh4oERMCLk2E9pxEUoRUmsTHAdk/250x250/unit/5643445/whatsapp-image-2024-07-16-at-172736-cc484621.jpg,https://cdn.fazwaz.com/wbr/YL5xKHLeu0irhscHoKo8bVmnWhE/250x250/unit/5643445/whatsapp-image-2024-07-16-at-182546-581224f1.jpg,https://cdn.fazwaz.com/wbr/ZnDO8404rkDZqY-NIJwe1W9nuFs/250x250/unit/5643445/whatsapp-image-2024-07-16-at-182546-8e1c638e.jpg,https://cdn.fazwaz.com/wbr/vaSCB2fHrMbf6zsMZ7h4CjknhB4/250x250/unit/5643445/whatsapp-image-2024-07-16-at-182547-1e564c5b.jpg",U5643445,"Kuching, Kuching, Sarawak",RM450,Penthouse,Private Owner,1 Bedroom Penthouse for rent at Sun House,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-sun-house-in-kuching-sarawak-u5643445
550 Sqft,1,1,"This property is a 550 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Sun House project in Kuching, Sarawak and was completed in May 2022. You can rent this penthouse long term for RM450 per month.
Single bedroom also got private bathroom
Kindly Follow the instructions of the Unit Here🔥🔥 BY 🏡,Sending A message Via(WhatsApp)
Fully furnished non sharing Available to move in ASAP.
Got Car 🚗 park included.
Notes:You can send a message via WhatsApp for fast response.
016 219 8047",2025-12-13T23:51:53.258793+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/Qbe9xVyTDuudghYon7-ytvuekQY/2850x1515/unit/5659453/ma10.jpg,https://cdn.fazwaz.com/wbr/rt7_ii1cuIEvukuMnJ_TpHEoUzk/250x250/unit/5659453/ma3.jpg,https://cdn.fazwaz.com/wbr/9x8J4EqxlueISQ9roEi1wmbm5ps/250x250/unit/5659453/ma5-copy-2.jpg,https://cdn.fazwaz.com/wbr/IJYtq3iul9uHx01BP5slNMKBxCY/250x250/unit/5659453/ma6.jpg,https://cdn.fazwaz.com/wbr/nNItkRohZtJyJ4XpAhHS-cIQcSQ/250x250/unit/5659453/ma7-copy.jpg",U5659453,"Kuching, Kuching, Sarawak",RM450,Penthouse,Private Owner,1 Bedroom Penthouse for rent at Sun House,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-sun-house-in-kuching-sarawak-u5659453
748 Sqft,1,0,"This property is a 748 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Delta-Lcda Phase 2 project in Sibu, Sarawak and was completed in Jun 2025. You can rent this penthouse long term for RM600 per month.
NON SHARING STUDIO UNIT FOR RENT
Kindly Follow the instructions of the Unit Here🔥🔥 BY 🏡,
Serious tenant, please feel free contact
Via(WhatsApp)
Fully furnished non sharing Available to move in ASAP.
Got Car 🚗 park included.
Notes:You can send a message via WhatsApp for fast response",2025-12-13T23:51:53.258793+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/0Io9s3cAGQ_Q3q5Oj1XEzLLw-bo/2850x1515/unit/5704946/61.jpg,https://cdn.fazwaz.com/wbr/07cGHjbl9xnctwHb_b0TbX4ZlWc/250x250/unit/5704946/62.jpg,https://cdn.fazwaz.com/wbr/zFEbnobNp3fbg4Mmv48_YVfMfRo/250x250/unit/5704946/64.jpg,https://cdn.fazwaz.com/wbr/G6SXK1pYedIn5gjhTsRRr-wfNCU/250x250/unit/5704946/65.jpg",U5704946,"Sibu, Sibu, Sarawak",RM600,Penthouse,Private Owner,Studio Penthouse for rent at Delta-Lcda Phase 2,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-delta-lcda-phase-2-in-sibu-sarawak-u5704946
450 Sqft,1,1,"This property is a 450 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Khoon House project in Kuching, Sarawak and was completed in Jun 2023. You can rent this penthouse long term for RM2,060 per month.
Singe bedroom also got private bathroom
Kindly Follow the instructions of the Unit Here🔥🔥 BY 🏡,Sending A message Via(WhatsApp)
Fully furnished non sharing Available to move in ASAP.
Got Car 🚗 park included.
Notes:You can send a message via WhatsApp for fast response.
011 6825 9632",2025-12-13T23:51:53.258793+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/uYEcyh2cjTHNbkuztpUl-LMLZng/2850x1515/unit/5707327/single-bedroom-also-got-private-bathroom1022.jpg,https://cdn.fazwaz.com/wbr/LajfuGPP9CXJifuILSi1SZaDCAE/250x250/unit/5707327/single-bedroom-also-got-private-bathroom227.jpg,https://cdn.fazwaz.com/wbr/SLd-2gIdOFQnolD42kD-fbsVB6Q/250x250/unit/5707327/single-bedroom-also-got-private-bathroom33.jpg,https://cdn.fazwaz.com/wbr/YOlB-dmhQ0ivrbm47-KpM0Inl0c/250x250/unit/5707327/single-bedroom-also-got-private-bathroom120.jpg,https://cdn.fazwaz.com/wbr/eHTqB_gl-Gx8A44c2BrsdTrVMzw/250x250/unit/5707327/single-bedroom-also-got-private-bathroom220.jpg",U5707327,"Kuching, Kuching, Sarawak","RM2,060",Penthouse,Private Owner,1 Bedroom Penthouse for rent at Khoon House,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-khoon-house-in-kuching-sarawak-u5707327
760 Sqft,1,2,"This property is a 760 Sqft penthouse with 2 bedrooms and 1 bathroom that is available for rent. It is part of the Khoon House project in Kuching, Sarawak and was completed in Jun 2023. You can rent this penthouse long term for RM700 per month.
Master bedroom also got private bathroom
Kindly Follow the instructions of the Unit Here🔥🔥 BY 🏡,Sending A message Via(WhatsApp)
Fully furnished non sharing Available to move in ASAP.
Got Car 🚗 park included.
Notes:You can send a message via WhatsApp for fast response.
011 6825 9632",2025-12-13T23:51:53.258793+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/aw5xTZtrxsRrSsSNdptUYHO5Mw4/2850x1515/unit/5712911/master-bedrooms-also-got-private-bathroom665.jpg,https://cdn.fazwaz.com/wbr/5PBqUBood_oczibvfUHNDksjCI4/250x250/unit/5712911/master-bedrooms-also-got-private-bathroom360.jpg,https://cdn.fazwaz.com/wbr/QT5VNNC56EzeP5esSBmgu8slOm0/250x250/unit/5712911/master-bedrooms-also-got-private-bathroomg504.jpg,https://cdn.fazwaz.com/wbr/2BBsYs4D4YfnhROyMML4LlEFl9g/250x250/unit/5712911/master-bedrooms-also-got-private-bathroomh339.jpg,https://cdn.fazwaz.com/wbr/2tNIBHJGr7tadyhoCQ3f6xN8OeA/250x250/unit/5712911/master-bedrooms-also-got-private-bathroomh564-copy.jpg",U5712911,"Kuching, Kuching, Sarawak",RM700,Penthouse,Private Owner,2 Bedroom Penthouse for rent at Khoon House,https://www.fazwaz.my/property-rent/2-bedroom-penthouse-for-rent-at-khoon-house-in-kuching-sarawak-u5712911
