area,bathrooms,bedrooms,description,fetched_at,furnished,images,listing_id,location,price,property_type,seller_name,title,url
661 Sqft,1,0,"This property is a 661 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Petaling Jaya project in Bandar Petaling Jaya, Selangor and was completed in Dec 2022. You can rent this penthouse long term for RM730 per month.
Fully Furnished Studio
KitchenCabinet, Mattress, TV, AC, Sofa, Refrigerator, Bed-frame, Water Heater, Dining Table, Hood&Hub, Wardrobe, Curtain, Microwave, Washing Machine
Facilities, Security24Hr, Swimming, Squashy,Elevator, Mart, Restaurant, Sauna, Playground, Badminton, Gym, Covered Parking lot..
Serious renter only kindly text the landlord on WhatsApp at ‪+60 10‑703 4874‬ for more information",2025-12-13T23:36:56.350979+00:00,Partly Furnished,"https://cdn.fazwaz.com/wbr/MfDj0v7tY27xsk8drfyoXPhKqxg/2850x1515/unit/5928655/img-5820.jpeg,https://cdn.fazwaz.com/wbr/t07dRnMdmJUJoSy08bnKL7l_4pw/250x250/unit/5928655/img-5821.jpeg,https://cdn.fazwaz.com/wbr/FJTvSP-EDOZgX1mniryqExzbUnQ/250x250/unit/5928655/img-5822.jpeg,https://cdn.fazwaz.com/wbr/4QJluDa-0bmZrH__CoLKr5RArjk/250x250/unit/5928655/img-5823.jpeg,https://cdn.fazwaz.com/wbr/eX9I4CBtq22CX_y-W-UfpjEUOxM/250x250/unit/5928655/img-5824.jpeg",U5928655,"Bandar Petaling Jaya, Petaling, Selangor",RM730,Penthouse,Private Owner,Studio Penthouse for rent at Petaling Jaya,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-petaling-jaya-in-bandar-petaling-jaya-selangor-u5928655
58 Sqft,1,1,"This property is a 58 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Monterey project in Damansara, Selangor and was completed in Apr 2020. You can rent this penthouse long term for RM250 per month.
Apartment Features: Modern kitchen equipped with refrigerato
Apartment Features:
Modern kitchen equipped with refrigerator, oven, microwave, and complete cookware
Cozy living room with sofa, coffee table, and television
+60 11-6825 9632 WhatsApp",2025-12-13T23:36:56.350979+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/TK672bq3pw9LG_S1g0lLaT79Wps/2850x1515/unit/5927361/img-1698.jpeg,https://cdn.fazwaz.com/wbr/tfjL3O5qPoiVIXkbHaANxm0V21w/250x250/unit/5927361/img-1699.jpeg,https://cdn.fazwaz.com/wbr/a7-2cDMH7Rp12zChGVaK_YZhXm0/250x250/unit/5927361/img-1700.jpeg,https://cdn.fazwaz.com/wbr/dgSpTJn_lluKA84Zkvtm-7NnzOc/250x250/unit/5927361/img-1701.jpeg,https://cdn.fazwaz.com/wbr/hLY4Ouxxh4iYR4uxNfFP6SrY4yA/250x250/unit/5927361/img-1702.jpeg",U5927361,"Damansara, Petaling, Selangor",RM250,Penthouse,Private Owner,1 Bedroom Penthouse for rent at Monterey,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-monterey-in-damansara-selangor-u5927361
580 Sqft,1,1,"This property is a 580 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Monterey project in Damansara, Selangor and was completed in Apr 2020. You can rent this penthouse long term for RM824 per month.
Apartment Features: Modern kitchen equipped with refrigerato
Apartment Features:
Modern kitchen equipped with refrigerator, oven, microwave, and complete cookware
Cozy living room with sofa, coffee table, and television
+60 11-6825 9632 WhatsApp",2025-12-13T23:36:56.350979+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/1Mu8IDubqZrcGEskGkq92WK4J5Y/2850x1515/unit/5927363/img-1595.jpeg,https://cdn.fazwaz.com/wbr/fUSBjtaUtbGhF9DCCRA4fSZYZo4/250x250/unit/5927363/img-1596.jpeg,https://cdn.fazwaz.com/wbr/x5t4bibsVD52A2R7Jqq49Is1DxE/250x250/unit/5927363/img-1597.jpeg,https://cdn.fazwaz.com/wbr/4MNr3_ecNN0l5RHr6oNLKzdwPk0/250x250/unit/5927363/img-1598.jpeg,https://cdn.fazwaz.com/wbr/4FhyPoUF1D8WaSopNHtVtUUu9NI/250x250/unit/5927363/img-1599.jpeg",U5927363,"Damansara, Petaling, Selangor",RM824,Penthouse,Private Owner,1 Bedroom Penthouse for rent at Monterey,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-monterey-in-damansara-selangor-u5927363
50 Sqft,1,2,"This property is a 50 Sqft penthouse with 2 bedrooms and 1 bathroom that is available for rent. It is part of the Monterey project in Damansara, Selangor and was completed in Apr 2020. You can rent this penthouse long term for RM500 per month.
Apartment Features: Modern kitchen equipped with refrigerato
Apartment Features:
Modern kitchen equipped with refrigerator, oven, microwave, and complete cookware
Cozy living room with sofa, coffee table, and television
+60 11-6825 9632 WhatsApp",2025-12-13T23:36:56.350979+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/hVHhVvg8eIihth9Qsy7_5DTLegQ/2850x1515/unit/5927366/img-2718.jpeg,https://cdn.fazwaz.com/wbr/r_WzjYFUR8mYkUGNf7CG9GqNXlo/250x250/unit/5927366/img-2719.jpeg,https://cdn.fazwaz.com/wbr/s1vcPoLNlXO5JjDDiKAHUa0JOYk/250x250/unit/5927366/img-2720.jpeg,https://cdn.fazwaz.com/wbr/2e3yDxTGVoT2uYakV007gFIqCQo/250x250/unit/5927366/img-2721.jpeg,https://cdn.fazwaz.com/wbr/9cMuUxYIj2OqvCzxEgFxYZJtG5M/250x250/unit/5927366/img-2722.jpeg",U5927366,"Damansara, Petaling, Selangor",RM500,Penthouse,Private Owner,2 Bedroom Penthouse for rent at Monterey,https://www.fazwaz.my/property-rent/2-bedroom-penthouse-for-rent-at-monterey-in-damansara-selangor-u5927366
25 Sqft,1,1,"This property is a 25 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Monterey project in Damansara, Selangor and was completed in Apr 2020. You can rent this penthouse long term for RM250 per month.
Apartment Features: Modern kitchen equipped with refrigerato
Apartment Features:
Modern kitchen equipped with refrigerator, oven, microwave, and complete cookware
Cozy living room with sofa, coffee table, and television
+60 11-6825 9632 WhatsApp",2025-12-13T23:36:56.350979+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/bCmd-tlNjBljChgYdG3x4exyUFs/2850x1515/unit/5927369/img-3358.jpeg,https://cdn.fazwaz.com/wbr/ntI-euSjGbxV7fe7HQ4snLs68ao/250x250/unit/5927369/img-3359.jpeg,https://cdn.fazwaz.com/wbr/3VaK6BizCj1tAN1SqJSwu9ZlGhQ/250x250/unit/5927369/img-3360.jpeg,https://cdn.fazwaz.com/wbr/uqutbX06SdDqmCStpfWhZSmi0C0/250x250/unit/5927369/img-3361.jpeg,https://cdn.fazwaz.com/wbr/XZN0vVCTn9oukKj8R1uylQ_6bWo/250x250/unit/5927369/img-3362.jpeg",U5927369,"Damansara, Petaling, Selangor",RM250,Penthouse,Private Owner,1 Bedroom Penthouse for rent at Monterey,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-monterey-in-damansara-selangor-u5927369
55 Sqft,1,1,"This property is a 55 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Monterey project in Damansara, Selangor and was completed in Apr 2020. You can rent this penthouse long term for RM230 per month.
Apartment Features: Modern kitchen equipped with refrigerato
Apartment Features:
Modern kitchen equipped with refrigerator, oven, microwave, and complete cookware
Cozy living room with sofa, coffee table, and television
+60 11-6825 9632 WhatsApp",2025-12-13T23:36:56.350979+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/EFYDP_uuLuzkKAwtKKcOp2aekIY/2850x1515/unit/5927371/img-2394.jpeg,https://cdn.fazwaz.com/wbr/Xl5guzGhLwNi9VQXBwZnAXgUWEA/250x250/unit/5927371/img-2395.jpeg,https://cdn.fazwaz.com/wbr/rqpZKm5Ohbo1fj0_AQvrWVmJOu0/250x250/unit/5927371/img-2396.jpeg,https://cdn.fazwaz.com/wbr/NmmBgbAznmP1KaevVwD02EhgBqo/250x250/unit/5927371/img-2397.jpeg,https://cdn.fazwaz.com/wbr/NQoPEO3vViLLe6R2EiXo6SWGRc8/250x250/unit/5927371/img-2398.jpeg",U5927371,"Damansara, Petaling, Selangor",RM230,Penthouse,Private Owner,1 Bedroom Penthouse for rent at Monterey,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-monterey-in-damansara-selangor-u5927371
108 Sqft,1,0,"This property is a 108 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Subang Jaya project in Damansara, Selangor and was completed in Dec 2022. You can rent this penthouse long term for RM600 per month.
FULLY FURNISHED Studio FOR RENT
Partial or fully furnished - move in Immediately!
Bed Frame & Mattress
Wardrobe
Table & Chair
Facilitates :
Air-Condition/Fan
WIFI
Washing machine
Refrigerator
* Water heater
* Water Filter / Water dispenser
CCTV
Interested Contact the Landlord Directly:
WhatsApp: 601161903950",2025-12-13T23:36:56.350979+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/AL3ufj3ykuBWHvTQ-jiqou4wr6g/2850x1515/unit/5915965/img-1190.jpeg,https://cdn.fazwaz.com/wbr/B5bFCaD48sFWuEF1rwkr1AVkaJI/250x250/unit/5915965/img-1191.jpeg,https://cdn.fazwaz.com/wbr/APps6p9Gy5oH2oE7Pzi-20NQM04/250x250/unit/5915965/img-1192.jpeg,https://cdn.fazwaz.com/wbr/jUfFOzfZVdwUKvqwLafQtnJz44Y/250x250/unit/5915965/img-1193.jpeg,https://cdn.fazwaz.com/wbr/0w-yToAvp5moLOCnaHEFldpE3Es/250x250/unit/5915965/img-1194.jpeg",U5915965,"Damansara, Petaling, Selangor",RM600,Penthouse,Private Owner,Studio Penthouse for rent at Subang Jaya,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-subang-jaya-in-damansara-selangor-u5915965
500 Sqft,1,0,"This property is a 500 Sqft studio condo with 1 bathroom that is available for rent. It is part of the Contours Villa project in Damansara, Selangor and was completed in Mar 2023. You can rent this condo long term for RM800 per month.
Contours Villa - Damansara, Selangor
Text the landlord on WhatsApp for more information about the house for rent +60 1163623005
My Unit Includes all Utilities Intact such as Refrigerator, Dry, Washing Machine, Electric Stove and gas, Air cond, Sewage, Trash, Tv set, Furnitures and cabinet. Plus Electricity and Water bills are also Included in the Rent with 1 car park and Free wifi",2025-12-13T23:36:56.350979+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/CmeLEY9pGZ_oEbY8TsIWB0izRKo/2850x1515/unit/5924761/img-2053.jpeg,https://cdn.fazwaz.com/wbr/ThOOWrKfAIEwwTGNEmGAIxnvqZ4/250x250/unit/5924761/img-2054.jpeg,https://cdn.fazwaz.com/wbr/uWxBeL_K40nwvekVOdFaO5_BtDA/250x250/unit/5924761/img-2057.jpeg,https://cdn.fazwaz.com/wbr/L5G93t-Q6XQhmfkwdwq7SR3TQ84/250x250/unit/5924761/img-2059.jpeg,https://cdn.fazwaz.com/wbr/WM6P8OFL0BAhPQfJn2vJIlzlNm8/250x250/unit/5924761/img-2060.jpeg",U5924761,"Damansara, Petaling, Selangor",RM800,Condo,Private Owner,Studio Condo for rent at Contours Villa,https://www.fazwaz.my/property-rent/studio-condo-for-rent-at-contours-villa-in-damansara-selangor-u5924761
150 Sqft,1,0,"This property is a 150 Sqft studio condo with 1 bathroom that is available for rent. It is part of the Impian Meridian project in Damansara, Selangor and it is scheduled for completion in Feb 2026. You can rent this condo long term for RM750 per month.
Impian Meridian
Text the landlord on WhatsApp for more information about the house for rent +60 1163623005
My Unit Includes all Utilities Intact such as Refrigerator, Dry, Washing Machine, Electric Stove and gas, Air cond, Sewage, Trash, Tv set, Furnitures and cabinet. Plus Electricity and Water bills are also Included in the Rent with 1 car park and Free wifi",2025-12-13T23:36:56.350979+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/kPQJcKBPwUlzEuSDr_e1sMRqsgk/2850x1515/unit/5924764/img-2045.jpeg,https://cdn.fazwaz.com/wbr/XNw7_M5mbcwUb-3IutSG3RKdMDQ/250x250/unit/5924764/img-2046.jpeg,https://cdn.fazwaz.com/wbr/_2Cq276U56vshLvxaSB1ca1dM8I/250x250/unit/5924764/img-2047.jpeg,https://cdn.fazwaz.com/wbr/39YjrJw54oPmBJmTSxcMYFZ6X_c/250x250/unit/5924764/img-2048.jpeg,https://cdn.fazwaz.com/wbr/DF3vE5z6hejd_lqpa5MuILwBEAA/250x250/unit/5924764/img-2049.jpeg",U5924764,"Damansara, Petaling, Selangor",RM750,Condo,Private Owner,Studio Condo for rent at Impian Meridian,https://www.fazwaz.my/property-rent/studio-condo-for-rent-at-impian-meridian-in-damansara-selangor-u5924764
"1,250 Sqft",1,0,"This property is a 1,250 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Pentas project in Sungai Buloh, Selangor and was completed in Oct 2023. You can rent this penthouse long term for RM580 per month.
Fully Furnished Studio
KitchenCabinet, Mattress, TV, AC, Sofa, Refrigerator, Bed-frame, Water Heater, Dining Table, Hood&Hub, Wardrobe, Curtain, Microwave, Washing Machine Facilities, Security24Hr, Swimming, Squashy,Elevator, Mart, Restaurant, Sauna, Playground, Badminton, Gym, Covered Parking lot Serious renter only kindly text the landlord on WhatsApp at +60107034874 for more information",2025-12-13T23:36:56.350979+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/gvhcEU-ps3T_bYjoFFmjFsKsCx0/2850x1515/unit/5927183/img-5665.jpeg,https://cdn.fazwaz.com/wbr/WYVsahDe9n5KzeFMiDh1YxWCTls/250x250/unit/5927183/img-5666.jpeg,https://cdn.fazwaz.com/wbr/6R_SKR3yhuPj3yyAHobdosIDWtQ/250x250/unit/5927183/img-5667.jpeg,https://cdn.fazwaz.com/wbr/tIoU9zPJpf7EvuBBAhTr_yg7ee8/250x250/unit/5927183/img-5668.jpeg,https://cdn.fazwaz.com/wbr/awwuS6acQwXJx4YfctTAwSqdmjg/250x250/unit/5927183/img-5670.jpeg",U5927183,"Sungai Buloh, Petaling, Selangor",RM580,Penthouse,Private Owner,Studio Penthouse for rent at Pentas,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-pentas-in-sungai-buloh-selangor-u5927183
