area,bathrooms,bedrooms,description,fetched_at,furnished,images,listing_id,location,price,property_type,seller_name,title,url
661 Sqft,1,0,"This property is a 661 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Petaling Jaya project in Bandar Petaling Jaya, Selangor and was completed in Dec 2022. You can rent this penthouse long term for RM780 per month.
Fully Furnished Studio
KitchenCabinet, Mattress, TV, AC, Sofa, Refrigerator, Bed-frame, Water Heater, Dining Table, Hood&Hub, Wardrobe, Curtain, Microwave, Washing Machine
Facilities, Security24Hr, Swimming, Squashy,Elevator, Mart, Restaurant, Sauna, Playground, Badminton, Gym, Covered Parking lot..
Serious renter only kindly text the landlord on WhatsApp at ‪+60 10‑703 4874‬ for more information",2025-12-13T23:39:20.376079+00:00,Partly Furnished,"https://cdn.fazwaz.com/wbr/XN9v95Jo-GuFgv7wl_xOXtR7NKc/2850x1515/unit/5928652/img-5814.jpeg,https://cdn.fazwaz.com/wbr/7PPDWhdVXLafPlK22oolXVptEOY/250x250/unit/5928652/img-5815.jpeg,https://cdn.fazwaz.com/wbr/uQkpk3WjdhCRGWLb6KQaC-vx9xA/250x250/unit/5928652/img-5816.jpeg,https://cdn.fazwaz.com/wbr/yvNDbdDfhEELy2VnPftILQ4IZeA/250x250/unit/5928652/img-5817.jpeg,https://cdn.fazwaz.com/wbr/n2_7UInHc1tGcZeGsEe9r-5t7dE/250x250/unit/5928652/img-5818.jpeg",U5928652,"Bandar Petaling Jaya, Petaling, Selangor",RM780,Penthouse,Private Owner,Studio Penthouse for rent at Petaling Jaya,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-petaling-jaya-in-bandar-petaling-jaya-selangor-u5928652
644 Sqft,1,0,"This property is a 644 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Emira Residences project in Bandar Klang, Selangor and was completed in Jun 2016. You can rent this penthouse long term for RM600 per month.
Fully furnished studio
Kitchen Cabinet,Mattress,TV,A/C,Sofa,Refrigerator,Bedframe,Water Heater,Dining Table,Hood & Hub,Wardrobe,Curtain,Microwave,Washing Machine
Facilities
Security 24 Hr,Swimming,Squasy,Elevator,Mart,Restaurant,Sauna,Playground,Badminton,Gym,Covered Parking
Kindly text the owner on WhatsApp on 601162343286 for more details",2025-12-13T23:39:20.376079+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/zkJECRmEPGavmWhh6Bxu1FYFIpA/2850x1515/unit/5928053/img-1064.jpeg,https://cdn.fazwaz.com/wbr/h-6LeFthYQGv6R0LWM6wfYfsDWU/250x250/unit/5928053/img-1065.jpeg,https://cdn.fazwaz.com/wbr/MripjANEFxI-0BAGXxMf25aE7BE/250x250/unit/5928053/img-1066.jpeg,https://cdn.fazwaz.com/wbr/PEYP0kTPGrFjcHS1CHz8sw1Po3I/250x250/unit/5928053/img-1067.jpeg,https://cdn.fazwaz.com/wbr/e0sCM1fcGi0m8Xsf8BYGoqhPXco/250x250/unit/5928053/img-1068.jpeg",U5928053,"Bandar Klang, Klang, Selangor",RM600,Penthouse,Private Owner,Studio Penthouse for rent at Emira Residences,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-emira-residences-in-bandar-klang-selangor-u5928053
668 Sqft,1,0,"This property is a 668 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Sutera Damansara project in Batu, Selangor and was completed in Feb 2023. You can rent this penthouse long term for RM650 per month.
Fully furnished studio
Kitchen Cabinet,Mattress,TV,A/C,Sofa,Refrigerator,Bedframe,Water Heater,Dining Table,Hood & Hub,Wardrobe,Curtain,Microwave,Washing Machine
Facilities
Security 24 Hr,Swimming,Squasy,Elevator,Mart,Restaurant,Sauna,Playground,Badminton,Gym,Covered Parking
Kindly text the owner on WhatsApp on 601162343286 for more details",2025-12-13T23:39:20.376079+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/uTosrDd49u9rPnzXvXq5jkvRm3I/2850x1515/unit/5928074/img-1091.jpeg,https://cdn.fazwaz.com/wbr/LHytD15_crxTvJBhiaRJtG7-xCM/250x250/unit/5928074/img-1092.jpeg,https://cdn.fazwaz.com/wbr/hkdX0xwWBKgt3wTnSNhakJkicb4/250x250/unit/5928074/img-1093.jpeg,https://cdn.fazwaz.com/wbr/1_waXyTl8Q-iMxIAUX1GPYA_jr0/250x250/unit/5928074/img-1094.jpeg,https://cdn.fazwaz.com/wbr/raQNMI5EL-fFR9-pH0QfkZJKtLI/250x250/unit/5928074/img-1095.jpeg",U5928074,"Batu, Gombak, Selangor",RM650,Penthouse,Private Owner,Studio Penthouse for rent at Sutera Damansara,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-sutera-damansara-in-batu-selangor-u5928074
630 Sqft,1,0,"This property is a 630 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Urbana @ D'Alpinia project in Petaling, Selangor and was completed in May 2023. You can rent this penthouse long term for RM700 per month.
Fully furnished studio
Kitchen Cabinet,Mattress,TV,A/C,Sofa,Refrigerator,Bedframe,Water Heater,Dining Table,Hood & Hub,Wardrobe,Curtain,Microwave,Washing Machine
Facilities
Security 24 Hr,Swimming,Squasy,Elevator,Mart,Restaurant,Sauna,Playground,Badminton,Gym,Covered Parking
Kindly text the owner on WhatsApp on 601162343286 for more details",2025-12-13T23:39:20.376079+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/laoCH4rGajOhkeldioOMKjrjwwo/2850x1515/unit/5928059/img-1069.jpeg,https://cdn.fazwaz.com/wbr/tE46c6_-JXIAXQgE6gygnvioetI/250x250/unit/5928059/img-1070.jpeg,https://cdn.fazwaz.com/wbr/OppznYdEu4SU2vLRwrAJwNfIU3k/250x250/unit/5928059/img-1071.jpeg,https://cdn.fazwaz.com/wbr/D6EsOI050mDhcrmMM_SQ8G_8pZY/250x250/unit/5928059/img-1072.jpeg,https://cdn.fazwaz.com/wbr/OuQoNAFAG2W1IYKi1hqyOql54UQ/250x250/unit/5928059/img-1073.jpeg",U5928059,"Petaling, Petaling, Selangor",RM700,Penthouse,Private Owner,Studio Penthouse for rent at Urbana @ D'Alpinia,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-urbana-at-dalpinia-in-petaling-selangor-u5928059
988 Sqft,1,0,"This property is a 988 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Ampang project in Ulu Kelang, Selangor and was completed in Jan 2023. You can rent this penthouse long term for RM850 per month.
Fully Furnished Studio
KitchenCabinet, Mattress, TV, AC, Sofa, Refrigerator, Bed-frame, Water Heater, Dining Table, Hood&Hub, Wardrobe, Curtain,
Microwave, Washing Machine
Facilities, Security24Hr, Swimming, Squashy,Elevator, Mart, Restaurant, Sauna, Playground, Badminton, Gym, Covered Parking lot
Serious renter only kindly text the landlord on WhatsApp at ‪+60 10‑703 4874‬ for more information",2025-12-13T23:39:20.376079+00:00,Partly Furnished,"https://cdn.fazwaz.com/wbr/x25meB1z-HUccz40fBJ50Tz5h5M/2850x1515/unit/5928602/img-5778.jpeg,https://cdn.fazwaz.com/wbr/-b6wK2opex1-6iB0WXi2LukHptc/250x250/unit/5928602/img-5779.jpeg,https://cdn.fazwaz.com/wbr/-bDlRELMRvNah6GCXU4FSyAjsgE/250x250/unit/5928602/img-5780.jpeg,https://cdn.fazwaz.com/wbr/oP2wMfiBR6GuEDVKnqvc8glPyxI/250x250/unit/5928602/img-5781.jpeg,https://cdn.fazwaz.com/wbr/4PyTbniALTXPoVzg9tnNmqi22T8/250x250/unit/5928602/img-5782.jpeg",U5928602,"Ulu Kelang, Gombak, Selangor",RM850,Penthouse,Private Owner,Studio Penthouse for rent at Ampang,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-ampang-in-ulu-kelang-selangor-u5928602
677 Sqft,1,0,"This property is a 677 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Dutavilla project in Batu, Selangor and was completed in Jun 2018. You can rent this penthouse long term for RM700 per month.
Fully furnished studio
Kitchen Cabinet,Mattress,TV,A/C,Sofa,Refrigerator,Bedframe,Water Heater,Dining Table,Hood & Hub,Wardrobe,Curtain,Microwave,Washing Machine
Facilities
Security 24 Hr,Swimming,Squasy,Elevator,Mart,Restaurant,Sauna,Playground,Badminton,Gym,Covered Parking
Kindly text the owner on WhatsApp on 601162343286 for more details",2025-12-13T23:39:20.376079+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/YDvVdgXBiukyyjcrnPz23-wo940/2850x1515/unit/5927329/img-1032.jpeg,https://cdn.fazwaz.com/wbr/D1v-t3Xo9i3WRpXqe2SRCEjtlAo/250x250/unit/5927329/img-1033.jpeg,https://cdn.fazwaz.com/wbr/07ncAskMwolsIbIwpEBaBB_15wU/250x250/unit/5927329/img-1034.jpeg,https://cdn.fazwaz.com/wbr/QLUVro-LFWkXzEVKbH5DYhaPr1w/250x250/unit/5927329/img-1035.jpeg,https://cdn.fazwaz.com/wbr/8ZSXsog90gu1-JwDLe_CaDblwZM/250x250/unit/5927329/img-1036.jpeg",U5927329,"Batu, Gombak, Selangor",RM700,Penthouse,Private Owner,Studio Penthouse for rent at Dutavilla,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-dutavilla-in-batu-selangor-u5927329
700 Sqft,1,0,"This property is a 700 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Clover project in Petaling, Selangor and was completed in May 2024. You can rent this penthouse long term for RM800 per month.
Studio for rent
Kitchen Cabinet,Mattress,TV,A/C,Sofa,Refrigerator,Bedframe,Water Heater,Dining Table,Hood & Hub,Wardrobe,Curtain,Microwave,Washing Machine
Facilities
Security 24 Hr,Swimming,Squasy,Elevator,Mart,Restaurant,Sauna,Playground,Badminton,Gym,Covered Parking
Kindly text the owner on WhatsApp on 601162343286 for more details",2025-12-13T23:39:20.376079+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/xoPKANPXvPOYvhS4iBthg4F62BU/2850x1515/unit/5922441/img-0800.jpeg,https://cdn.fazwaz.com/wbr/jojaawhEr_YHnWqQ2wCcP62fICo/250x250/unit/5922441/img-0801.jpeg,https://cdn.fazwaz.com/wbr/7Zk7cp2-ZzYBhy-_oEeRc5Hp0Gc/250x250/unit/5922441/img-0802.jpeg,https://cdn.fazwaz.com/wbr/i87hSFKxb8-OSQkJ0twy7XlyqmY/250x250/unit/5922441/img-0803.jpeg,https://cdn.fazwaz.com/wbr/XzZ_q63Wdey4LmnV-x6pBUrFimY/250x250/unit/5922441/img-0804.jpeg",U5922441,"Petaling, Petaling, Selangor",RM800,Penthouse,Private Owner,Studio Penthouse for rent at Clover,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-clover-in-petaling-selangor-u5922441
622 Sqft,1,0,"This property is a 622 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Kinrara Anggun project in Sungai Buloh, Selangor and was completed in Jun 2024. You can rent this penthouse long term for RM650 per month.
Fully furnished studio
Kitchen Cabinet,Mattress,TV,A/C,Sofa,Refrigerator,Bedframe,Water Heater,Dining Table,Hood & Hub,Wardrobe,Curtain,Microwave,Washing Machine
Facilities
Security 24 Hr,Swimming,Squasy,Elevator,Mart,Restaurant,Sauna,Playground,Badminton,Gym,Covered Parking
Kindly text the owner on WhatsApp on 601162343286 for more details",2025-12-13T23:39:20.376079+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/_bpKcwfema195Y0JdITvJ6Dxrr0/2850x1515/unit/5924565/img-0921.jpeg,https://cdn.fazwaz.com/wbr/VRkxJ-WEJgPYeSJqtfk2_kmuiCU/250x250/unit/5924565/img-0922.jpeg,https://cdn.fazwaz.com/wbr/njd94wxyuX-jC3vfszfLPviOOqs/250x250/unit/5924565/img-0923.jpeg,https://cdn.fazwaz.com/wbr/D44hAItUNtCVhJXPXHCxAb2q4UA/250x250/unit/5924565/img-0924.jpeg,https://cdn.fazwaz.com/wbr/izzp7xT7TTIlgDVxlQCXGPa4vCM/250x250/unit/5924565/img-0925.jpeg",U5924565,"Sungai Buloh, Petaling, Selangor",RM650,Penthouse,Private Owner,Studio Penthouse for rent at Kinrara Anggun,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-kinrara-anggun-in-sungai-buloh-selangor-u5924565
806 Sqft,1,0,"This property is a 806 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the La Thea Residences project in Petaling, Selangor and was completed in Oct 2024. You can rent this penthouse long term for RM650 per month.
FULLY FURNISHED Studio FOR RENT
Features:
- FREE Water & electricity * WIFI all free
- Amenities facilities include Water Heater, Fridge, Coway Water Filter, Microwave, Gas Stove, Kitchen Cabinet ( can light cook), Washing machines
Nice swimming pool, bbq area, gym, & sauna
Ready move-in!
please feel free to contact the landlord via wassap
601161903950",2025-12-13T23:39:20.376079+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/GTvMBjx-PxCcmk3bk1qGCih_8bs/2850x1515/unit/5915961/1cb79f69-eadb-44a6-9170-28fda30bd8a0.jpeg,https://cdn.fazwaz.com/wbr/tvL4j6R21qw5ocTnMtGDk8Ll9Mg/250x250/unit/5915961/51f2815d-5169-41a6-a719-cb7a27f53808.jpeg,https://cdn.fazwaz.com/wbr/2r2AvOIglaVJQdcBUkd6HjiYMT4/250x250/unit/5915961/631dddb8-b6cf-4000-b23c-aeb504fb6d87.jpeg,https://cdn.fazwaz.com/wbr/fHkKqlLdjSmlzEC640Dx_TnS-rM/250x250/unit/5915961/94c699b5-466f-48c4-819b-fe6fe4a76390.jpeg,https://cdn.fazwaz.com/wbr/DnilYkF0CBAJwUj9zY84qxgzwZ8/250x250/unit/5915961/d5104260-9d38-4038-a220-9ae09702074c.jpeg",U5915961,"Petaling, Petaling, Selangor",RM650,Penthouse,Private Owner,Studio Penthouse for rent at La Thea Residences,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-la-thea-residences-in-petaling-selangor-u5915961
603 Sqft,1,0,"This property is a 603 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Sri Angkasa Homes project in Sungai Buloh, Selangor and was completed in May 2022. You can rent this penthouse long term for RM600 per month.
FULLY FURNISHED Studio FOR RENT
💥Fully Furnished
✅Free Wifi
✅Washing Machine
✅Water Filter
✅Kettle
✅Kitchen for cook
✅Refrigerator
✅Cleaning service
.
⚡No Agent Fees
⚡FREE utilities (water & electricity)
Studio unit come with air-conditioner, fan, study table, chair & wardrobe
.
Message the owner on Whatsapp For more details 6011-6190-3950",2025-12-13T23:39:20.376079+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/0Mm_w0LYqBUHBcFENzsyGFzuEcA/2850x1515/unit/5915974/img-0242.jpeg,https://cdn.fazwaz.com/wbr/A8PD_ebPE2fbOtFhQ8CAetMqorY/250x250/unit/5915974/img-0243.jpeg,https://cdn.fazwaz.com/wbr/BRJs9QqHCWUE0nVc5e7v4WL_mJU/250x250/unit/5915974/img-0244.jpeg,https://cdn.fazwaz.com/wbr/3MGu5CW2C6sapTnIusWGTj4tjto/250x250/unit/5915974/img-0245.jpeg,https://cdn.fazwaz.com/wbr/FcARON6GreIIHHjTFyg_s_kH-Mw/250x250/unit/5915974/img-0246.jpeg",U5915974,"Sungai Buloh, Petaling, Selangor",RM600,Penthouse,Private Owner,Studio Penthouse for rent at Sri Angkasa Homes,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-sri-angkasa-homes-in-sungai-buloh-selangor-u5915974
