area,bathrooms,bedrooms,description,fetched_at,furnished,images,listing_id,location,price,property_type,seller_name,title,url
N/A,4,4,"This property is a 1,650 Sqft townhouse with 4 bedrooms and 4 bathrooms that is available for rent. It is located in Bukit Raja, Selangor. You can rent this townhouse long term for RM2,200 per month.",2025-12-13T23:39:11.929860+00:00,Fully Furnished,"https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvYWEzNTdkNTctNGNjYy00MjYzLTkzMGQtOTQwZTkwZDRkYzg1XC9ob21lLTEuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjk1MCwiaGVpZ2h0Ijo1MDUsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvYWEzNTdkNTctNGNjYy00MjYzLTkzMGQtOTQwZTkwZDRkYzg1XC9ob21lLTIuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvYWEzNTdkNTctNGNjYy00MjYzLTkzMGQtOTQwZTkwZDRkYzg1XC9ob21lLTMuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvYWEzNTdkNTctNGNjYy00MjYzLTkzMGQtOTQwZTkwZDRkYzg1XC9ob21lLTQuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvYWEzNTdkNTctNGNjYy00MjYzLTkzMGQtOTQwZTkwZDRkYzg1XC9ob21lLTUuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==",U2020041,"Bukit Raja, Petaling, Selangor","RM2,200",Townhouse,Proppit,"Furnished Town House, Primer Garden Town Villas, Cahaya SPK",https://www.fazwaz.my/property-rent/4-bedroom-townhouse-for-rent-in-bukit-raja-selangor-u2020041
N/A,4,3,"This property is a 13,789 Sqft townhouse with 3 bedrooms and 4 bathrooms that is available for rent. It is located in Batu, Selangor. You can rent this townhouse for RM1,400 per month and it is also available for sale for RM389,000.",2025-12-13T23:39:11.929860+00:00,Fully Furnished,"https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvMzdmNDBmZDEtNjg1Ny00NjNhLWIxNzMtZGJlZDIxNTQ5YTFlXC9ob21lLTEuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjk1MCwiaGVpZ2h0Ijo1MDUsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvMzdmNDBmZDEtNjg1Ny00NjNhLWIxNzMtZGJlZDIxNTQ5YTFlXC9ob21lLTIuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvMzdmNDBmZDEtNjg1Ny00NjNhLWIxNzMtZGJlZDIxNTQ5YTFlXC9ob21lLTMuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvMzdmNDBmZDEtNjg1Ny00NjNhLWIxNzMtZGJlZDIxNTQ5YTFlXC9ob21lLTQuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvMzdmNDBmZDEtNjg1Ny00NjNhLWIxNzMtZGJlZDIxNTQ5YTFlXC9ob21lLTUuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==",U2034018,"Batu, Gombak, Selangor","RM1,400",Townhouse,Proppit,Townhouse Garden Ville Bandar Selayang fully furnished,https://www.fazwaz.my/property-rent/3-bedroom-townhouse-for-rent-in-batu-selangor-u2034018
N/A,2,3,"This property is a 0 Sqft townhouse with 3 bedrooms and 2 bathrooms that is available for rent. It is located in Dengkil, Selangor. You can rent this townhouse long term for RM1,500 per month.",2025-12-13T23:39:11.929860+00:00,Fully Furnished,"https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC85MGIxMjhiMi1jMjQ4LTQyMzgtOWZiNi0yMmRjOGQyNTFlMGZcLzJlZGNlYTAwLTYwOTUtNDMxNS04NjQyLTRmY2M5ZDI4ZWQ5ZS5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6OTUwLCJoZWlnaHQiOjUwNSwiZml0IjoiY292ZXIifX19,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC85MGIxMjhiMi1jMjQ4LTQyMzgtOWZiNi0yMmRjOGQyNTFlMGZcL2E1YThmNjk5LTgzMzgtNGNhMi1hZmI4LTdlYTFiYzAyOWFlNy5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MjUwLCJoZWlnaHQiOjI1MCwiZml0IjoiY292ZXIifX19,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC85MGIxMjhiMi1jMjQ4LTQyMzgtOWZiNi0yMmRjOGQyNTFlMGZcLzIyMzRhNGVhLWU1ZDMtNDNkYi05YTZmLThmMWVkMDFlNzdlMC5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MjUwLCJoZWlnaHQiOjI1MCwiZml0IjoiY292ZXIifX19,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC85MGIxMjhiMi1jMjQ4LTQyMzgtOWZiNi0yMmRjOGQyNTFlMGZcL2IwODAxNmE4LWVmMDctNDRlNi05YTQyLWQ0Mzk5N2Q5MzIxNS5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MjUwLCJoZWlnaHQiOjI1MCwiZml0IjoiY292ZXIifX19,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzXC85MGIxMjhiMi1jMjQ4LTQyMzgtOWZiNi0yMmRjOGQyNTFlMGZcLzJkYWM1YTk5LWQ4NTMtNDc2OS05M2ZhLWMxM2ZjZGExZTJjZC5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MjUwLCJoZWlnaHQiOjI1MCwiZml0IjoiY292ZXIifX19",U2043638,"Dengkil, Sepang, Selangor","RM1,500",Townhouse,Proppit,Platinum Residence Town House For Rent RM1500 1st Hand New Unit,https://www.fazwaz.my/property-rent/3-bedroom-townhouse-for-rent-in-dengkil-selangor-u2043638
N/A,3,3,"This property is a 825 Sqft townhouse with 3 bedrooms and 3 bathrooms that is available for rent. It is located in Semenyih, Selangor. You can rent this townhouse long term for RM1,200 per month.",2025-12-13T23:39:11.929860+00:00,N/A,"https://cdn.fazwaz.com/wbr/fm_FbYXL7ojRhcF81-739z0BK8c/2850x1515/unit/483708/1-c5bdd9e347f49275125c91f15d71c1df.jpg,https://cdn.fazwaz.com/wbr/hDFy6xftfrTVQBOThKGxpAw2oXs/250x250/unit/483708/3-7ad96162922d03fc8ebf4c9db1d0c1d6.jpg,https://cdn.fazwaz.com/wbr/7YdvGz6QYLd3jfA8dC7bhs01NaY/250x250/unit/483708/4-67c3083e51416b15f3a2ec86e52e1a75.jpg,https://cdn.fazwaz.com/wbr/rAKpuMYBU_IawEBoRuM8XUe1U88/250x250/unit/483708/5-942c6902ee47fbb45ec2525d77a8d4c3.jpg,https://cdn.fazwaz.com/wbr/d1UYLFI3_6HARGqhglV3D9x2WWA/250x250/unit/483708/6-57117d4e2d8aac0e7900d1b32d9b53dd.jpg",U483708,"Semenyih, Ulu Langat, Selangor","RM1,200",Townhouse,Agent / Partner,"Bandar Sungai Long, Selangor",https://www.fazwaz.my/property-rent/3-bedroom-townhouse-for-rent-in-semenyih-selangor-u483708
N/A,2,3,"This property is a 1,200 Sqft townhouse with 3 bedrooms and 2 bathrooms that is available for rent. It is part of the Pelangi Heights project in Kapar, Selangor and was completed in Dec 2007. You can rent this townhouse long term for RM1,200 per month.",2025-12-13T23:39:11.929860+00:00,Negotiable,"https://cdn.fazwaz.com/wbr/OwZUp2ZZdepnaFKPATX_3-wZXVY/2850x1515/project/8503/screenshot-2022-05-25-095315.jpg,https://cdn.fazwaz.com/wbr/LZzUxiPajZJ2IqobnZdSiCiQcvg/250x250/project/8503/screenshot-2022-05-25-095256.jpg,https://cdn.fazwaz.com/wbr/g1JkxajHFZaa2oLPF3DzT__UCLk/250x250/project/8503/screenshot-2022-05-25-095347.jpg",U70939,"Kapar, Klang, Selangor","RM1,200",Townhouse,Agent / Partner,3 Bedroom Townhouse for rent at Pelangi Heights,https://www.fazwaz.my/property-rent/3-bedroom-townhouse-for-rent-at-pelangi-heights-in-kapar-selangor-u70939
N/A,3,4,"This property is a 2,500 Sqft townhouse with 4 bedrooms and 3 bathrooms that is available for rent. It is part of the Putrajaya project in Dengkil, Selangor and was completed in Jul 2021. You can rent this townhouse long term for RM2,400 per month.",2025-12-13T23:39:11.929860+00:00,N/A,"https://cdn.fazwaz.com/wbr/15Ygu6REf64zmJPbMnV7xEnFJn4/2850x1515/unit/524442/1-a7f2213b1dba876a0d086e00b9ed091c.jpg,https://cdn.fazwaz.com/wbr/J7zhd9I_8jdGdB8-bfYCK85XAls/250x250/unit/524442/3-c56698d4c73bc1e604ad665616b24134.jpg,https://cdn.fazwaz.com/wbr/quohx7V-2pePOr_iM-3COwPD1J0/250x250/unit/524442/4-133370b13a8653a3d24195f3bd1181ea.jpg,https://cdn.fazwaz.com/wbr/TbzaJ08GdBGzEqkEsmHTIbkTMt4/250x250/unit/524442/5-ef0ea0eb22c98b76c65de19a6c2fe562.jpg,https://cdn.fazwaz.com/wbr/C73hPwrADsXmhl0VkcVTXj6Ryjk/250x250/unit/524442/6-9261786cc64c422641cad55ad94df245.jpg",U524442,"Dengkil, Sepang, Selangor","RM2,400",Townhouse,Agent / Partner,4 Bedroom Townhouse for rent at Putrajaya,https://www.fazwaz.my/property-rent/4-bedroom-townhouse-for-rent-at-putrajaya-in-dengkil-selangor-u524442
N/A,2,4,"This property is a 18,944 Sqft townhouse with 4 bedrooms and 2 bathrooms that is available for rent. It is located in Cheras, Selangor. You can rent this townhouse for RM1,300 per month and it is also available for sale for RM360,000.",2025-12-13T23:39:11.929860+00:00,Unfurnished,"https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvMWI4OWJhZGUtNmVkMi00OGVjLTljZmItMTkxNjkzYTNkMTI3XC9ob21lLTEuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjk1MCwiaGVpZ2h0Ijo1MDUsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvMWI4OWJhZGUtNmVkMi00OGVjLTljZmItMTkxNjkzYTNkMTI3XC9ob21lLTIuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvMWI4OWJhZGUtNmVkMi00OGVjLTljZmItMTkxNjkzYTNkMTI3XC9ob21lLTMuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvMWI4OWJhZGUtNmVkMi00OGVjLTljZmItMTkxNjkzYTNkMTI3XC9ob21lLTQuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==",U2038674,"Cheras, Ulu Langat, Selangor","RM1,300",Townhouse,Proppit,Taman Lagenda Mas Townhouse Cheras,https://www.fazwaz.my/property-rent/4-bedroom-townhouse-for-rent-in-cheras-selangor-u2038674
N/A,2,3,"This property is a 12,917 Sqft townhouse with 3 bedrooms and 2 bathrooms that is available for rent. It is located in Batu, Selangor. You can rent this townhouse long term for RM1,000 per month.",2025-12-13T23:39:11.929860+00:00,Unfurnished,"https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvMDk4YmZkZTEtZTRjYS00NzVkLTlkNzQtYzM0NDgzZjBmMWI1XC9ob21lLTEuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjk1MCwiaGVpZ2h0Ijo1MDUsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvMDk4YmZkZTEtZTRjYS00NzVkLTlkNzQtYzM0NDgzZjBmMWI1XC9ob21lLTIuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvMDk4YmZkZTEtZTRjYS00NzVkLTlkNzQtYzM0NDgzZjBmMWI1XC9ob21lLTMuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvMDk4YmZkZTEtZTRjYS00NzVkLTlkNzQtYzM0NDgzZjBmMWI1XC9ob21lLTQuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvMDk4YmZkZTEtZTRjYS00NzVkLTlkNzQtYzM0NDgzZjBmMWI1XC9ob21lLTUuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==",U2034321,"Batu, Gombak, Selangor","RM1,000",Townhouse,Proppit,"Basic unit Amansiara Townhouse, Selayang",https://www.fazwaz.my/property-rent/3-bedroom-townhouse-for-rent-in-batu-selangor-u2034321
N/A,2,3,"This property is a 1,250 Sqft townhouse with 3 bedrooms and 2 bathrooms that is available for rent. It is located in Kajang, Selangor. You can rent this townhouse for RM1,100 per month and it is also available for sale for RM380,000.",2025-12-13T23:39:11.929860+00:00,Partly Furnished,"https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvYmIxNThlZTYtYjM1My00ODYxLWFkZWItNzAwMTMyNGU3MThmXC84ODM0OTk1NzY1ZmEwZmRiZThkYTc2LmpwZyIsImVkaXRzIjp7InJvdGF0ZSI6bnVsbCwicmVzaXplIjp7IndpZHRoIjo5NTAsImhlaWdodCI6NTA1LCJmaXQiOiJjb3ZlciJ9fX0=,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvYmIxNThlZTYtYjM1My00ODYxLWFkZWItNzAwMTMyNGU3MThmXC81ODAxMjIzMDQ1ZmEwZmRiZWRmMmUyLmpwZyIsImVkaXRzIjp7InJvdGF0ZSI6bnVsbCwicmVzaXplIjp7IndpZHRoIjoyNTAsImhlaWdodCI6MjUwLCJmaXQiOiJjb3ZlciJ9fX0=,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvYmIxNThlZTYtYjM1My00ODYxLWFkZWItNzAwMTMyNGU3MThmXC8yNzYzMTY0NjI1ZmEwZmRiZjNkZDg0LmpwZyIsImVkaXRzIjp7InJvdGF0ZSI6bnVsbCwicmVzaXplIjp7IndpZHRoIjoyNTAsImhlaWdodCI6MjUwLCJmaXQiOiJjb3ZlciJ9fX0=,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvYmIxNThlZTYtYjM1My00ODYxLWFkZWItNzAwMTMyNGU3MThmXC8yMDkxMzY0OTg4NWZhMGZkYmY5OTg3NS5qcGciLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MjUwLCJoZWlnaHQiOjI1MCwiZml0IjoiY292ZXIifX19,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvYmIxNThlZTYtYjM1My00ODYxLWFkZWItNzAwMTMyNGU3MThmXC84NDg3MzQyODU1ZmEwZmRjMDFlYWY3LmpwZyIsImVkaXRzIjp7InJvdGF0ZSI6bnVsbCwicmVzaXplIjp7IndpZHRoIjoyNTAsImhlaWdodCI6MjUwLCJmaXQiOiJjb3ZlciJ9fX0=",U2030789,"Kajang, Ulu Langat, Selangor","RM1,100",Townhouse,Proppit,TownHouse Bayu Parkville for SALE.,https://www.fazwaz.my/property-rent/3-bedroom-townhouse-for-rent-in-kajang-selangor-u2030789
N/A,2,3,"This property is a 1,100 Sqft townhouse with 3 bedrooms and 2 bathrooms that is available for rent. It is located in Kajang, Selangor. You can rent this townhouse long term for RM1,000 per month.",2025-12-13T23:39:11.929860+00:00,Partly Furnished,"https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvMzlmMzQ2YzItMjQ2NC00NmVkLTkxOTMtNmZkNzkxYjg2Y2E5XC9ob21lLTEuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjk1MCwiaGVpZ2h0Ijo1MDUsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvMzlmMzQ2YzItMjQ2NC00NmVkLTkxOTMtNmZkNzkxYjg2Y2E5XC9ob21lLTIuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvMzlmMzQ2YzItMjQ2NC00NmVkLTkxOTMtNmZkNzkxYjg2Y2E5XC9ob21lLTMuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvMzlmMzQ2YzItMjQ2NC00NmVkLTkxOTMtNmZkNzkxYjg2Y2E5XC9ob21lLTQuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==,https://img.fazwaz.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3RlclwvMzlmMzQ2YzItMjQ2NC00NmVkLTkxOTMtNmZkNzkxYjg2Y2E5XC9ob21lLTUuanBnIiwiZWRpdHMiOnsicm90YXRlIjpudWxsLCJyZXNpemUiOnsid2lkdGgiOjI1MCwiaGVpZ2h0IjoyNTAsImZpdCI6ImNvdmVyIn19fQ==",U2038294,"Kajang, Ulu Langat, Selangor","RM1,000",Townhouse,Proppit,Bayu Parkville Townhouse End Lot Upper Unit for Rent,https://www.fazwaz.my/property-rent/3-bedroom-townhouse-for-rent-in-kajang-selangor-u2038294
